task_id,region_id,slot_id,start_time,end_time,required_workers,weight,candidate_capacity
t54_000,54,104,62400,62999,1,1,35
t44_000,44,85,51000,51599,2,2,27
t52_000,52,114,68400,68999,2,2,9
t64_000,64,6,3600,4199,1,1,25
t55_000,55,0,0,599,1,1,20
t94_000,94,69,41400,41999,2,2,5
t86_000,86,35,21000,21599,1,1,4
t63_000,63,119,71400,71999,2,2,27
t63_001,63,115,69000,69599,1,1,21
t35_000,35,42,25200,25799,1,1,4
t95_000,95,52,31200,31799,1,1,5
t56_000,56,70,42000,42599,3,3,5
t53_000,53,9,5400,5999,2,2,24
t79_000,79,10,6000,6599,1,1,1
t63_002,63,80,48000,48599,3,3,25
t45_000,45,36,21600,22199,2,2,8
t97_000,97,12,7200,7799,3,3,10
t44_001,44,99,59400,59999,1,1,28
t33_000,33,90,54000,54599,2,2,5
t97_001,97,62,37200,37799,1,1,5
t75_000,75,132,79200,79799,3,3,9
t32_000,32,54,32400,32999,1,1,2
t54_001,54,95,57000,57599,3,3,37
t74_000,74,112,67200,67799,1,1,16
t63_003,63,3,1800,2399,3,3,26
t82_000,82,91,54600,55199,2,2,2
t53_001,53,55,33000,33599,3,3,15
t54_002,54,129,77400,77999,2,2,33
t35_001,35,87,52200,52799,2,2,8
t73_000,73,50,30000,30599,1,1,1
t35_002,35,112,67200,67799,1,1,6
t53_002,53,84,50400,50999,3,3,39
t42_000,42,120,72000,72599,2,2,6
t64_001,64,72,43200,43799,2,2,33
t53_003,53,26,15600,16199,3,3,10
t51_000,51,125,75000,75599,2,2,2
t55_001,55,93,55800,56399,3,3,46
t53_004,53,57,34200,34799,1,1,22
t53_005,53,121,72600,73199,2,2,22
t75_001,75,78,46800,47399,3,3,23
t55_002,55,69,41400,41999,1,1,28
t65_000,65,55,33000,33599,3,3,25
t35_003,35,138,82800,83399,2,2,2
t64_002,64,86,51600,52199,1,1,37
t53_006,53,97,58200,58799,1,1,40
t52_001,52,137,82200,82799,3,3,5
t32_001,32,73,43800,44399,1,1,2
t75_002,75,83,49800,50399,2,2,16
t97_002,97,67,40200,40799,3,3,6
t65_001,65,18,10800,11399,2,2,16
t64_003,64,8,4800,5399,3,3,26
t97_003,97,91,54600,55199,1,1,3
t75_003,75,36,21600,22199,3,3,20
t53_007,53,137,82200,82799,1,1,36
t53_008,53,111,66600,67199,3,3,32
t45_001,45,111,66600,67199,1,1,19
t53_009,53,86,51600,52199,2,2,35
t43_000,43,79,47400,47999,1,1,13
t97_004,97,19,11400,11999,2,2,12
t53_010,53,80,48000,48599,2,2,37
t75_004,75,75,45000,45599,1,1,25
t53_011,53,4,2400,2999,3,3,24
t62_000,62,45,27000,27599,2,2,2
t96_000,96,31,18600,19199,1,1,10
t34_000,34,68,40800,41399,3,3,6
t54_003,54,73,43800,44399,3,3,31
t54_004,54,85,51000,51599,1,1,32
t42_001,42,11,6600,7199,2,2,4
t55_003,55,73,43800,44399,3,3,32
t55_004,55,127,76200,76799,1,1,35
t96_001,96,21,12600,13199,2,2,13
t44_002,44,133,79800,80399,1,1,18
t42_002,42,119,71400,71999,1,1,6
t65_002,65,28,16800,17399,1,1,19
t54_005,54,12,7200,7799,2,2,18
t53_012,53,126,75600,76199,1,1,33
t64_004,64,16,9600,10199,3,3,24
t63_004,63,96,57600,58199,2,2,21
t63_005,63,66,39600,40199,2,2,30
t76_000,76,138,82800,83399,1,1,2
t65_003,65,83,49800,50399,2,2,34
t86_001,86,114,68400,68999,1,1,8
t44_003,44,121,72600,73199,2,2,21
t95_001,95,29,17400,17999,3,3,3
t99_000,99,37,22200,22799,3,3,3
t86_002,86,11,6600,7199,1,1,4
t45_002,45,24,14400,14999,2,2,7
t54_006,54,139,83400,83999,3,3,36
t68_000,68,82,49200,49799,1,1,1
t63_006,63,69,41400,41999,3,3,25
t86_003,86,137,82200,82799,1,1,14
t99_001,99,41,24600,25199,3,3,3
t42_003,42,53,31800,32399,3,3,4
t96_002,96,60,36000,36599,3,3,9
t64_005,64,103,61800,62399,2,2,35
t33_001,33,65,39000,39599,2,2,4
t64_006,64,85,51000,51599,2,2,37
t55_005,55,138,82800,83399,2,2,32
t54_007,54,91,54600,55199,1,1,35
t74_001,74,90,54000,54599,2,2,12
t55_006,55,127,76200,76799,1,1,35
t65_004,65,76,45600,46199,2,2,42
t63_007,63,4,2400,2999,2,2,24
t43_001,43,97,58200,58799,1,1,21
t48_000,48,136,81600,82199,1,1,6
t35_004,35,33,19800,20399,1,1,4
t18_000,18,20,12000,12599,2,2,2
t54_008,54,22,13200,13799,3,3,21
t64_007,64,90,54000,54599,1,1,35
t75_005,75,22,13200,13799,2,2,17
t55_007,55,133,79800,80399,3,3,28
t33_002,33,58,34800,35399,2,2,6
t35_005,35,44,26400,26999,2,2,5
t55_008,55,36,21600,22199,3,3,14
t75_006,75,50,30000,30599,3,3,27
t53_013,53,94,56400,56999,2,2,35
t64_008,64,137,82200,82799,2,2,29
t95_002,95,26,15600,16199,1,1,3
t54_009,54,102,61200,61799,2,2,37
t34_001,34,90,54000,54599,3,3,6
t62_001,62,101,60600,61199,2,2,3
t86_004,86,81,48600,49199,2,2,9
t33_003,33,68,40800,41399,2,2,5
t98_000,98,55,33000,33599,2,2,9
t10_000,10,53,31800,32399,1,1,1
t52_002,52,120,72000,72599,3,3,11
t44_004,44,101,60600,61199,3,3,31
t55_009,55,72,43200,43799,1,1,27
t54_010,54,17,10200,10799,3,3,21
t45_003,45,126,75600,76199,2,2,10
t64_009,64,88,52800,53399,2,2,28
t75_007,75,48,28800,29399,2,2,27
t54_011,54,77,46200,46799,1,1,35
t74_002,74,121,72600,73199,3,3,19
t29_000,29,58,34800,35399,3,3,3
t84_000,84,65,39000,39599,1,1,7
t43_002,43,28,16800,17399,1,1,6
t65_005,65,119,71400,71999,2,2,28
t55_010,55,142,85200,85799,1,1,26
t73_001,73,83,49800,50399,2,2,13
t54_012,54,78,46800,47399,3,3,36
t62_002,62,141,84600,85199,2,2,6
t55_011,55,6,3600,4199,3,3,21
t45_004,45,16,9600,10199,1,1,9
t97_005,97,62,37200,37799,2,2,5
t84_001,84,127,76200,76799,3,3,3
t53_014,53,104,62400,62999,1,1,28
t96_003,96,30,18000,18599,2,2,10
t55_012,55,47,28200,28799,1,1,13
t73_002,73,80,48000,48599,1,1,12
t64_010,64,27,16200,16799,1,1,14
t55_013,55,125,75000,75599,1,1,33
t73_003,73,75,45000,45599,1,1,11
t54_013,54,116,69600,70199,3,3,26
t86_005,86,115,69000,69599,1,1,8
t96_004,96,60,36000,36599,3,3,9
t44_005,44,73,43800,44399,3,3,19
t73_004,73,41,24600,25199,2,2,4
t87_000,87,29,17400,17999,2,2,2
t34_002,34,108,64800,65399,3,3,6
t85_000,85,22,13200,13799,1,1,1
t43_003,43,121,72600,73199,3,3,14
t53_015,53,116,69600,70199,1,1,24
t45_005,45,130,78000,78599,2,2,18
t55_014,55,67,40200,40799,1,1,22
t62_003,62,11,6600,7199,2,2,2
t63_008,63,100,60000,60599,2,2,25
t96_005,96,54,32400,32999,2,2,17
t75_008,75,97,58200,58799,1,1,14
t10_001,10,28,16800,17399,2,2,2
t54_014,54,65,39000,39599,1,1,28
t62_004,62,127,76200,76799,3,3,4
t74_003,74,122,73200,73799,2,2,17
t64_011,64,119,71400,71999,2,2,27
t54_015,54,88,52800,53399,1,1,36
t65_006,65,53,31800,32399,1,1,24
t65_007,65,45,27000,27599,2,2,23
t55_015,55,122,73200,73799,2,2,27
t55_016,55,124,74400,74999,3,3,28
t64_012,64,91,54600,55199,1,1,32
t75_009,75,51,30600,31199,2,2,28
t55_017,55,78,46800,47399,1,1,24
t65_008,65,112,67200,67799,3,3,31
t94_001,94,85,51000,51599,2,2,4
t44_006,44,22,13200,13799,1,1,15
t53_016,53,18,10800,11399,3,3,11
t34_003,34,17,10200,10799,1,1,5
t44_007,44,15,9000,9599,1,1,16
t34_004,34,141,84600,85199,2,2,7
t55_018,55,141,84600,85199,3,3,24
t74_004,74,122,73200,73799,3,3,17
t55_019,55,4,2400,2999,3,3,30
t48_001,48,74,44400,44999,1,1,1
t53_017,53,0,0,599,1,1,17
t55_020,55,61,36600,37199,2,2,22
t55_021,55,7,4200,4799,3,3,25
t54_016,54,28,16800,17399,1,1,14
t60_000,60,60,36000,36599,1,1,1
t65_009,65,49,29400,29999,3,3,30
t53_018,53,140,84000,84599,3,3,25
t65_010,65,105,63000,63599,1,1,19
t54_017,54,59,35400,35999,3,3,25
t55_022,55,59,35400,35999,2,2,12
t34_005,34,138,82800,83399,3,3,7
t34_006,34,22,13200,13799,3,3,7
t73_005,73,7,4200,4799,3,3,9
t92_000,92,29,17400,17999,1,1,2
t54_018,54,74,44400,44999,2,2,31
t53_019,53,122,73200,73799,1,1,25
t63_009,63,82,49200,49799,3,3,32
t44_008,44,129,77400,77999,1,1,20
t33_004,33,48,28800,29399,2,2,5
t34_007,34,141,84600,85199,3,3,7
t44_009,44,136,81600,82199,2,2,20
t74_005,74,102,61200,61799,2,2,15
t57_000,57,68,40800,41399,2,2,6
t54_019,54,22,13200,13799,2,2,21
t56_001,56,86,51600,52199,3,3,8
t98_001,98,57,34200,34799,3,3,7
t56_002,56,107,64200,64799,3,3,8
t65_011,65,24,14400,14999,1,1,15
t35_006,35,95,57000,57599,1,1,4
t44_010,44,122,73200,73799,2,2,26
t75_010,75,95,57000,57599,2,2,20
t54_020,54,23,13800,14399,1,1,17
t44_011,44,99,59400,59999,1,1,28
t54_021,54,73,43800,44399,2,2,31
t53_020,53,96,57600,58199,3,3,39
t32_002,32,125,75000,75599,3,3,3
t64_013,64,39,23400,23999,1,1,11
t44_012,44,107,64200,64799,2,2,25
t79_001,79,31,18600,19199,1,1,1
t63_010,63,103,61800,62399,2,2,23
t43_004,43,118,70800,71399,3,3,8
t31_000,31,64,38400,38999,1,1,1
t72_000,72,108,64800,65399,1,1,3
t55_023,55,106,63600,64199,1,1,42
t52_003,52,76,45600,46199,3,3,4
t83_000,83,125,75000,75599,1,1,6
t53_021,53,136,81600,82199,1,1,28
t65_012,65,83,49800,50399,3,3,34
t65_013,65,98,58800,59399,3,3,21
t75_011,75,118,70800,71399,3,3,14
t63_011,63,35,21000,21599,2,2,11
t35_007,35,113,67800,68399,1,1,6
t94_002,94,129,77400,77999,3,3,3
t43_005,43,53,31800,32399,1,1,9
t54_022,54,55,33000,33599,2,2,20
t45_006,45,118,70800,71399,3,3,13
t63_012,63,112,67200,67799,1,1,29
t53_022,53,43,25800,26399,2,2,7
t63_013,63,91,54600,55199,2,2,25
t75_012,75,36,21600,22199,1,1,20
t53_023,53,18,10800,11399,1,1,11
t53_024,53,59,35400,35999,1,1,19
t34_008,34,88,52800,53399,3,3,9
t55_024,55,61,36600,37199,3,3,22
t41_000,41,8,4800,5399,1,1,1
t17_000,17,120,72000,72599,1,1,1
t96_006,96,36,21600,22199,1,1,13
t72_001,72,66,39600,40199,2,2,2
t97_006,97,15,9000,9599,2,2,9
t75_013,75,72,43200,43799,2,2,28
t86_006,86,73,43800,44399,3,3,12
t85_001,85,74,44400,44999,1,1,1
t54_023,54,122,73200,73799,3,3,27
t53_025,53,104,62400,62999,1,1,28
t64_014,64,135,81000,81599,2,2,33
t44_013,44,131,78600,79199,3,3,27
t43_006,43,114,68400,68999,1,1,12
t53_026,53,127,76200,76799,3,3,34
t56_003,56,122,73200,73799,3,3,4
t82_001,82,5,3000,3599,1,1,4
t73_006,73,126,75600,76199,1,1,9
t54_024,54,25,15000,15599,1,1,17
t53_027,53,11,6600,7199,2,2,19
t65_014,65,77,46200,46799,2,2,42
t73_007,73,140,84000,84599,2,2,9
t49_000,49,90,54000,54599,1,1,1
t53_028,53,6,3600,4199,2,2,23
t86_007,86,78,46800,47399,1,1,7
t52_004,52,127,76200,76799,3,3,7
t83_001,83,114,68400,68999,1,1,6
t44_014,44,29,17400,17999,1,1,11
t95_003,95,70,42000,42599,1,1,4
t54_025,54,114,68400,68999,3,3,22
t57_001,57,14,8400,8999,1,1,1
t18_001,18,133,79800,80399,1,1,2
t55_025,55,4,2400,2999,2,2,30
t43_007,43,140,84000,84599,2,2,11
t86_008,86,71,42600,43199,3,3,13
t65_015,65,34,20400,20999,3,3,18
t65_016,65,90,54000,54599,1,1,28
t96_007,96,56,33600,34199,2,2,14
t65_017,65,8,4800,5399,3,3,18
t75_014,75,99,59400,59999,3,3,18
t33_005,33,131,78600,79199,2,2,2
t54_026,54,68,40800,41399,2,2,28
t75_015,75,33,19800,20399,3,3,22
t48_002,48,35,21000,21599,2,2,5
t64_015,64,96,57600,58199,3,3,41
t83_002,83,91,54600,55199,3,3,3
t53_029,53,135,81000,81599,2,2,26
t64_016,64,89,53400,53999,3,3,34
t75_016,75,109,65400,65999,3,3,10
t63_014,63,101,60600,61199,2,2,26
t63_015,63,66,39600,40199,2,2,30
t64_017,64,77,46200,46799,3,3,39
t45_007,45,90,54000,54599,3,3,13
t48_003,48,32,19200,19799,2,2,5
t43_008,43,90,54000,54599,2,2,9
t65_018,65,62,37200,37799,3,3,34
t35_008,35,81,48600,49199,3,3,5
t63_016,63,12,7200,7799,3,3,15
t55_026,55,105,63000,63599,3,3,40
t44_015,44,130,78000,78599,3,3,21
t65_019,65,128,76800,77399,1,1,31
t75_017,75,63,37800,38399,3,3,24
t54_027,54,62,37200,37799,2,2,27
t62_005,62,138,82800,83399,1,1,6
t52_005,52,112,67200,67799,3,3,4
t57_002,57,65,39000,39599,2,2,6
t42_004,42,8,4800,5399,2,2,2
t74_006,74,37,22200,22799,3,3,3
t65_020,65,46,27600,28199,2,2,25
t73_008,73,5,3000,3599,2,2,14
t54_028,54,17,10200,10799,3,3,21
t55_027,55,98,58800,59399,3,3,33
t55_028,55,133,79800,80399,3,3,28
t86_009,86,118,70800,71399,2,2,12
t55_029,55,104,62400,62999,2,2,38
t56_004,56,114,68400,68999,3,3,8
t63_017,63,93,55800,56399,1,1,28
t66_000,66,55,33000,33599,2,2,3
t64_018,64,98,58800,59399,2,2,29
t64_019,64,121,72600,73199,1,1,37
t53_030,53,127,76200,76799,1,1,34
t84_002,84,69,41400,41999,2,2,5
t55_030,55,113,67800,68399,3,3,40
t73_009,73,102,61200,61799,3,3,7
t64_020,64,4,2400,2999,2,2,26
t53_031,53,136,81600,82199,3,3,28
t55_031,55,107,64200,64799,2,2,44
t64_021,64,93,55800,56399,3,3,31
t37_000,37,60,36000,36599,2,2,2
t65_021,65,27,16200,16799,3,3,18
t44_016,44,63,37800,38399,3,3,15
t75_018,75,101,60600,61199,2,2,10
t39_000,39,25,15000,15599,1,1,1
t63_018,63,89,53400,53999,2,2,34
t18_002,18,56,33600,34199,1,1,1
t73_010,73,56,33600,34199,1,1,2
t74_007,74,103,61800,62399,3,3,16
t75_019,75,143,85800,86399,2,2,7
t98_002,98,21,12600,13199,1,1,7
t62_006,62,111,66600,67199,1,1,1
t55_032,55,141,84600,85199,3,3,24
t54_029,54,9,5400,5999,3,3,32
t96_008,96,112,67200,67799,3,3,5
t54_030,54,35,21000,21599,2,2,17
t96_009,96,73,43800,44399,1,1,6
t54_031,54,1,600,1199,1,1,18
t94_003,94,126,75600,76199,2,2,3
t65_022,65,64,38400,38999,2,2,27
t44_017,44,94,56400,56999,3,3,26
t45_008,45,59,35400,35999,3,3,8
t65_023,65,49,29400,29999,1,1,30
t45_009,45,49,29400,29999,2,2,5
t53_032,53,120,72000,72599,1,1,34
t97_007,97,61,36600,37199,1,1,6
t55_033,55,114,68400,68999,3,3,43
t56_005,56,1,600,1199,1,1,9
t33_006,33,129,77400,77999,2,2,3
t63_019,63,68,40800,41399,3,3,34
t18_003,18,110,66000,66599,1,1,1
t65_024,65,5,3000,3599,2,2,18
t54_032,54,114,68400,68999,3,3,22
t54_033,54,25,15000,15599,1,1,17
t75_020,75,101,60600,61199,2,2,10
t96_010,96,54,32400,32999,1,1,17
t82_002,82,95,57000,57599,1,1,2
t34_009,34,10,6000,6599,2,2,3
t53_033,53,12,7200,7799,2,2,14
t45_010,45,112,67200,67799,3,3,19
t44_018,44,120,72000,72599,2,2,18
t35_009,35,96,57600,58199,1,1,4
t50_000,50,60,36000,36599,1,1,1
t56_006,56,65,39000,39599,1,1,6
t74_008,74,95,57000,57599,2,2,16
t84_003,84,74,44400,44999,3,3,4
t65_025,65,57,34200,34799,1,1,26
t75_021,75,102,61200,61799,3,3,11
t54_034,54,46,27600,28199,1,1,18
t56_007,56,62,37200,37799,1,1,6
t74_009,74,25,15000,15599,3,3,5
t55_034,55,135,81000,81599,2,2,28
t44_019,44,78,46800,47399,1,1,19
t76_001,76,83,49800,50399,2,2,6
t93_000,93,73,43800,44399,1,1,1
t53_034,53,2,1200,1799,3,3,23
t73_011,73,7,4200,4799,1,1,9
t98_003,98,22,13200,13799,1,1,7
t86_010,86,28,16800,17399,1,1,4
t56_008,56,17,10200,10799,1,1,1
t63_020,63,6,3600,4199,3,3,20
t34_010,34,38,22800,23399,1,1,5
t64_022,64,97,58200,58799,2,2,37
t65_026,65,87,52200,52799,2,2,31
