ride_id,time,lat,lng
1,65486,41.8828,-87.6612
1,68002,41.8828,-87.6612
2,68168,41.9836,-87.6692
2,69201,42.016,-87.675
3,49716,41.9331,-87.6478
3,50548,41.9547,-87.6739
4,34565,41.9942,-87.6894
4,36067,41.9394,-87.6684
5,64044,41.8542,-87.6192
5,65778,41.8604,-87.6258
6,75731,41.9377,-87.6441
6,76662,41.9671,-87.6674
7,21257,41.8899,-87.6343
7,21678,41.8969,-87.6217
8,58538,41.9253,-87.6658
8,59972,41.8783,-87.6439
9,65204,41.9013,-87.6774
9,66702,41.9114,-87.6387
10,63312,41.8671,-87.6411
10,64461,41.8388,-87.6219
11,62966,41.9652,-87.6581
11,65407,41.9652,-87.6581
12,60862,41.8957,-87.6201
12,62339,41.9363,-87.6527
13,59797,41.8345,-87.6318
13,60182,41.8378,-87.6511
14,33830,41.9035,-87.6434
14,34104,41.9032,-87.6343
15,64500,41.8846,-87.6446
15,65304,41.9103,-87.6701
16,26659,41.9361,-87.6698
16,28270,41.9798,-87.6775
17,58538,41.8837,-87.6487
17,59867,41.8762,-87.6244
18,73255,41.8759,-87.6306
18,73707,41.8672,-87.626
19,72258,41.8813,-87.6295
19,72592,41.8847,-87.6195
20,68957,41.968,-87.65
20,69165,41.9716,-87.6502
21,54604,41.8999,-87.6344
21,54896,41.8899,-87.6343
22,44977,41.961,-87.6496
22,45085,41.9579,-87.6495
23,66665,41.9394,-87.6684
23,67720,41.9157,-87.6346
24,53653,41.9178,-87.6824
24,55728,41.9401,-87.6455
25,23381,41.875,-87.6331
25,24030,41.8671,-87.6411
26,62893,41.8746,-87.657
26,63887,41.896,-87.6677
27,38989,41.899,-87.6299
27,39824,41.8847,-87.6195
28,63824,41.8837,-87.6487
28,65137,41.9035,-87.6677
29,60226,41.8902,-87.6262
29,61646,41.9295,-87.6431
30,70738,41.875,-87.6733
30,71634,41.9094,-87.6777
31,23743,41.8899,-87.6343
31,23769,41.8899,-87.6343
32,56348,41.9253,-87.6658
32,56355,41.9253,-87.6658
33,48013,41.9401,-87.6455
33,49402,41.9507,-87.6687
34,67738,42.0091,-87.6742
34,68881,42.0045,-87.6724
35,53420,41.9615,-87.6912
35,54100,41.9659,-87.7008
36,71571,41.903,-87.6313
36,72560,41.8915,-87.6268
37,73678,41.8958,-87.6259
