taxi_id,time_sec,lat,lon
1,32,39.85184,116.69171
1,632,39.85184,116.6917
1,1232,39.85184,116.6917
1,1832,39.85146,116.69168
1,2432,39.85165,116.69172
1,3032,39.85165,116.69176
1,3632,39.85163,116.69168
1,4232,39.85159,116.69166
1,6031,39.85186,116.69164
1,6631,39.85196,116.69167
1,7232,39.85167,116.69167
1,8486,39.85183,116.69176
1,9031,39.85174,116.69173
1,10232,39.85179,116.69172
1,10832,39.85176,116.69171
1,11431,39.85176,116.6917
1,12031,39.85165,116.69164
1,12631,39.85181,116.69155
1,13231,39.8518,116.69158
1,13831,39.85141,116.69156
1,14431,39.85155,116.69161
1,15031,39.85161,116.69156
1,15031,39.85161,116.69156
1,15631,39.85156,116.6916
1,16231,39.85176,116.6918
1,16831,39.85177,116.69179
1,17431,39.85176,116.69176
1,18031,39.85175,116.69177
1,18630,39.85211,116.69157
1,19230,39.85157,116.69162
1,19830,39.85158,116.69162
1,20430,39.8516,116.69161
1,21031,39.85178,116.69138
1,21631,39.85166,116.69156
1,22230,39.85191,116.69129
1,22830,39.85176,116.69172
1,24030,39.85173,116.69165
1,24630,39.85142,116.69169
1,25230,39.85158,116.69164
1,25830,39.85163,116.69162
1,26430,39.85166,116.69161
1,27630,39.85188,116.69184
1,28230,39.85161,116.69165
1,29429,39.85163,116.6917
1,30629,39.85166,116.69171
1,31229,39.85168,116.69169
1,31830,39.85165,116.69169
1,32430,39.85163,116.69169
1,33029,39.85161,116.69169
1,33629,39.85106,116.69172
1,34229,39.85133,116.6917
1,34829,39.85165,116.69171
1,35430,39.85179,116.69165
1,36029,39.85173,116.69167
1,36629,39.8517,116.69156
1,37229,39.85171,116.69157
1,37829,39.85167,116.69285
1,38429,39.88563,116.65945
1,39029,39.9057,116.6174
1,39629,39.91297,116.57833
1,40229,39.91501,116.54256
1,40828,39.90905,116.51629
1,41429,39.90693,116.49705
1,42029,39.90566,116.43653
1,42629,39.87495,116.45075
1,43229,39.88319,116.45551
1,66914,39.91108,116.58425
1,67514,39.90534,116.62556
1,67514,39.90534,116.62556
1,68114,39.90953,116.63713
1,68714,39.88708,116.65749
1,69314,39.8516,116.69302
1,69914,39.85161,116.69149
1,70514,39.85161,116.6915
1,71114,39.85162,116.69152
1,71714,39.85162,116.69154
1,72314,39.85164,116.69155
1,72913,39.85165,116.69155
1,73513,39.85166,116.69155
1,74113,39.85166,116.69156
1,74713,39.85165,116.69156
1,75314,39.85193,116.69151
1,75914,39.85168,116.69159
1,76513,39.85162,116.69159
1,76513,39.85162,116.69159
1,77713,39.85195,116.69161
1,78313,39.8518,116.69164
1,78914,39.8517,116.69159
1,79514,39.85174,116.69162
1,80113,39.85172,116.6916
1,80713,39.85175,116.6916
1,81313,39.85178,116.69161
1,81913,39.85179,116.6916
1,82513,39.85181,116.6916
1,83712,39.85181,116.6916
1,83712,39.85181,116.6916
1,84312,39.85195,116.69163
1,84913,39.85173,116.69159
1,84913,39.85173,116.69159
1,85512,39.85175,116.69158
1,86113,39.85177,116.6916
2,28877,39.87955,116.43982
2,29179,39.90013,116.41398
2,29243,39.9035,116.41917
2,29243,39.9035,116.41917
2,29480,39.89679,116.43249
2,29545,39.89543,116.42931
2,29782,39.89601,116.41905
2,29860,39.89217,116.42634
2,30084,39.88321,116.44935
2,30450,39.87063,116.44474
2,30687,39.87202,116.45465
2,30989,39.90032,116.45552
2,31290,39.95317,116.45355
2,31592,39.99839,116.4949
2,31657,40.00837,116.50592
2,32195,40.04372,116.57561
