round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
1,0.4077,0.4077,0.093,0.093,0.1102,0.1102
2,0.4699,0.4699,0.2801,0.2801,0.2745,0.2745
3,0.4997,0.4997,0.3394,0.3394,0.4003,0.4003
4,0.5123,0.5123,0.391,0.391,0.4817,0.4817
5,0.5235,0.5235,0.4586,0.4586,0.5257,0.5257
6,0.5631,0.5631,0.584,0.584,0.6517,0.6662
7,0.5688,0.5688,0.625,0.625,0.7083,0.7237
8,0.5461,0.5461,0.6195,0.6209,0.7012,0.7329
9,0.5469,0.5469,0.6193,0.6187,0.654,0.6859
10,0.553,0.553,0.6342,0.6335,0.6773,0.7119
11,0.5556,0.5556,0.6391,0.6395,0.6721,0.701
12,0.5598,0.5598,0.6461,0.6451,0.6844,0.714
13,0.5817,0.5817,0.6893,0.6851,0.7136,0.7281
14,0.596,0.596,0.7207,0.7315,0.7683,0.7851
15,0.5762,0.5762,0.694,0.7246,0.7623,0.7755
16,0.5605,0.5605,0.6639,0.7065,0.7684,0.7665
17,0.571,0.571,0.6447,0.7094,0.7543,0.7588
18,0.6016,0.6016,0.6422,0.7243,0.7478,0.7541
19,0.5714,0.5714,0.6123,0.6962,0.7433,0.7561
20,0.5656,0.5656,0.5848,0.6838,0.7278,0.7533
21,0.5694,0.5694,0.5975,0.7022,0.7046,0.7407
22,0.5513,0.5513,0.5976,0.7268,0.7359,0.7714
23,0.5107,0.5107,0.6011,0.7272,0.713,0.7507
24,0.5333,0.5333,0.6256,0.7571,0.6939,0.7415
25,0.5416,0.5416,0.64,0.7833,0.7058,0.7498
26,0.5475,0.5475,0.6444,0.7833,0.7297,0.7748
27,0.5456,0.5456,0.6606,0.7809,0.6903,0.7568
28,0.5414,0.5414,0.6583,0.8031,0.6902,0.7824
29,0.5405,0.5405,0.6456,0.8102,0.7187,0.7966
30,0.5525,0.5525,0.6349,0.787,0.6823,0.7824
31,0.5461,0.5461,0.6084,0.7838,0.6953,0.7927
32,0.5597,0.5597,0.6016,0.7781,0.7169,0.7945
33,0.5776,0.5776,0.6356,0.7841,0.769,0.8186
34,0.5754,0.5754,0.6421,0.782,0.7811,0.8295
35,0.5671,0.5671,0.6358,0.7909,0.8161,0.8343
36,0.5941,0.5941,0.6428,0.7806,0.8076,0.8393
37,0.5558,0.5558,0.6079,0.7654,0.7993,0.8455
38,0.5411,0.5411,0.5695,0.7537,0.7642,0.8118
39,0.5413,0.5413,0.5629,0.753,0.7344,0.7864
40,0.5285,0.5285,0.5376,0.756,0.7341,0.7905
41,0.5109,0.5109,0.5227,0.7759,0.745,0.79
42,0.5452,0.5452,0.5547,0.7882,0.7713,0.7912
43,0.5603,0.5603,0.539,0.794,0.7819,0.8096
44,0.5534,0.6195,0.5401,0.7953,0.8045,0.8263
45,0.5644,0.6983,0.5575,0.7842,0.7693,0.8071
46,0.5524,0.7512,0.5795,0.7588,0.7307,0.7924
47,0.5549,0.8116,0.5706,0.7565,0.7249,0.7967
48,0.5634,0.8702,0.5991,0.7429,0.7277,0.7752
49,0.578,0.8626,0.568,0.7209,0.7222,0.7784
50,0.6022,0.8624,0.6119,0.7329,0.7783,0.8132
51,0.5917,0.8509,0.6117,0.752,0.8156,0.8249
52,0.6134,0.8409,0.6312,0.7585,0.8108,0.8219
53,0.6303,0.8349,0.6369,0.771,0.8193,0.8502
54,0.6084,0.8424,0.6437,0.7804,0.8179,0.8545
55,0.5663,0.8346,0.6295,0.7766,0.786,0.8372
56,0.5873,0.8379,0.612,0.7859,0.7773,0.8267
57,0.5603,0.8484,0.6199,0.7848,0.7701,0.8176
58,0.5467,0.8368,0.6065,0.7802,0.7598,0.8118
59,0.5702,0.8293,0.6202,0.7636,0.7696,0.8066
60,0.5909,0.8267,0.597,0.7632,0.7861,0.8214
61,0.5628,0.8205,0.5781,0.7251,0.7818,0.8271
62,0.5464,0.812,0.5694,0.7107,0.7917,0.8318
63,0.5326,0.8163,0.5657,0.6666,0.7879,0.8393
64,0.5188,0.8047,0.5727,0.6726,0.7768,0.8389
65,0.5288,0.8004,0.6076,0.6633,0.7837,0.8413
66,0.544,0.7936,0.6462,0.6916,0.7882,0.8438
67,0.5565,0.7795,0.6151,0.6683,0.7731,0.844
68,0.554,0.7612,0.6148,0.7081,0.7948,0.8486
69,0.5525,0.7558,0.6221,0.7035,0.7887,0.8468
70,0.5417,0.7488,0.6,0.7022,0.7735,0.8453
71,0.5413,0.7572,0.5881,0.6897,0.7813,0.8508
72,0.5359,0.7476,0.5692,0.6744,0.7512,0.8462
73,0.5235,0.7453,0.5582,0.6424,0.7301,0.84
74,0.5286,0.7411,0.5453,0.6443,0.7374,0.8412
75,0.5413,0.7329,0.5245,0.6184,0.7373,0.8288
76,0.5322,0.6963,0.4829,0.5986,0.7169,0.8209
77,0.5309,0.685,0.5178,0.634,0.7504,0.8218
78,0.5428,0.6784,0.5067,0.6365,0.7465,0.8037
79,0.5361,0.6599,0.4697,0.6477,0.7482,0.8067
80,0.5291,0.647,0.4648,0.6807,0.7418,0.8084
81,0.524,0.6596,0.473,0.6891,0.7476,0.8091
82,0.5382,0.6437,0.4376,0.6917,0.7451,0.7998
83,0.5483,0.607,0.4198,0.7184,0.7493,0.8172
84,0.5367,0.5959,0.4817,0.7286,0.7514,0.8142
85,0.539,0.5588,0.5007,0.7258,0.7598,0.8055
86,0.5559,0.5121,0.5424,0.7502,0.7602,0.8034
87,0.5392,0.4646,0.6034,0.7617,0.7603,0.814
88,0.5352,0.4412,0.6654,0.7568,0.7545,0.8125
89,0.5253,0.3916,0.6354,0.7472,0.7463,0.809
90,0.5259,0.3519,0.6615,0.7518,0.7446,0.8169
91,0.5457,0.3086,0.6667,0.7544,0.7423,0.8141
92,0.5527,0.2842,0.6237,0.7518,0.7466,0.8042
93,0.5388,0.2558,0.5909,0.7535,0.7489,0.7985
94,0.5688,0.2292,0.5887,0.7652,0.7543,0.7989
95,0.5506,0.2132,0.5635,0.7609,0.7579,0.8002
96,0.527,0.193,0.5197,0.756,0.7647,0.8051
97,0.5547,0.1817,0.5296,0.7449,0.7678,0.8138
98,0.5483,0.167,0.5439,0.7511,0.7758,0.8144
99,0.5482,0.1547,0.5571,0.7438,0.7701,0.8198
100,0.5761,0.1415,0.5753,0.7561,0.7765,0.8223
101,0.5728,0.1348,0.6116,0.7552,0.7809,0.8144
102,0.5252,0.1245,0.6083,0.7701,0.7834,0.8159
103,0.5285,0.1158,0.5948,0.7613,0.7895,0.8135
104,0.5243,0.1083,0.6055,0.7681,0.7993,0.8099
105,0.5194,0.101,0.6083,0.7625,0.7836,0.8058
106,0.5253,0.0939,0.5791,0.7584,0.7751,0.7792
107,0.5578,0.0904,0.5825,0.7632,0.7626,0.7668
