round,random,cmab,cmab_trust,truthride
1,0.411,0.4545,0.4545,0.4545
2,0.3892,0.3233,0.3233,0.3254
3,0.3584,0.3102,0.3102,0.2543
4,0.2879,0.3124,0.3124,0.2258
5,0.2632,0.2892,0.2892,0.2159
6,0.2659,0.2681,0.2681,0.2063
7,0.254,0.2738,0.2738,0.1922
8,0.2536,0.2865,0.2827,0.1989
9,0.2587,0.2915,0.288,0.2131
10,0.2495,0.2814,0.2781,0.2003
11,0.2452,0.2747,0.2698,0.2013
12,0.2443,0.2626,0.259,0.1948
13,0.2509,0.2554,0.2575,0.1893
14,0.2404,0.2514,0.2435,0.1855
15,0.2467,0.2462,0.2362,0.1865
16,0.2473,0.2465,0.2377,0.1799
17,0.2464,0.2458,0.23,0.174
18,0.244,0.2523,0.2298,0.1775
19,0.2496,0.2529,0.235,0.1734
20,0.2479,0.2551,0.2369,0.174
21,0.2467,0.2522,0.2371,0.1819
22,0.2473,0.2524,0.2339,0.1801
23,0.2438,0.2485,0.2293,0.1784
24,0.2454,0.2438,0.2244,0.1745
25,0.2459,0.2455,0.2219,0.1734
26,0.2449,0.2484,0.2242,0.1699
27,0.2459,0.248,0.2202,0.1679
28,0.2445,0.2453,0.2174,0.1662
29,0.2445,0.2427,0.2152,0.1644
30,0.2438,0.2398,0.2122,0.1699
31,0.241,0.2382,0.2095,0.1675
32,0.24,0.2344,0.2079,0.1642
33,0.2426,0.2314,0.2059,0.162
34,0.2441,0.2285,0.2031,0.1589
35,0.2431,0.2284,0.2009,0.1568
36,0.2412,0.2263,0.2001,0.1554
37,0.2424,0.2279,0.2007,0.1534
38,0.2412,0.226,0.1987,0.1524
39,0.2442,0.2238,0.1969,0.1513
40,0.2449,0.2252,0.1959,0.1501
41,0.2414,0.2304,0.1937,0.148
42,0.2403,0.2298,0.1917,0.1462
43,0.2418,0.2297,0.1894,0.1449
44,0.2395,0.2292,0.1878,0.1431
45,0.2389,0.2325,0.186,0.142
46,0.2421,0.2354,0.1862,0.1403
47,0.2413,0.2354,0.1834,0.1376
48,0.2444,0.2324,0.1849,0.1364
49,0.2431,0.2329,0.1846,0.1343
50,0.2412,0.238,0.1839,0.1316
51,0.2404,0.2382,0.1829,0.1306
52,0.2375,0.2376,0.1807,0.1287
53,0.2343,0.2384,0.1781,0.1271
54,0.2333,0.2398,0.1771,0.1262
55,0.2361,0.2382,0.175,0.1244
56,0.2351,0.2387,0.1734,0.1236
57,0.2354,0.2359,0.1709,0.1216
58,0.2321,0.2327,0.1687,0.12
59,0.2327,0.2327,0.169,0.1194
60,0.2344,0.2355,0.167,0.118
61,0.2367,0.2394,0.169,0.1165
62,0.2361,0.2366,0.1682,0.115
63,0.2379,0.2378,0.1696,0.1141
64,0.2372,0.2375,0.1682,0.1131
65,0.2376,0.2385,0.1667,0.1119
66,0.2379,0.2393,0.1654,0.1112
67,0.2369,0.2379,0.1646,0.11
68,0.237,0.2382,0.1633,0.1089
69,0.2406,0.238,0.1618,0.1078
70,0.2399,0.2393,0.1605,0.1071
71,0.2457,0.2392,0.1618,0.1054
72,0.2464,0.2413,0.1645,0.105
73,0.245,0.2433,0.171,0.104
74,0.2456,0.2435,0.1733,0.1032
75,0.2468,0.2439,0.1743,0.1023
76,0.2461,0.2459,0.1779,0.1016
77,0.2447,0.2432,0.1776,0.1005
78,0.2454,0.2402,0.176,0.0995
79,0.2456,0.2429,0.1749,0.0988
80,0.2459,0.2447,0.174,0.0979
81,0.248,0.2432,0.1764,0.0971
82,0.2465,0.2443,0.1754,0.0966
83,0.2458,0.2455,0.1747,0.0963
84,0.2482,0.2458,0.1729,0.0951
85,0.2504,0.2463,0.1716,0.0945
86,0.2501,0.2481,0.1701,0.0936
87,0.2527,0.2471,0.1686,0.0931
88,0.2527,0.2456,0.1671,0.0924
89,0.2533,0.2447,0.1665,0.092
90,0.2542,0.2455,0.1651,0.0915
91,0.2525,0.2455,0.164,0.0906
92,0.2536,0.2458,0.1634,0.0902
93,0.2555,0.2445,0.1623,0.0892
94,0.2556,0.2439,0.1615,0.0886
95,0.2549,0.2436,0.1609,0.0881
96,0.2547,0.2447,0.16,0.0878
97,0.2545,0.2445,0.159,0.0871
98,0.2538,0.2432,0.158,0.0867
99,0.2529,0.242,0.1571,0.0861
100,0.2512,0.2409,0.156,0.0855
101,0.2517,0.2384,0.1547,0.0847
102,0.2513,0.2391,0.1537,0.0843
103,0.2516,0.2397,0.1529,0.0837
104,0.2519,0.2388,0.1522,0.0834
105,0.251,0.238,0.1516,0.0832
106,0.2516,0.2375,0.151,0.0828
107,0.2499,0.2365,0.1502,0.0824
108,0.2484,0.2354,0.1494,0.0821
109,0.2482,0.2344,0.1489,0.0818
110,0.2487,0.233,0.1473,0.0811
111,0.2484,0.2335,0.1469,0.0809
112,0.2494,0.2348,0.1462,0.0805
113,0.2504,0.2378,0.1465,0.0816
114,0.2498,0.2379,0.1461,0.0813
115,0.2511,0.2374,0.1458,0.081
116,0.2512,0.2387,0.1454,0.0808
117,0.251,0.2387,0.1448,0.0804
118,0.2501,0.2402,0.1442,0.0801
119,0.2505,0.24,0.1435,0.0799
120,0.25,0.2399,0.1432,0.0797
121,0.2487,0.2384,0.1426,0.0793
122,0.2483,0.2387,0.142,0.0789
123,0.2483,0.2391,0.1416,0.0786
124,0.2478,0.239,0.1411,0.0782
125,0.2475,0.241,0.1407,0.0781
126,0.2475,0.2396,0.1403,0.0777
127,0.2475,0.2402,0.14,0.0775
128,0.2467,0.2409,0.1399,0.0771
129,0.2495,0.2434,0.1396,0.0768
130,0.2491,0.2421,0.1394,0.0765
131,0.2497,0.2413,0.1392,0.0763
132,0.2503,0.2412,0.1394,0.0761
133,0.2517,0.2415,0.1393,0.0758
134,0.2525,0.2433,0.1393,0.0758
135,0.2515,0.242,0.1389,0.0756
136,0.251,0.2414,0.1389,0.0754
137,0.2504,0.2408,0.1388,0.0752
138,0.251,0.2413,0.1388,0.0751
139,0.2522,0.2418,0.1388,0.0749
140,0.2515,0.2416,0.1387,0.0748
141,0.2522,0.2417,0.1387,0.0748
142,0.2531,0.2428,0.1403,0.0747
143,0.2528,0.2436,0.1403,0.0746
144,0.2525,0.2437,0.1403,0.0745
