round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
1,-195.909,-195.909,-292.2267,-336.2267,-328.7775,-328.7775
2,-338.7962,-338.7962,-388.1798,-500.1798,-418.8928,-418.8928
3,-818.7637,-818.7637,-621.4917,-801.8917,-392.1284,-392.1284
4,-1105.2073,-1105.2073,-588.9278,-840.9278,-320.2353,-320.2353
5,-1404.2173,-1404.2173,-134.118,-456.718,-193.7105,-199.749
6,-1738.0191,-1738.0191,194.7706,-197.6295,77.9361,93.1336
7,-2059.2764,-2059.2764,320.4397,-131.9603,87.3151,139.9747
8,-2351.3448,-2351.3448,228.5558,-293.0442,-42.9401,16.5621
9,-2590.2773,-2590.2773,241.1982,-331.6018,-248.6541,-187.9285
10,-2728.5808,-2728.5808,664.8893,21.8893,90.8949,161.6313
11,-3139.0399,-3139.0399,1151.3019,436.9019,348.9472,419.629
12,-3430.8599,-3430.8599,1507.6732,728.0732,485.1273,586.0433
13,-3893.9809,-3893.9809,1596.0031,753.8031,540.9766,636.7824
14,-4180.328,-4180.328,2095.2595,1217.3207,811.5456,853.3302
15,-4682.5103,-4682.5103,2280.4366,1362.5402,1108.7016,1058.3298
16,-4823.9655,-4823.9655,2468.6819,1485.9238,1303.1155,1215.8791
17,-5006.2949,-5006.2949,2949.6963,1898.4797,1419.1499,1359.25
18,-5179.3444,-5179.3444,3272.0284,2159.4148,1487.9177,1406.8767
19,-5430.9198,-5430.9198,3532.8444,2384.6408,1588.6294,1569.3343
20,-5644.2514,-5644.2514,3746.8637,2563.6495,1712.0538,1742.6468
21,-5898.7451,-5898.7451,4056.1798,2839.1493,1983.1249,2021.142
22,-6046.4068,-6046.4068,4216.317,2991.921,1892.0485,1940.7621
23,-6287.4072,-6287.4072,4458.9756,3203.1672,1691.7099,1760.7161
24,-6630.5749,-6630.5749,4643.6832,3363.3178,1727.8374,1778.3315
25,-6801.3343,-6801.3343,4812.5443,3527.1943,1684.8085,1729.602
26,-7177.8539,-7177.8539,4968.372,3645.4501,1554.8966,1610.0644
27,-7334.5789,-7334.5789,5253.098,3900.6299,1455.7753,1568.6556
28,-7744.2454,-7744.2454,5435.2709,4036.2211,1069.4152,1275.4723
29,-7950.622,-7950.622,5644.6158,4236.994,1049.8476,1260.2028
30,-8083.0567,-8083.0567,5727.0544,4424.6667,963.8897,1195.1315
31,-8410.9579,-8410.9579,5816.3812,4508.5058,933.8398,1324.5844
32,-8613.1564,-8613.1564,6158.9692,4907.7352,930.3379,1388.7206
33,-9353.41,-9353.41,6263.4477,4926.1468,785.9194,1341.7677
34,-9459.7955,-9459.7955,6488.0164,5117.2427,868.2019,1520.5719
35,-9796.8151,-9796.8151,6622.1968,5342.6876,739.2134,1375.3761
36,-10091.4811,-10091.4811,6812.8387,5601.3125,811.9302,1572.5723
37,-10472.264,-10472.264,6872.561,5825.8802,720.8184,1776.5138
38,-10766.2495,-10766.2495,6899.1133,6056.7753,702.9265,1763.2409
39,-11246.9121,-11246.9121,6888.5803,6169.6382,495.9356,1756.7421
