round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
1,-272.9212,-272.9212,-207.1639,-267.2972,-130.7095,-130.7095
2,-276.3018,-276.3018,-147.232,-210.232,-80.0588,-80.0588
3,-280.8435,-280.8435,-26.8236,-91.3436,-38.7421,-39.9498
4,-308.422,-308.422,97.3994,27.7194,81.3427,84.3822
5,-344.096,-344.096,141.7239,73.6439,101.2416,111.7735
6,-306.5162,-306.5162,170.0095,101.7695,69.8376,81.7381
7,-297.014,-297.014,166.0252,101.8652,14.3162,26.4614
8,-264.8727,-264.8727,159.8015,95.7215,56.9211,72.2761
9,-280.2041,-280.2041,191.3063,126.9063,54.2022,65.2991
10,-274.3167,-274.3167,237.4467,172.0067,79.5624,89.2137
11,-308.5272,-308.5272,273.4894,209.3694,116.7833,124.0441
12,-318.0101,-318.0101,370.8123,309.7845,212.0399,208.2517
13,-390.7859,-390.7859,323.1095,268.1302,203.5614,179.3397
14,-336.9851,-336.9851,263.476,209.8044,190.8337,159.25
15,-315.087,-315.087,288.4046,234.0813,186.8045,154.6414
16,-257.0727,-257.0727,335.205,281.1223,189.3882,154.0189
17,-250.1184,-250.1184,287.517,233.464,155.4168,143.2008
18,-192.3482,-192.3482,293.2854,240.2219,120.6705,136.8634
19,-214.9559,-214.9559,317.4996,270.6451,136.0019,161.0526
20,-208.0224,-208.0224,253.3241,218.6883,94.5797,116.3024
21,-221.6125,-221.6125,237.3894,208.7505,40.7585,70.7679
22,-239.931,-239.931,222.1678,195.7354,27.8416,41.7995
23,-231.4166,-231.4166,213.1361,192.709,-5.4491,-2.609
24,-255.8218,-255.8218,182.4384,161.2602,-85.6457,-82.2155
25,-257.6344,-257.6344,207.3562,181.7418,-87.2547,-74.4213
26,-291.3676,-291.3676,195.2591,166.6108,-124.4589,-97.0488
27,-264.0094,-264.0094,200.1865,174.7352,-135.598,-103.6258
28,-256.3445,-256.3445,182.902,179.4945,-144.1838,-106.8941
29,-246.6208,-246.6208,169.6019,172.6111,-124.2114,-57.096
30,-255.7155,-255.7155,181.1743,201.4211,-105.0875,-35.987
31,-321.8329,-321.8329,165.6354,177.9852,-56.6992,13.2591
32,-301.8347,-301.8347,168.6801,176.0497,-36.3292,52.0738
33,-342.7517,-342.7517,179.0285,183.6042,-44.9353,36.0489
34,-336.1046,-336.1046,199.2915,218.5613,-24.382,49.5976
35,-371.8215,-371.8215,142.7184,183.629,-41.9039,77.5586
36,-282.5679,-282.5679,127.1331,226.1257,-16.5986,84.2946
37,-357.4233,-357.4233,80.1128,210.4791,-74.4533,47.234
38,-322.3273,-322.3273,51.5847,200.7855,-16.8482,109.4551
39,-290.5424,-290.5424,76.4924,225.2805,8.4557,110.0798
40,-250.4071,-250.4071,88.8483,190.8249,75.8378,119.9809
41,-264.6442,-264.6442,92.956,183.1731,88.601,147.562
42,-272.6422,-48.1238,96.0995,207.371,185.1322,215.3842
43,-304.1002,45.4179,42.0108,180.1794,120.7344,153.2903
44,-336.3177,181.2582,19.3176,150.1534,95.93,170.9931
45,-380.7721,352.6578,-17.3818,226.1855,136.5846,228.9515
46,-369.2053,487.8634,8.4211,250.4502,133.9585,222.1276
47,-326.5435,424.2052,12.2543,251.1683,101.2242,210.0707
48,-315.8838,480.4759,142.5305,322.1465,199.8322,329.9505
49,-348.4081,469.3719,150.6742,305.6846,207.6734,317.5598
50,-281.7258,450.011,259.5442,331.9245,201.8681,286.9844
51,-237.6484,504.643,302.2977,376.5957,314.4731,390.6792
52,-272.2346,574.2471,310.9396,344.769,284.9891,351.7377
53,-315.3807,587.7106,287.6771,315.0094,263.1427,337.911
54,-314.8466,541.8768,216.2002,307.2871,264.6532,338.2522
55,-322.8226,601.3631,235.1349,297.8353,299.7878,385.3275
56,-413.2934,618.7185,188.7792,262.3466,226.7403,316.6236
57,-402.1616,576.3058,155.4404,251.5124,284.1873,325.9181
58,-394.6028,550.9115,153.1446,267.6556,299.1843,336.4588
59,-346.5387,605.6606,161.2746,296.5413,325.3769,377.053
60,-375.1424,545.689,71.493,250.2122,315.1823,359.7708
61,-333.2255,513.4318,40.5177,207.4067,345.7794,390.1248
62,-274.5412,547.274,81.6992,264.1965,409.1434,486.5958
63,-362.5192,482.6854,53.4827,240.4133,378.715,396.145
64,-382.353,456.6901,139.7132,267.9328,398.4171,392.6357
65,-397.5088,432.2686,160.0254,272.2522,380.5523,352.5637
66,-382.7639,387.6499,210.2091,307.6752,380.1162,371.9992
67,-382.4673,394.2341,241.5884,330.6496,339.5446,363.032
68,-280.021,422.4013,270.7479,344.2631,340.7967,409.4197
69,-340.6598,476.9014,218.5294,308.0791,384.9641,509.4602
70,-359.5593,436.2768,117.9024,221.4699,243.6633,452.6666
71,-348.8028,468.0712,105.2255,209.2807,247.3549,466.2192
72,-373.9344,441.6212,93.3566,169.1496,252.1008,440.53
73,-358.7952,481.1544,64.8141,171.3997,310.7279,504.5751
74,-295.7755,409.0158,33.8866,189.6703,271.0757,392.0794
75,-302.3821,549.3888,157.2197,361.7895,514.7367,538.5772
76,-288.987,532.7231,162.8825,368.8678,492.5727,490.0771
77,-290.7921,474.8068,99.8283,389.1422,489.3577,500.9053
78,-355.9728,487.5762,68.7,385.2617,412.1993,421.8491
79,-381.6319,541.1013,45.736,359.8076,414.5743,499.2072
80,-359.5195,392.0635,-22.876,286.2058,284.3923,433.7915
81,-347.7125,348.0832,-59.0038,243.5806,243.4332,386.1271
82,-327.6354,473.6673,-10.2611,296.318,343.5877,474.3984
83,-279.5778,399.5962,23.9985,361.3687,442.997,564.1211
84,-225.2251,359.341,76.2713,390.4571,494.876,541.7327
85,-222.5074,380.3791,105.7772,436.0995,436.8916,508.7289
86,-319.5805,368.0979,116.9159,486.5309,472.7864,582.5763
87,-403.707,182.6234,15.9578,337.5712,288.9054,430.4129
88,-386.7352,186.4333,22.4639,306.1216,278.167,458.2753
89,-368.8103,152.2645,31.117,352.6425,252.5162,483.3164
90,-378.8833,33.1777,-39.4898,236.4634,240.6206,462.267
91,-315.8361,22.4666,-9.0881,259.3005,268.365,484.6243
92,-261.9539,37.1489,111.9611,381.7517,314.1973,502.7981
93,-287.2756,-50.7119,90.7647,359.7202,283.6749,451.163
94,-314.8144,-173.5056,36.1911,305.7006,231.6535,373.056
95,-312.8152,-219.435,75.8963,359.8544,328.9455,455.4328
96,-342.6607,-337.2102,36.4592,378.1625,340.3733,464.4778
97,-353.3802,-463.6468,-64.328,328.1742,362.6741,481.2214
98,-333.9175,-564.6228,-51.3781,389.5049,421.398,514.2875
99,-311.6536,-660.4627,17.3159,472.3796,551.4623,645.3634
100,-322.5513,-737.2631,-25.7796,485.0946,568.9079,647.2104
101,-341.2173,-822.4257,-69.2143,430.9429,536.1478,617.7132
102,-307.8458,-813.4922,-38.1832,432.9475,511.0333,623.4752
103,-280.5438,-828.133,-76.6706,350.5064,412.8985,547.2124
104,-297.9684,-788.7131,-156.8878,259.6676,265.4741,434.4627
105,-232.9841,-797.1015,-33.0115,298.7884,258.8694,440.733
106,-233.8533,-768.9325,50.4701,308.8972,213.2536,390.8761
107,-244.4054,-802.8667,111.3107,312.9836,236.2823,390.5767
108,-200.9736,-875.6365,240.6743,426.0698,377.0164,517.9014
109,-211.6879,-887.7558,284.1006,463.6422,396.6055,510.7338
110,-257.7786,-849.7161,209.3266,445.0945,353.4071,475.9185
111,-194.3133,-762.6801,146.1645,393.4254,334.1192,442.0928
112,-203.3818,-757.1457,121.5699,380.975,291.5173,391.4338
113,-355.5121,-799.4457,-48.4961,247.6648,92.7473,237.9465
114,-419.4911,-827.2624,-75.4444,154.8163,20.6514,186.5767
115,-376.3616,-839.9086,-53.6441,124.8199,-51.3335,173.4866
116,-402.0132,-924.4476,-86.9666,146.1947,5.5299,247.6893
117,-373.9272,-961.8158,-82.8193,204.4781,-15.6729,281.4104
118,-332.143,-922.6319,-66.962,221.2724,-7.8844,321.6886
119,-304.0616,-999.7166,-24.6998,268.6863,76.431,382.2692
120,-305.3487,-1033.7996,-73.8515,245.9886,142.1947,400.4303
121,-267.6126,-1043.1168,-48.8705,268.0889,139.4266,403.5116
122,-296.3945,-1071.0527,-98.8285,239.4641,183.6558,434.3543
123,-249.7984,-999.7933,-113.9626,221.1502,182.3448,428.1327
124,-245.618,-1015.274,-168.7076,205.6974,147.9773,421.7177
125,-253.1619,-916.8003,-153.4481,185.5436,85.065,339.1254
126,-281.0422,-953.744,-105.9471,209.8742,116.143,394.0094
127,-287.4224,-912.9251,-98.0788,215.1247,153.7937,426.382
128,-251.7157,-974.8338,-6.4435,289.1326,190.5029,501.0165
129,-230.9536,-868.6486,11.2078,279.449,176.0345,507.9596
130,-268.582,-931.6225,23.4471,274.3934,151.3394,516.0496
131,-276.8112,-842.0744,24.6823,225.581,77.2032,403.2249
132,-224.3775,-724.2388,39.4611,149.6485,-19.3567,308.4959
