round,cmab,cmab_trust,truthride
1,-207.1639,-267.2972,-130.7095
2,-147.232,-210.232,-80.0588
3,-26.8236,-91.3436,-39.9498
4,97.3994,27.7194,84.3822
5,141.7239,73.6439,111.7735
6,170.0095,101.7695,81.7381
7,166.0252,101.8652,26.4614
8,159.8015,95.7215,72.2761
9,191.3063,126.9063,65.2991
10,237.4467,172.0067,89.2137
11,273.4894,209.3694,124.0441
12,370.8123,309.7845,208.2517
13,323.1095,268.1302,179.3397
14,263.476,209.8044,159.25
15,288.4046,234.0813,154.6414
16,335.205,281.1223,154.0189
17,287.517,233.464,143.2008
18,293.2854,240.2219,136.8634
19,317.4996,270.6451,161.0526
20,253.3241,218.6883,116.3024
21,237.3894,208.7505,70.7679
22,222.1678,195.7354,41.7995
23,213.1361,192.709,-2.609
24,182.4384,161.2602,-82.2155
25,207.3562,181.7418,-74.4213
26,195.2591,166.6108,-97.0488
27,200.1865,174.7352,-103.6258
28,182.902,179.4945,-106.8941
29,169.6019,172.6111,-57.096
30,181.1743,201.4211,-35.987
31,165.6354,177.9852,13.2591
32,168.6801,176.0497,52.0738
33,179.0285,183.6042,36.0489
34,199.2915,218.5613,49.5976
35,142.7184,183.629,77.5586
36,127.1331,226.1257,84.2946
37,80.1128,210.4791,47.234
38,51.5847,200.7855,109.4551
39,76.4924,225.2805,110.0798
40,88.8483,190.8249,119.9809
41,92.956,183.1731,147.562
42,96.0995,207.371,215.3842
43,42.0108,180.1794,153.2903
44,19.3176,150.1534,170.9931
45,-17.3818,226.1855,228.9515
46,8.4211,250.4502,222.1276
47,12.2543,251.1683,210.0707
48,142.5305,322.1465,329.9505
49,150.6742,305.6846,317.5598
50,259.5442,331.9245,286.9844
51,302.2977,376.5957,390.6792
52,310.9396,344.769,351.7377
53,287.6771,315.0094,337.911
54,216.2002,307.2871,338.2522
55,235.1349,297.8353,385.3275
56,188.7792,262.3466,316.6236
57,155.4404,251.5124,325.9181
58,153.1446,267.6556,336.4588
59,161.2746,296.5413,377.053
60,71.493,250.2122,359.7708
61,40.5177,207.4067,390.1248
62,81.6992,264.1965,486.5958
63,53.4827,240.4133,396.145
64,139.7132,267.9328,392.6357
65,160.0254,272.2522,352.5637
66,210.2091,307.6752,371.9992
67,241.5884,330.6496,363.032
68,270.7479,344.2631,409.4197
69,218.5294,308.0791,509.4602
70,117.9024,221.4699,452.6666
71,105.2255,209.2807,466.2192
72,93.3566,169.1496,440.53
73,64.8141,171.3997,504.5751
74,33.8866,189.6703,392.0794
75,157.2197,361.7895,538.5772
76,162.8825,368.8678,490.0771
77,99.8283,389.1422,500.9053
78,68.7,385.2617,421.8491
79,45.736,359.8076,499.2072
80,-22.876,286.2058,433.7915
81,-59.0038,243.5806,386.1271
82,-10.2611,296.318,474.3984
83,23.9985,361.3687,564.1211
84,76.2713,390.4571,541.7327
85,105.7772,436.0995,508.7289
86,116.9159,486.5309,582.5763
87,15.9578,337.5712,430.4129
88,22.4639,306.1216,458.2753
89,31.117,352.6425,483.3164
90,-39.4898,236.4634,462.267
91,-9.0881,259.3005,484.6243
92,111.9611,381.7517,502.7981
93,90.7647,359.7202,451.163
94,36.1911,305.7006,373.056
95,75.8963,359.8544,455.4328
96,36.4592,378.1625,464.4778
97,-64.328,328.1742,481.2214
98,-51.3781,389.5049,514.2875
99,17.3159,472.3796,645.3634
100,-25.7796,485.0946,647.2104
101,-69.2143,430.9429,617.7132
102,-38.1832,432.9475,623.4752
103,-76.6706,350.5064,547.2124
104,-156.8878,259.6676,434.4627
105,-33.0115,298.7884,440.733
106,50.4701,308.8972,390.8761
107,111.3107,312.9836,390.5767
108,240.6743,426.0698,517.9014
109,284.1006,463.6422,510.7338
110,209.3266,445.0945,475.9185
111,146.1645,393.4254,442.0928
112,121.5699,380.975,391.4338
113,-48.4961,247.6648,237.9465
114,-75.4444,154.8163,186.5767
115,-53.6441,124.8199,173.4866
116,-86.9666,146.1947,247.6893
117,-82.8193,204.4781,281.4104
118,-66.962,221.2724,321.6886
119,-24.6998,268.6863,382.2692
120,-73.8515,245.9886,400.4303
121,-48.8705,268.0889,403.5116
122,-98.8285,239.4641,434.3543
123,-113.9626,221.1502,428.1327
124,-168.7076,205.6974,421.7177
125,-153.4481,185.5436,339.1254
126,-105.9471,209.8742,394.0094
127,-98.0788,215.1247,426.382
128,-6.4435,289.1326,501.0165
129,11.2078,279.449,507.9596
130,23.4471,274.3934,516.0496
131,24.6823,225.581,403.2249
132,39.4611,149.6485,308.4959
133,39.9215,109.3468,283.8143
134,57.6103,73.9566,203.9084
135,101.8276,54.5342,256.3908
136,74.3791,-15.5643,240.1725
137,80.1357,-41.3156,270.0752
138,11.8737,-133.5903,175.0709
139,-19.3274,-132.6676,205.2918
140,-137.1411,-188.8875,152.6372
141,-197.9889,-207.4412,176.6297
142,-228.4718,-243.115,157.4475
143,-245.7095,-258.7844,179.0551
144,-274.6521,-313.7241,166.301
