round,trust_aware,membership_aware,truthride
1,61.0,61.0,61.0
2,61.0,61.0,61.0
3,61.0,61.0,61.0
4,61.0,61.0,61.0
5,61.0,61.0,61.0
6,62.0,62.0,62.0
7,62.0,62.0,62.0
8,62.0,62.0,62.0
9,62.0,62.0,62.0
10,63.0,63.0,63.0
11,63.0,64.0,64.0
12,64.0,64.0,64.0
13,64.0,64.0,64.0
14,64.0,64.0,64.0
15,65.0,64.0,64.0
16,65.0,64.0,64.0
17,65.0,64.0,64.0
18,65.0,66.0,66.0
19,65.0,66.0,66.0
20,66.0,67.0,68.0
21,68.0,67.0,68.0
22,69.0,69.0,70.0
23,70.0,70.0,71.0
24,72.0,70.0,71.0
25,72.0,72.0,72.0
26,72.0,73.0,73.0
27,73.0,73.0,74.0
28,74.0,73.0,74.0
29,76.0,75.0,76.0
30,77.0,75.0,76.0
31,77.0,76.0,77.0
32,79.0,79.0,79.0
33,80.0,80.0,80.0
34,82.0,82.0,83.0
35,83.0,83.0,85.0
36,84.0,84.0,85.0
37,86.0,85.0,86.0
38,87.0,87.0,88.0
39,89.0,87.0,88.0
40,90.0,88.0,90.0
41,90.0,88.0,90.0
42,92.0,91.0,92.0
43,93.0,92.0,93.0
44,94.0,92.0,94.0
45,95.0,93.0,94.0
46,96.0,94.0,95.0
47,96.0,94.0,95.0
48,97.0,96.0,96.0
49,97.0,96.0,97.0
50,97.0,98.0,98.0
51,98.0,98.0,100.0
52,98.0,99.0,100.0
53,99.0,100.0,100.0
54,100.0,100.0,102.0
55,101.0,102.0,103.0
56,101.0,102.0,104.0
57,101.0,103.0,105.0
58,102.0,104.0,105.0
59,103.0,106.0,106.0
60,104.0,107.0,107.0
61,105.0,107.0,107.0
62,106.0,109.0,108.0
63,106.0,110.0,109.0
64,106.0,110.0,110.0
65,107.0,111.0,111.0
66,108.0,113.0,114.0
67,108.0,114.0,114.0
68,109.0,115.0,117.0
69,110.0,117.0,118.0
70,111.0,119.0,120.0
71,111.0,119.0,120.0
72,111.0,119.0,121.0
73,111.0,120.0,122.0
74,111.0,121.0,122.0
75,113.0,122.0,123.0
76,113.0,122.0,124.0
77,113.0,123.0,126.0
78,114.0,124.0,126.0
79,115.0,124.0,127.0
80,115.0,125.0,128.0
81,116.0,126.0,129.0
82,117.0,126.0,131.0
83,117.0,127.0,131.0
84,118.0,128.0,133.0
85,118.0,129.0,133.0
86,120.0,130.0,134.0
87,121.0,131.0,136.0
88,122.0,132.0,137.0
89,122.0,132.0,137.0
90,122.0,133.0,138.0
91,124.0,133.0,138.0
92,124.0,134.0,139.0
93,124.0,134.0,140.0
94,125.0,135.0,142.0
95,125.0,136.0,142.0
96,125.0,137.0,144.0
97,125.0,137.0,144.0
98,126.0,137.0,145.0
99,126.0,138.0,146.0
100,126.0,138.0,147.0
101,126.0,138.0,147.0
102,126.0,138.0,147.0
103,126.0,139.0,147.0
104,126.0,139.0,148.0
105,126.0,139.0,148.0
106,126.0,139.0,148.0
107,126.0,139.0,148.0
108,127.0,140.0,149.0
109,127.0,140.0,149.0
110,127.0,141.0,150.0
111,127.0,141.0,150.0
112,127.0,141.0,150.0
113,127.0,141.0,151.0
114,127.0,141.0,151.0
115,128.0,141.0,152.0
116,128.0,142.0,152.0
117,128.0,142.0,153.0
118,128.0,142.0,153.0
119,129.0,143.0,154.0
120,129.0,143.0,154.0
121,129.0,144.0,155.0
122,129.0,144.0,155.0
123,129.0,144.0,155.0
124,129.0,144.0,155.0
125,129.0,145.0,155.0
126,129.0,145.0,155.0
127,129.0,145.0,155.0
128,129.0,145.0,155.0
129,129.0,145.0,155.0
130,129.0,145.0,155.0
131,130.0,145.0,156.0
132,130.0,145.0,156.0
133,130.0,145.0,156.0
134,130.0,145.0,156.0
135,130.0,145.0,156.0
136,130.0,145.0,156.0
137,130.0,145.0,156.0
138,130.0,145.0,156.0
139,130.0,145.0,156.0
140,130.0,145.0,156.0
141,130.0,145.0,156.0
142,130.0,145.0,156.0
143,130.0,145.0,156.0
144,130.0,145.0,156.0
