round,trust_aware,membership_aware,truthride
1,191.0,191.0,191.0
2,203.0,203.0,203.0
3,204.0,204.0,204.0
4,203.0,204.0,204.0
5,205.0,205.0,206.0
6,205.0,206.0,206.0
7,208.0,208.0,209.0
8,209.0,210.0,211.0
9,208.0,210.0,211.0
10,208.0,211.0,212.0
11,207.0,210.0,211.0
12,207.0,209.0,211.0
13,206.0,208.0,210.0
14,204.0,206.0,209.0
15,203.0,204.0,208.0
16,202.0,205.0,209.0
17,204.0,206.0,210.0
18,204.0,207.0,211.0
19,204.0,207.0,212.0
20,204.0,207.0,212.0
21,203.0,206.0,211.0
22,203.0,207.0,212.0
23,203.0,207.0,213.0
24,203.0,207.0,213.0
25,202.0,207.0,212.0
26,202.0,207.0,213.0
27,201.0,207.0,213.0
28,200.0,206.0,213.0
29,198.0,205.0,212.0
30,198.0,206.0,213.0
31,197.0,205.0,213.0
32,196.0,204.0,213.0
33,198.0,206.0,214.0
34,196.0,205.0,214.0
35,195.0,204.0,214.0
36,195.0,202.0,213.0
37,193.0,201.0,213.0
38,192.0,200.0,212.0
39,192.0,201.0,212.0
40,192.0,201.0,213.0
41,194.0,202.0,215.0
42,193.0,202.0,216.0
43,193.0,203.0,218.0
44,194.0,204.0,220.0
45,192.0,202.0,219.0
46,191.0,201.0,219.0
47,191.0,200.0,220.0
48,189.0,199.0,219.0
49,189.0,199.0,220.0
50,189.0,199.0,221.0
51,190.0,200.0,223.0
52,190.0,200.0,224.0
53,190.0,201.0,226.0
54,189.0,200.0,225.0
55,187.0,199.0,225.0
56,187.0,199.0,225.0
57,189.0,201.0,227.0
58,188.0,200.0,228.0
59,188.0,201.0,228.0
60,188.0,201.0,229.0
61,188.0,201.0,231.0
62,190.0,203.0,234.0
63,189.0,202.0,234.0
64,188.0,202.0,234.0
65,186.0,200.0,233.0
66,187.0,200.0,235.0
67,187.0,201.0,236.0
68,186.0,200.0,236.0
69,186.0,199.0,236.0
70,185.0,199.0,237.0
71,188.0,202.0,241.0
72,187.0,202.0,241.0
73,186.0,202.0,242.0
74,185.0,202.0,242.0
75,184.0,200.0,242.0
76,182.0,199.0,241.0
77,180.0,198.0,241.0
78,178.0,195.0,239.0
79,176.0,193.0,238.0
80,173.0,191.0,236.0
81,172.0,189.0,235.0
82,171.0,186.0,235.0
83,169.0,184.0,234.0
84,168.0,184.0,234.0
85,168.0,183.0,234.0
86,166.0,181.0,233.0
87,163.0,179.0,231.0
88,162.0,179.0,230.0
89,160.0,177.0,228.0
90,160.0,177.0,229.0
91,158.0,175.0,228.0
92,157.0,174.0,228.0
93,156.0,172.0,227.0
94,156.0,171.0,226.0
95,154.0,169.0,226.0
96,153.0,168.0,226.0
97,152.0,167.0,225.0
98,148.0,165.0,224.0
99,146.0,164.0,224.0
100,145.0,162.0,223.0
101,143.0,161.0,222.0
102,143.0,161.0,223.0
103,140.0,158.0,220.0
104,138.0,156.0,218.0
105,138.0,155.0,218.0
106,137.0,154.0,217.0
107,136.0,154.0,216.0
108,134.0,152.0,215.0
109,134.0,152.0,215.0
110,132.0,150.0,213.0
111,130.0,148.0,211.0
112,129.0,146.0,211.0
113,128.0,146.0,210.0
114,128.0,144.0,210.0
115,127.0,144.0,210.0
116,126.0,142.0,208.0
117,124.0,141.0,208.0
118,120.0,137.0,204.0
119,118.0,135.0,202.0
120,116.0,134.0,200.0
121,114.0,132.0,198.0
122,112.0,129.0,197.0
123,111.0,127.0,195.0
124,108.0,124.0,192.0
125,105.0,122.0,190.0
126,104.0,120.0,189.0
127,101.0,117.0,184.0
128,100.0,116.0,183.0
129,97.0,112.0,179.0
130,96.0,111.0,179.0
131,94.0,107.0,176.0
132,92.0,106.0,174.0
133,89.0,104.0,172.0
134,85.0,100.0,167.0
135,85.0,98.0,165.0
136,84.0,97.0,162.0
137,82.0,96.0,161.0
138,78.0,93.0,158.0
139,73.0,89.0,153.0
140,72.0,87.0,150.0
141,71.0,86.0,149.0
142,70.0,85.0,146.0
143,66.0,79.0,139.0
144,61.0,72.0,130.0
