round,trust_aware,membership_aware,truthride
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,0.9984,1.0,1.0
4,0.9967,0.9967,1.0
5,0.9934,0.9934,1.0
6,0.9852,0.9869,1.0
7,0.9852,0.9836,1.0
8,0.982,0.9803,0.9984
9,0.9754,0.9787,0.9984
10,0.9672,0.9738,0.9967
11,0.9672,0.9656,0.9967
12,0.959,0.9541,0.9967
13,0.9557,0.9492,0.9967
14,0.9541,0.9328,0.9967
15,0.9524,0.9295,0.9951
16,0.9508,0.9246,0.9951
17,0.9492,0.918,0.9951
18,0.9459,0.9147,0.9918
19,0.941,0.9098,0.9902
20,0.9344,0.9049,0.9902
21,0.9328,0.9016,0.9885
22,0.9311,0.8983,0.9885
23,0.9295,0.8951,0.9885
24,0.9246,0.8934,0.9885
25,0.9213,0.8918,0.9885
26,0.9164,0.8885,0.9885
27,0.9114,0.882,0.9885
28,0.9016,0.882,0.9885
29,0.8983,0.8771,0.9885
30,0.8951,0.8656,0.9885
31,0.8869,0.8607,0.9885
32,0.8836,0.8574,0.9885
33,0.8836,0.8492,0.9869
34,0.882,0.8394,0.9852
35,0.8771,0.8263,0.9836
36,0.859,0.8246,0.9803
37,0.8574,0.8148,0.9803
38,0.8508,0.8131,0.9803
39,0.8476,0.8082,0.9803
40,0.8459,0.8033,0.9803
41,0.8344,0.7869,0.9787
42,0.8197,0.7787,0.9738
43,0.8148,0.759,0.9721
44,0.8099,0.7557,0.9721
45,0.8049,0.7459,0.9721
46,0.7967,0.7361,0.9705
47,0.7869,0.7295,0.9672
48,0.7803,0.7262,0.9672
49,0.7721,0.7197,0.9623
50,0.7672,0.7164,0.959
51,0.759,0.7049,0.9574
52,0.7492,0.7016,0.9574
53,0.7475,0.6967,0.9574
54,0.7443,0.6967,0.9541
55,0.741,0.6934,0.9541
56,0.7311,0.6869,0.9541
57,0.7197,0.6803,0.9492
58,0.7098,0.6754,0.9393
59,0.7033,0.6705,0.9328
60,0.6885,0.6557,0.9328
61,0.6787,0.6524,0.9328
62,0.6655,0.6377,0.9311
63,0.6524,0.6213,0.9278
64,0.6426,0.6049,0.9197
65,0.6361,0.5918,0.9164
66,0.6262,0.5787,0.9065
67,0.6213,0.5722,0.9033
68,0.6164,0.559,0.9033
69,0.6148,0.5525,0.9033
70,0.6115,0.5443,0.9033
71,0.6082,0.5426,0.8901
72,0.605,0.5344,0.8901
73,0.5951,0.5295,0.8787
74,0.5918,0.5197,0.8787
75,0.5836,0.5197,0.8689
76,0.5722,0.5131,0.864
77,0.564,0.5033,0.8558
78,0.5607,0.4934,0.8541
79,0.5541,0.4836,0.8492
80,0.5394,0.482,0.8427
81,0.5328,0.4738,0.8361
82,0.518,0.4623,0.8345
83,0.5131,0.4541,0.8295
84,0.5098,0.4426,0.8263
85,0.5016,0.4246,0.8099
86,0.4967,0.4196,0.8049
87,0.4852,0.4164,0.7918
88,0.4787,0.4049,0.7705
89,0.4705,0.4016,0.7705
90,0.4639,0.3967,0.7672
91,0.4606,0.3885,0.7672
92,0.4574,0.3836,0.7557
93,0.4541,0.3787,0.7541
94,0.4475,0.3639,0.7508
95,0.4393,0.3541,0.7492
96,0.4328,0.3492,0.7492
97,0.4164,0.3459,0.7443
98,0.4065,0.341,0.7443
99,0.3967,0.3345,0.7377
100,0.3869,0.323,0.7361
101,0.382,0.3148,0.7262
102,0.3754,0.3115,0.7147
103,0.3672,0.3033,0.6951
104,0.359,0.2967,0.6885
105,0.3558,0.2967,0.6787
106,0.3525,0.2918,0.6754
107,0.3525,0.2902,0.6705
108,0.3476,0.2853,0.6623
109,0.341,0.282,0.6443
110,0.3361,0.282,0.6361
111,0.3344,0.2771,0.6312
112,0.3312,0.2672,0.6213
113,0.3262,0.2639,0.6213
114,0.3197,0.2623,0.6115
115,0.3115,0.2557,0.6033
116,0.3033,0.2508,0.6
117,0.2935,0.2492,0.5967
118,0.2869,0.2475,0.5918
119,0.2836,0.241,0.5787
120,0.2803,0.2377,0.5738
121,0.2771,0.2328,0.5689
122,0.2721,0.2311,0.5656
123,0.2656,0.2295,0.564
124,0.2557,0.2262,0.5623
125,0.2492,0.2197,0.559
126,0.2443,0.2131,0.5541
127,0.2393,0.2131,0.5525
128,0.2361,0.2065,0.5443
129,0.2295,0.2033,0.5377
130,0.2246,0.2016,0.5361
131,0.2147,0.1983,0.5312
132,0.2049,0.1967,0.5279
133,0.2016,0.1967,0.5246
134,0.2016,0.1934,0.523
135,0.1967,0.1901,0.518
136,0.1869,0.1836,0.518
137,0.1819,0.1819,0.5148
138,0.1737,0.1803,0.5148
139,0.1705,0.1754,0.5082
140,0.1656,0.1721,0.5033
141,0.1573,0.1705,0.5
142,0.1573,0.1705,0.5
143,0.1573,0.1705,0.4934
144,0.1541,0.1705,0.4902
