round,M_v=0,M_v=1,M_v=2,M_v=3
1,0.1102,0.1102,0.1102,0.1102
2,0.298,0.298,0.298,0.298
3,0.5118,0.5118,0.5118,0.5118
4,0.582,0.582,0.582,0.582
5,0.6069,0.6069,0.6069,0.6069
6,0.6381,0.6381,0.6381,0.6381
7,0.6483,0.6483,0.6483,0.6483
8,0.651,0.651,0.651,0.651
9,0.6389,0.6389,0.6389,0.6389
10,0.6564,0.6564,0.6564,0.6564
11,0.6719,0.6719,0.6719,0.6719
12,0.687,0.687,0.687,0.687
13,0.6919,0.6919,0.6919,0.6919
14,0.699,0.699,0.699,0.699
15,0.709,0.709,0.709,0.709
16,0.7083,0.7083,0.7095,0.7095
17,0.7137,0.7137,0.7148,0.7144
18,0.7179,0.7179,0.7191,0.7187
19,0.7229,0.7229,0.7219,0.7215
20,0.7238,0.7238,0.722,0.7229
21,0.726,0.726,0.7246,0.726
22,0.7247,0.7247,0.7233,0.7246
23,0.7216,0.7216,0.7211,0.7224
24,0.7214,0.7214,0.7236,0.7249
25,0.7224,0.7224,0.7248,0.726
26,0.7212,0.7212,0.7243,0.7256
27,0.7238,0.7238,0.7273,0.7287
28,0.7192,0.7192,0.7227,0.724
29,0.7205,0.7205,0.724,0.7254
30,0.7223,0.7223,0.7238,0.7251
31,0.7236,0.7235,0.725,0.7262
32,0.7249,0.7249,0.7261,0.7274
33,0.7306,0.7305,0.7309,0.7322
34,0.7323,0.7322,0.7338,0.7351
35,0.7326,0.7324,0.7335,0.7353
36,0.7359,0.7357,0.7363,0.7384
37,0.7373,0.7372,0.7374,0.7408
38,0.7369,0.7365,0.7374,0.7408
39,0.7381,0.7377,0.7383,0.7426
40,0.7392,0.7388,0.7388,0.743
41,0.7419,0.7415,0.7413,0.7453
42,0.7439,0.7436,0.7441,0.7481
43,0.7451,0.7447,0.7462,0.7511
44,0.7454,0.7452,0.7466,0.7515
45,0.7434,0.7434,0.7439,0.7495
46,0.7444,0.7444,0.7448,0.7499
47,0.7492,0.7494,0.75,0.7549
48,0.7501,0.7508,0.7507,0.7554
49,0.7512,0.7517,0.7536,0.7581
50,0.7543,0.755,0.7565,0.761
51,0.7562,0.7567,0.7582,0.7625
52,0.7581,0.7587,0.7606,0.7647
53,0.7604,0.7609,0.7627,0.767
54,0.7619,0.7624,0.7644,0.7689
55,0.7602,0.7608,0.7644,0.7686
56,0.759,0.7602,0.7638,0.7684
57,0.76,0.7615,0.7657,0.7697
58,0.7615,0.7632,0.7677,0.772
59,0.7627,0.7645,0.7697,0.7737
60,0.765,0.7668,0.7721,0.776
61,0.7652,0.7677,0.7732,0.7776
62,0.7665,0.7692,0.7754,0.7795
63,0.7671,0.7695,0.7764,0.7807
64,0.7686,0.771,0.7777,0.7822
65,0.77,0.7724,0.7794,0.7838
66,0.7712,0.7737,0.7807,0.7852
67,0.7716,0.7744,0.7818,0.7866
68,0.7718,0.7748,0.7832,0.7879
69,0.7729,0.7769,0.7844,0.7894
70,0.7746,0.7784,0.7858,0.7907
71,0.7771,0.7807,0.7881,0.7927
72,0.7774,0.7811,0.7885,0.7932
73,0.7784,0.7823,0.7894,0.794
74,0.7796,0.7834,0.79,0.7949
75,0.7811,0.7848,0.7913,0.7961
76,0.7814,0.7852,0.7919,0.7967
77,0.7832,0.7871,0.7937,0.7988
78,0.7825,0.7864,0.7937,0.7989
79,0.7833,0.7873,0.7947,0.7997
80,0.784,0.7879,0.7958,0.8004
