round,M_v=0,M_v=1,M_v=2,M_v=3
1,0.3813,0.3813,0.3813,0.3813
2,0.4681,0.4681,0.4681,0.4681
3,0.5125,0.5125,0.5125,0.5125
4,0.6426,0.6426,0.6426,0.6426
5,0.6981,0.6981,0.6981,0.6981
6,0.7186,0.7186,0.7186,0.7186
7,0.6712,0.6712,0.6712,0.6712
8,0.6952,0.6952,0.6952,0.6952
9,0.7003,0.7003,0.7003,0.7003
10,0.7237,0.7237,0.7237,0.7237
11,0.7325,0.7325,0.7325,0.7325
12,0.7884,0.7884,0.7884,0.7884
13,0.7881,0.7881,0.7881,0.7881
14,0.7704,0.7704,0.7742,0.7742
15,0.7633,0.7633,0.7672,0.7656
16,0.7764,0.7764,0.7805,0.7789
17,0.7919,0.7919,0.7847,0.7831
18,0.7782,0.7782,0.7678,0.7716
19,0.7923,0.7923,0.7793,0.7853
20,0.764,0.764,0.7515,0.7585
21,0.7257,0.7257,0.7189,0.7261
22,0.6998,0.6998,0.7153,0.7225
23,0.7111,0.7111,0.7327,0.7339
24,0.6953,0.6952,0.7202,0.72
25,0.7287,0.7286,0.7568,0.7583
26,0.7224,0.7223,0.7444,0.7458
27,0.7333,0.7331,0.7461,0.7479
28,0.7362,0.736,0.7263,0.7276
29,0.7515,0.7511,0.7366,0.7368
30,0.7383,0.7378,0.7185,0.7187
31,0.7954,0.7945,0.7723,0.7724
32,0.7971,0.7963,0.7792,0.7795
33,0.7829,0.7821,0.7817,0.7864
34,0.7993,0.7988,0.7949,0.8027
35,0.8044,0.8039,0.7992,0.8145
36,0.7744,0.7723,0.7764,0.7925
37,0.7736,0.7717,0.7671,0.7893
38,0.7997,0.7975,0.7775,0.7972
39,0.8014,0.7989,0.7813,0.7976
40,0.818,0.8155,0.804,0.8119
41,0.831,0.8307,0.8196,0.834
42,0.8265,0.8275,0.8177,0.8263
43,0.7857,0.7879,0.7905,0.8035
44,0.7696,0.772,0.775,0.7872
45,0.7696,0.7729,0.7732,0.7853
46,0.7699,0.7775,0.7654,0.7696
47,0.7787,0.7838,0.7922,0.795
48,0.8171,0.8227,0.8358,0.8331
49,0.8299,0.8338,0.8486,0.8467
50,0.8225,0.8257,0.842,0.8394
51,0.8336,0.8325,0.8544,0.8556
52,0.844,0.8437,0.8471,0.8514
53,0.8131,0.8115,0.8285,0.8318
54,0.7874,0.7927,0.8101,0.8181
55,0.7818,0.7887,0.807,0.8126
56,0.7787,0.7873,0.8085,0.8137
57,0.7743,0.7851,0.8151,0.8157
58,0.8022,0.813,0.8336,0.8356
59,0.8153,0.8274,0.8488,0.852
60,0.8186,0.8317,0.8554,0.8608
61,0.8132,0.8208,0.8534,0.8572
62,0.8158,0.8219,0.8425,0.8513
63,0.8148,0.822,0.8429,0.8513
64,0.8259,0.8274,0.8489,0.8537
65,0.8222,0.8242,0.8447,0.8543
66,0.8186,0.8277,0.8466,0.8555
67,0.8138,0.8318,0.8474,0.8564
68,0.8202,0.8376,0.8491,0.8578
69,0.8268,0.842,0.8533,0.8591
70,0.829,0.8439,0.8513,0.8548
71,0.8396,0.8535,0.8499,0.8527
72,0.8474,0.8517,0.8478,0.8517
73,0.8477,0.8505,0.8478,0.8512
74,0.8342,0.8411,0.8409,0.8479
75,0.8433,0.8486,0.8476,0.855
76,0.8247,0.8285,0.8385,0.8483
77,0.8236,0.83,0.8475,0.8517
78,0.8148,0.8223,0.8473,0.849
79,0.8245,0.8328,0.8539,0.8563
80,0.821,0.8361,0.8522,0.8507
81,0.8224,0.838,0.8436,0.8406
82,0.8177,0.8328,0.8382,0.8377
83,0.8193,0.8377,0.8332,0.8355
84,0.8157,0.8303,0.828,0.8272
85,0.8031,0.8128,0.8235,0.8182
86,0.821,0.8323,0.8369,0.8338
87,0.8189,0.8349,0.8385,0.8352
88,0.8133,0.8284,0.8388,0.8392
89,0.8105,0.8272,0.8321,0.8381
90,0.7866,0.8093,0.811,0.8296
91,0.7789,0.7997,0.8108,0.8282
92,0.7765,0.7924,0.8061,0.8189
93,0.7653,0.7886,0.8051,0.8155
94,0.7306,0.7659,0.7991,0.8105
95,0.7668,0.7997,0.8222,0.8295
96,0.7616,0.7954,0.8168,0.8236
97,0.7567,0.7874,0.817,0.8309
98,0.7677,0.7895,0.8183,0.835
99,0.8091,0.817,0.8318,0.8394
100,0.8021,0.8043,0.8225,0.8371
101,0.8015,0.7958,0.8235,0.835
102,0.8066,0.799,0.8251,0.8361
103,0.8066,0.7978,0.8203,0.8261
104,0.7439,0.7626,0.8104,0.8255
105,0.7537,0.7641,0.8146,0.8176
106,0.7461,0.7747,0.8121,0.8138
107,0.7318,0.7765,0.8048,0.8082
108,0.7278,0.7716,0.8049,0.8115
109,0.7802,0.7977,0.8085,0.8118
110,0.7744,0.7935,0.8093,0.8136
111,0.7485,0.7668,0.7902,0.7976
112,0.7604,0.777,0.8001,0.7936
113,0.7471,0.7803,0.7966,0.7916
114,0.7177,0.7604,0.785,0.783
115,0.7041,0.7537,0.7759,0.7766
116,0.7399,0.7891,0.8021,0.8021
117,0.72,0.7831,0.7931,0.8079
118,0.7246,0.7821,0.7963,0.8101
119,0.7363,0.7997,0.8038,0.8118
120,0.7326,0.8011,0.8051,0.8209
121,0.7223,0.7812,0.7939,0.8178
122,0.7034,0.7803,0.7893,0.8085
123,0.6885,0.7704,0.7851,0.8109
124,0.7126,0.7782,0.7892,0.8169
125,0.7058,0.7718,0.7847,0.8098
126,0.7195,0.783,0.7991,0.8202
127,0.7531,0.7654,0.7976,0.8181
128,0.7712,0.7679,0.7942,0.8139
129,0.7508,0.7503,0.7883,0.8103
130,0.7531,0.7685,0.802,0.8224
131,0.7542,0.7751,0.7978,0.8159
132,0.7251,0.7681,0.7988,0.8158
133,0.7329,0.7721,0.8003,0.8133
134,0.6944,0.7637,0.8054,0.819
135,0.6908,0.7544,0.793,0.8178
136,0.6594,0.739,0.7727,0.8026
137,0.6833,0.756,0.7803,0.8109
138,0.6783,0.7477,0.7656,0.8021
139,0.7035,0.7499,0.7572,0.7825
140,0.6936,0.7479,0.7628,0.7751
141,0.704,0.746,0.7761,0.7816
142,0.7039,0.749,0.774,0.7814
143,0.6862,0.7524,0.7884,0.7851
144,0.6947,0.7669,0.795,0.8002
