round,M_v=0,M_v=1,M_v=2,M_v=3
1,-284.7775,-306.7775,-328.7775,-328.7775
2,-304.8928,-350.8928,-396.8928,-418.8928
3,-211.3284,-276.1284,-346.1284,-392.1284
4,-77.4353,-166.2353,-260.2353,-320.2353
5,115.051,2.251,-115.749,-199.749
6,479.9336,343.1336,201.1336,93.1336
7,584.3747,425.5747,261.5747,139.9747
8,532.3621,349.5621,161.5621,16.5621
9,365.8715,175.0715,-24.9285,-187.9285
10,781.6313,568.6313,346.6313,161.6313
11,1109.629,872.629,626.629,419.629
12,1335.6433,1076.6433,811.2433,586.0433
13,1446.3824,1165.3824,883.9824,636.7824
14,1725.7302,1420.7302,1118.3302,853.3302
15,1994.1298,1665.3298,1342.7298,1058.3298
16,2198.8663,1848.8663,1517.0791,1215.8791
17,2368.7984,1994.7985,1661.1594,1359.25
18,2466.2176,2070.4176,1716.7862,1406.8767
19,2701.6991,2281.8991,1891.8437,1569.3343
20,2922.1763,2479.1763,2048.8472,1742.6468
21,3221.8326,2755.8326,2323.7076,2021.142
22,3183.4527,2697.8527,2249.4759,1940.7621
23,2990.3323,2482.3323,2069.4082,1760.7161
24,2751.4916,2224.8916,2099.8236,1778.3315
25,2727.9109,2179.1109,2057.3226,1729.602
26,2633.8922,2062.4592,1942.0224,1610.0644
27,2617.3641,2022.871,1895.8212,1568.6556
28,2343.8974,1736.0043,1605.082,1275.4723
29,2352.521,1721.8585,1593.473,1260.2028
30,2377.5575,1725.0949,1548.949,1195.1315
31,2554.8459,1882.2323,1690.353,1324.5844
32,2648.592,1956.3685,1739.8085,1388.7206
33,2660.4405,1943.2818,1672.3272,1341.7677
34,2842.2746,2100.1016,1860.1012,1520.5719
35,2730.8771,1968.8102,1694.4054,1375.3761
36,2942.5875,2159.2427,1862.6468,1572.5723
37,3132.8953,2328.3506,2011.6005,1776.5138
38,3117.7208,2282.9459,1998.7854,1763.2409
39,3108.5256,2251.58,1936.5386,1756.7421
40,3193.2105,2316.476,2094.4324,1922.6516
41,3407.7951,2508.5866,2281.6947,2122.9713
42,3528.1702,2612.7563,2522.7766,2376.4181
43,3504.3945,2560.0205,2613.5236,2501.051
44,3638.5802,2674.4133,2797.8105,2833.6633
45,3518.0294,2533.7267,2616.5553,2689.1029
46,3803.2582,2806.5046,2866.0677,2977.9367
47,4327.0532,3317.007,3368.2842,3521.1758
48,4487.8411,3450.4534,3455.4169,3611.6888
49,4751.623,3702.4428,3729.6992,3884.0167
50,5215.4846,4165.6596,4170.812,4338.8553
51,5492.5278,4426.7222,4406.6248,4565.7356
52,5871.1359,4788.8352,4801.7217,4956.0976
53,6489.5249,5404.0969,5392.6031,5565.0848
54,6496.8402,5400.1121,5453.7548,5642.7052
55,6565.8618,5437.7991,5734.6293,6028.41
56,6790.8538,5690.99,5968.3213,6256.9968
57,7249.8556,6186.6878,6538.1913,6882.7348
58,7324.3599,6294.7121,6771.5783,7148.2026
59,7420.3379,6383.7191,6919.4171,7272.2954
