round,M_v=0,M_v=1,M_v=2,M_v=3
1,-70.4428,-92.0428,-115.3761,-130.7095
2,-19.3588,-41.5588,-65.0588,-80.0588
3,23.0102,0.4502,-23.1498,-39.9498
4,152.9422,129.9822,105.9822,84.3822
5,177.8535,155.2935,131.6935,111.7735
6,148.7381,125.1381,101.5381,81.7381
7,88.6614,68.2614,47.0614,26.4614
8,133.3161,113.2761,92.4761,72.2761
9,125.9391,105.8991,85.0991,65.2991
10,150.2537,130.2137,109.9337,89.2137
11,182.8041,163.1641,144.4841,124.0441
12,271.9717,249.1317,228.6517,208.2517
13,242.4997,219.3397,199.2197,179.3397
14,217.8475,195.2475,178.09,159.25
15,206.631,183.631,169.9832,154.6414
16,203.967,181.007,166.5608,154.0189
17,195.1938,172.2338,154.7027,143.2008
18,185.6093,162.7693,141.2235,136.8634
19,204.5933,181.3933,161.3257,161.0526
20,162.9308,140.6108,117.6633,116.3024
21,104.8229,82.3829,70.5244,70.7679
22,9.9585,-11.4015,41.596,41.7995
23,-38.8531,-60.0131,1.6951,-2.609
24,-117.5881,-138.6747,-76.337,-82.2155
25,-113.2177,-134.9964,-70.731,-74.4213
26,-129.287,-149.2656,-92.8653,-97.0488
27,-79.7941,-100.6066,-101.2701,-103.6258
28,-70.0707,-90.8032,-101.6747,-106.8941
29,-15.8092,-36.0454,-50.3339,-57.096
30,6.2456,-13.3005,-31.2025,-35.987
31,63.3086,41.4555,13.4491,13.2591
32,97.9507,75.6486,53.3256,52.0738
33,70.6639,48.743,29.0913,36.0489
34,77.5483,55.4021,34.4588,49.5976
35,96.8606,74.3964,54.3584,77.5586
36,91.4561,67.9328,65.2917,84.2946
37,53.2502,30.2957,15.2875,47.234
38,92.4667,69.5332,80.0054,109.4551
39,93.0415,69.8688,83.8096,110.0798
40,79.055,56.8812,102.2352,119.9809
41,77.3347,55.4149,122.9476,147.562
42,106.0109,84.5667,172.2544,215.3842
43,64.9638,43.4501,104.4246,153.2903
44,79.0926,59.5836,116.8746,170.9931
45,159.7766,140.8501,169.1015,228.9515
46,196.6893,178.0866,168.3787,222.1276
47,222.6085,205.6059,186.3777,210.0707
48,339.491,326.3866,310.8513,329.9505
49,337.8539,324.0435,308.1114,317.5598
50,308.8165,294.3656,286.6875,286.9844
51,400.3367,390.7287,387.4372,390.6792
52,349.0434,339.5339,344.8111,351.7377
53,270.0754,254.4279,312.7634,337.911
54,259.6652,252.8536,312.3393,338.2522
55,275.744,279.5705,347.2939,385.3275
56,166.967,178.123,275.795,316.6236
57,184.6995,196.7214,293.1324,325.9181
58,263.4909,285.1011,326.5285,336.4588
59,245.0955,291.8089,358.2379,377.053
60,248.3699,284.3395,356.5147,359.7708
61,296.25,316.4413,367.3156,390.1248
62,381.6182,400.3955,447.4821,486.5958
63,279.7307,297.6586,366.2116,396.145
64,314.0388,295.1428,349.8983,392.6357
65,252.7989,260.1123,300.8486,352.5637
66,244.3201,274.2514,346.1111,371.9992
67,251.7157,303.901,337.6749,363.032
68,305.6193,339.7952,363.6157,409.4197
69,392.7632,437.6922,459.5213,509.4602
70,340.3887,360.2993,372.8568,452.6666
71,394.0294,402.6842,383.3901,466.2192
72,338.8207,332.0244,351.5459,440.53
73,405.3014,406.9597,416.2847,504.5751
74,327.6775,332.652,323.3714,392.0794
75,446.6351,463.1798,482.1353,538.5772
76,380.4865,396.0424,427.5586,490.0771
77,409.1817,422.1545,451.5436,500.9053
78,303.2761,330.5293,381.8751,421.8491
79,277.1774,273.1455,423.7906,499.2072
80,262.0655,248.7358,382.3276,433.7915
81,238.7944,226.8662,339.9432,386.1271
82,307.1641,309.0904,417.1115,474.3984
83,395.6143,402.1135,488.701,564.1211
84,438.2176,478.0164,486.4027,541.7327
85,411.8001,443.5034,450.9528,508.7289
86,451.1118,493.3373,504.0566,582.5763
87,299.6601,336.2475,359.0056,430.4129
88,323.214,362.2918,404.5706,458.2753
89,295.6704,361.4178,440.0463,483.3164
90,205.5424,309.2859,419.4257,462.267
91,210.3811,359.864,468.0772,484.6243
92,240.5682,381.5329,481.4208,502.7981
93,170.06,328.4361,429.9274,451.163
94,117.5304,245.9441,346.7702,373.056
95,238.346,345.1027,420.203,455.4328
96,247.3933,311.081,425.7588,464.4778
97,245.0004,297.3784,423.6153,481.2214
98,320.9214,345.9553,468.8444,514.2875
99,518.3859,533.6629,617.4978,645.3634
100,507.2651,505.7774,616.0977,647.2104
101,423.4351,479.2105,590.5992,617.7132
102,433.7489,493.2972,624.0389,623.4752
103,354.8982,412.7442,531.9978,547.2124
104,114.1033,253.149,410.2313,434.4627
105,171.7822,301.3074,427.7007,440.733
106,162.3901,230.5053,384.5015,390.8761
107,108.771,212.7134,367.1537,390.5767
108,207.6304,306.0295,484.0889,517.9014
109,279.616,291.9202,455.3012,510.7338
110,190.6407,243.1887,410.6331,475.9185
111,202.0729,242.7649,358.6447,442.0928
112,215.9168,242.7123,329.7011,391.4338
113,53.1754,109.8448,164.547,237.9465
114,-31.9549,82.1944,111.1649,186.5767
115,-93.4586,78.1088,112.2252,173.4866
116,-49.0944,144.1143,200.1272,247.6893
117,-70.6778,132.7593,251.525,281.4104
118,-67.6939,160.3695,317.9755,321.6886
119,6.2847,255.9073,413.7436,382.2692
120,52.429,248.3797,400.936,400.4303
121,38.2639,256.2794,390.9633,403.5116
122,3.6758,331.9357,394.0312,434.3543
123,-28.7998,291.026,346.4698,428.1327
124,-15.2706,245.2068,311.163,421.7177
125,-52.547,191.5805,258.0203,339.1254
126,7.2617,231.7948,320.9422,394.0094
127,161.1763,248.5539,359.8442,426.382
128,274.2384,348.1393,448.5493,501.0165
129,286.6001,365.6331,457.5425,507.9596
130,248.1315,362.3802,451.2829,516.0496
131,193.6039,291.6352,340.1766,403.2249
132,88.9627,206.5138,247.1222,308.4959
133,97.7011,203.3824,253.1502,283.8143
134,-35.6445,125.9885,188.8338,203.9084
135,12.4581,205.3125,253.6641,256.3908
136,-45.1779,184.7422,245.3002,240.1725
137,-26.6214,205.453,270.0759,270.0752
138,-98.8103,125.3821,173.6685,175.0709
139,-47.288,132.164,196.7031,205.2918
140,-80.3522,64.4742,138.4173,152.6372
141,-47.3701,88.2064,153.8367,176.6297
142,-59.1151,77.196,127.55,157.4475
143,-73.8825,84.1059,137.9916,179.0551
144,-45.8998,117.932,134.0688,166.301
