round,M_v=0,M_v=1,M_v=2,M_v=3
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0
8,0.9984,0.9984,0.9984,0.9984
9,0.9984,0.9984,0.9984,0.9984
10,0.9967,0.9967,0.9967,0.9967
11,0.9967,0.9967,0.9967,0.9967
12,0.9967,0.9967,0.9967,0.9967
13,0.9967,0.9967,0.9967,0.9967
14,0.9967,0.9967,0.9967,0.9967
15,0.9951,0.9951,0.9951,0.9951
16,0.9951,0.9951,0.9951,0.9951
17,0.9951,0.9951,0.9951,0.9951
18,0.9934,0.9934,0.9934,0.9918
19,0.9934,0.9934,0.9918,0.9902
20,0.9934,0.9934,0.9918,0.9902
21,0.9918,0.9918,0.9902,0.9885
22,0.9918,0.9918,0.9902,0.9885
23,0.9918,0.9918,0.9902,0.9885
24,0.9918,0.9918,0.9902,0.9885
25,0.9918,0.9918,0.9902,0.9885
26,0.9918,0.9918,0.9902,0.9885
27,0.9918,0.9918,0.9902,0.9885
28,0.9918,0.9918,0.9902,0.9885
29,0.9918,0.9918,0.9902,0.9885
30,0.9918,0.9902,0.9902,0.9885
31,0.9918,0.9902,0.9902,0.9885
32,0.9918,0.9902,0.9902,0.9885
33,0.9902,0.9885,0.9902,0.9869
34,0.9885,0.9869,0.9902,0.9852
35,0.9885,0.9869,0.9885,0.9836
36,0.9869,0.9852,0.9836,0.9803
37,0.9869,0.9852,0.9836,0.9803
38,0.9869,0.9852,0.9836,0.9803
39,0.9869,0.9852,0.9836,0.9803
40,0.9869,0.9852,0.9836,0.9803
41,0.9869,0.9852,0.9836,0.9787
42,0.982,0.9787,0.9787,0.9738
43,0.982,0.9787,0.9787,0.9721
44,0.982,0.9787,0.9787,0.9721
45,0.982,0.9787,0.977,0.9721
46,0.977,0.9738,0.9754,0.9705
47,0.9721,0.9688,0.9721,0.9672
48,0.9721,0.9688,0.9721,0.9672
49,0.9672,0.9656,0.9672,0.9623
50,0.9623,0.9606,0.9639,0.959
51,0.9606,0.959,0.9606,0.9574
52,0.959,0.9574,0.9606,0.9574
53,0.959,0.9574,0.9606,0.9574
54,0.9508,0.9524,0.959,0.9541
55,0.9475,0.9508,0.9574,0.9541
56,0.9475,0.9508,0.9574,0.9541
57,0.941,0.9442,0.9541,0.9492
58,0.9377,0.9393,0.9492,0.9393
59,0.9377,0.936,0.9426,0.9328
60,0.9311,0.9262,0.9377,0.9328
61,0.9262,0.9262,0.9377,0.9328
62,0.9246,0.9196,0.936,0.9311
63,0.9213,0.918,0.9295,0.9278
64,0.9147,0.9114,0.9196,0.9197
65,0.9098,0.9065,0.918,0.9164
66,0.8951,0.9,0.9082,0.9065
67,0.8902,0.8934,0.9032,0.9033
68,0.8852,0.8918,0.9016,0.9033
69,0.882,0.8902,0.9,0.9033
70,0.8771,0.882,0.8967,0.9033
71,0.8722,0.8705,0.8951,0.8901
72,0.8672,0.864,0.8934,0.8901
73,0.8541,0.8492,0.8836,0.8787
74,0.8541,0.8492,0.8836,0.8787
75,0.8476,0.8443,0.8721,0.8689
76,0.8459,0.8427,0.8721,0.864
77,0.8279,0.8295,0.8672,0.8558
78,0.823,0.8279,0.8639,0.8541
79,0.8164,0.8181,0.8574,0.8492
80,0.8131,0.8082,0.8443,0.8427
81,0.8,0.8,0.8377,0.8361
82,0.7967,0.8,0.8328,0.8345
83,0.7918,0.7967,0.8312,0.8295
84,0.7885,0.7935,0.8213,0.8263
85,0.7639,0.7672,0.8,0.8099
86,0.7607,0.7574,0.7967,0.8049
87,0.7426,0.7492,0.782,0.7918
88,0.7344,0.7459,0.7738,0.7705
89,0.7262,0.741,0.7689,0.7705
90,0.7197,0.7311,0.7607,0.7672
91,0.7164,0.7213,0.7557,0.7672
92,0.6984,0.7131,0.7492,0.7557
93,0.6934,0.7065,0.7459,0.7541
94,0.6852,0.6967,0.7443,0.7508
95,0.682,0.6934,0.7426,0.7492
96,0.6738,0.6918,0.7393,0.7492
97,0.6639,0.6819,0.7361,0.7443
98,0.6606,0.6803,0.7311,0.7443
99,0.6508,0.6672,0.7213,0.7377
100,0.6393,0.6606,0.7147,0.7361
101,0.6262,0.6524,0.7033,0.7262
102,0.6131,0.6443,0.6885,0.7147
103,0.5967,0.6246,0.6705,0.6951
104,0.5885,0.6197,0.6688,0.6885
105,0.5787,0.6,0.6607,0.6787
106,0.5722,0.5951,0.659,0.6754
107,0.5689,0.5902,0.6558,0.6705
108,0.564,0.5804,0.6525,0.6623
109,0.5541,0.5689,0.6426,0.6443
110,0.5426,0.559,0.6344,0.6361
111,0.5312,0.5492,0.623,0.6312
112,0.5148,0.5459,0.6115,0.6213
113,0.5049,0.5394,0.6066,0.6213
114,0.5,0.5295,0.6017,0.6115
115,0.4885,0.5213,0.6,0.6033
116,0.4803,0.5148,0.5918,0.6
117,0.4754,0.5131,0.5902,0.5967
118,0.4656,0.5098,0.5869,0.5918
119,0.4606,0.5066,0.5853,0.5787
120,0.4426,0.4984,0.5804,0.5738
121,0.4377,0.4967,0.5771,0.5689
122,0.4344,0.4934,0.5722,0.5656
123,0.4328,0.4918,0.5672,0.564
124,0.4311,0.4902,0.5623,0.5623
125,0.4311,0.482,0.5558,0.559
126,0.4278,0.4803,0.5476,0.5541
127,0.4229,0.477,0.5361,0.5525
128,0.4164,0.4688,0.5279,0.5443
129,0.4114,0.4656,0.5246,0.5377
130,0.4098,0.4639,0.5213,0.5361
131,0.4032,0.4639,0.5148,0.5312
132,0.4016,0.4574,0.5115,0.5279
133,0.4016,0.4492,0.5082,0.5246
134,0.4,0.4426,0.5066,0.523
135,0.3983,0.4426,0.5049,0.518
136,0.3983,0.4426,0.5049,0.518
137,0.3951,0.441,0.5033,0.5148
138,0.3869,0.4393,0.4967,0.5148
139,0.3803,0.4393,0.4934,0.5082
140,0.377,0.4328,0.4869,0.5033
141,0.3754,0.4295,0.4836,0.5
142,0.3738,0.4262,0.4836,0.5
143,0.3721,0.4262,0.482,0.4934
144,0.359,0.4262,0.477,0.4902
