round,Z=10,Z=20,Z=30,Z=40,Z=50,Z=60
1,0.1102,0.1102,0.1102,0.1102,0.1102,0.1102
2,0.298,0.298,0.298,0.298,0.298,0.298
3,0.5118,0.5118,0.5118,0.5118,0.5118,0.5118
4,0.582,0.582,0.582,0.582,0.582,0.582
5,0.6069,0.6069,0.6069,0.6069,0.6069,0.6069
6,0.6381,0.6381,0.6381,0.6381,0.6381,0.6381
7,0.6483,0.6483,0.6483,0.6483,0.6483,0.6483
8,0.651,0.651,0.651,0.651,0.651,0.651
9,0.6389,0.6389,0.6389,0.6389,0.6389,0.6389
10,0.6564,0.6564,0.6564,0.6564,0.6564,0.6564
11,0.6721,0.6719,0.6719,0.6719,0.6719,0.6719
12,0.6872,0.687,0.687,0.687,0.687,0.687
13,0.6921,0.692,0.692,0.692,0.6919,0.6919
14,0.6987,0.699,0.699,0.699,0.699,0.699
15,0.7091,0.7088,0.7088,0.7088,0.709,0.709
16,0.7087,0.7085,0.7085,0.7085,0.7095,0.7095
17,0.7136,0.7134,0.7134,0.7134,0.7144,0.7144
18,0.7183,0.7179,0.7179,0.7179,0.7187,0.7187
19,0.7215,0.7208,0.7208,0.7208,0.7215,0.7215
20,0.724,0.7228,0.723,0.7225,0.7229,0.7229
21,0.7276,0.7261,0.7263,0.7257,0.726,0.726
22,0.7262,0.7248,0.7249,0.7243,0.7246,0.7246
23,0.7233,0.7223,0.7224,0.722,0.7224,0.7224
24,0.7257,0.7247,0.7247,0.7244,0.7249,0.7247
25,0.7268,0.7258,0.7259,0.7255,0.726,0.7258
26,0.7264,0.7255,0.7253,0.7251,0.7256,0.7254
27,0.73,0.7292,0.729,0.7288,0.7287,0.7291
28,0.7255,0.7247,0.7245,0.7243,0.724,0.7246
29,0.727,0.7262,0.7261,0.7258,0.7254,0.726
30,0.7275,0.7274,0.7265,0.7254,0.7251,0.7256
31,0.7286,0.7283,0.7275,0.7264,0.7262,0.7267
32,0.7299,0.7292,0.7287,0.7278,0.7274,0.728
33,0.7345,0.734,0.7334,0.7326,0.7322,0.7328
34,0.7373,0.7367,0.7362,0.7354,0.7351,0.7356
35,0.7372,0.7368,0.7361,0.7352,0.7353,0.7358
36,0.7403,0.7398,0.7393,0.7383,0.7384,0.7389
37,0.7423,0.7422,0.7414,0.7404,0.7408,0.7413
38,0.7422,0.7422,0.7414,0.7405,0.7408,0.7413
39,0.7439,0.7441,0.7433,0.7422,0.7426,0.7432
40,0.7444,0.7445,0.7438,0.7426,0.743,0.7436
41,0.7468,0.7467,0.7461,0.745,0.7453,0.7458
42,0.7495,0.7495,0.7488,0.7477,0.7481,0.7485
43,0.7521,0.752,0.7516,0.7506,0.7511,0.7515
44,0.7526,0.752,0.7522,0.7512,0.7515,0.7518
45,0.7505,0.7492,0.7501,0.7488,0.7495,0.7496
46,0.7514,0.7501,0.7499,0.7494,0.7499,0.7501
47,0.7565,0.7551,0.755,0.7545,0.7549,0.7552
48,0.7571,0.7553,0.7555,0.7548,0.7554,0.7556
49,0.7602,0.7584,0.7586,0.7578,0.7581,0.7583
50,0.7631,0.7613,0.7615,0.7606,0.761,0.7611
51,0.7648,0.7629,0.7631,0.7621,0.7625,0.7625
52,0.7671,0.7649,0.7655,0.7644,0.7647,0.7646
53,0.7694,0.7672,0.7682,0.7668,0.767,0.767
54,0.7711,0.769,0.77,0.7686,0.7689,0.769
55,0.7709,0.7688,0.7693,0.7683,0.7686,0.7685
56,0.7704,0.768,0.7689,0.7679,0.7684,0.7681
57,0.772,0.7694,0.7707,0.7692,0.7697,0.7693
58,0.7743,0.7717,0.7728,0.7712,0.772,0.7715
59,0.776,0.7735,0.7746,0.7732,0.7737,0.7732
60,0.7783,0.7758,0.7772,0.7756,0.776,0.7758
61,0.7798,0.7774,0.7789,0.7769,0.7776,0.7776
62,0.7819,0.7793,0.7812,0.7789,0.7795,0.7793
63,0.7832,0.7803,0.7824,0.7797,0.7807,0.78
64,0.7846,0.7816,0.7837,0.7811,0.7822,0.7816
65,0.7862,0.7832,0.7853,0.7828,0.7838,0.7833
66,0.7874,0.7845,0.7868,0.784,0.7852,0.7847
67,0.7886,0.7859,0.7881,0.7854,0.7866,0.786
68,0.7901,0.7873,0.7894,0.787,0.7879,0.7873
69,0.7915,0.789,0.7907,0.7885,0.7894,0.7888
70,0.7929,0.7904,0.7918,0.7899,0.7907,0.7901
71,0.7948,0.7925,0.7942,0.7922,0.7927,0.7923
72,0.7954,0.793,0.7947,0.7927,0.7932,0.7929
73,0.7962,0.7939,0.7956,0.7935,0.794,0.7937
74,0.7971,0.7948,0.7963,0.7945,0.7949,0.7944
75,0.7981,0.7959,0.7973,0.7955,0.7961,0.7956
76,0.799,0.7968,0.7982,0.7963,0.7967,0.7962
77,0.8013,0.7991,0.8002,0.7986,0.7988,0.7983
78,0.8013,0.7991,0.8001,0.7984,0.7989,0.7982
79,0.8024,0.8001,0.801,0.7993,0.7997,0.799
80,0.8032,0.801,0.8019,0.8002,0.8004,0.7998
81,0.8051,0.8027,0.8035,0.8019,0.802,0.8013
82,0.8063,0.8038,0.8045,0.803,0.8026,0.8021
83,0.8059,0.8036,0.8041,0.8026,0.8022,0.8017
84,0.8074,0.805,0.8054,0.8038,0.8034,0.803
85,0.808,0.8058,0.8059,0.8045,0.804,0.8036
86,0.8083,0.8062,0.8066,0.805,0.8046,0.8041
87,0.8095,0.807,0.8071,0.806,0.8046,0.804
88,0.8104,0.8077,0.8076,0.8066,0.8051,0.8045
89,0.8112,0.8083,0.8083,0.8073,0.8057,0.8051
90,0.8122,0.8095,0.8094,0.8085,0.8066,0.806
91,0.8125,0.8097,0.8097,0.8088,0.807,0.8065
92,0.8126,0.8096,0.8094,0.8085,0.8065,0.8059
93,0.8129,0.8099,0.8096,0.8088,0.8068,0.8063
94,0.8133,0.8103,0.8098,0.8091,0.8068,0.8065
95,0.8137,0.8108,0.8104,0.8095,0.8073,0.8069
96,0.8136,0.8109,0.8104,0.8094,0.8073,0.8069
97,0.8147,0.812,0.8114,0.8102,0.8081,0.8077
98,0.8146,0.8119,0.8112,0.81,0.8079,0.8076
99,0.8153,0.8126,0.812,0.8107,0.8084,0.8082
100,0.8159,0.8132,0.8125,0.8113,0.8092,0.809
101,0.8164,0.8135,0.8127,0.8119,0.8096,0.8095
102,0.8168,0.8138,0.8131,0.8122,0.8101,0.8098
103,0.8167,0.8137,0.8128,0.8121,0.8098,0.8095
104,0.8172,0.8142,0.8132,0.8126,0.8102,0.8099
105,0.8173,0.8142,0.8133,0.8126,0.8102,0.8099
106,0.817,0.814,0.813,0.8126,0.8104,0.8097
107,0.817,0.8141,0.813,0.8126,0.8103,0.8098
108,0.8171,0.814,0.8126,0.8124,0.8099,0.8095
109,0.8171,0.814,0.8128,0.8124,0.81,0.8096
110,0.8173,0.8144,0.8131,0.8126,0.8103,0.8101
111,0.8174,0.8145,0.8132,0.8127,0.8105,0.8102
112,0.8174,0.8144,0.8132,0.8127,0.8105,0.8103
113,0.8171,0.8139,0.8126,0.812,0.8098,0.8097
114,0.8173,0.814,0.8125,0.812,0.8098,0.8097
115,0.8175,0.8143,0.8127,0.8122,0.81,0.81
116,0.8176,0.8143,0.8124,0.812,0.8098,0.8098
117,0.8178,0.8142,0.8126,0.8117,0.8095,0.8098
118,0.8179,0.8143,0.8126,0.8118,0.8096,0.8099
119,0.818,0.8145,0.8128,0.8118,0.8098,0.81
120,0.8184,0.8148,0.813,0.812,0.81,0.8103
121,0.8184,0.8146,0.8127,0.8118,0.8098,0.8101
122,0.8187,0.8148,0.8128,0.812,0.81,0.8101
123,0.819,0.815,0.8129,0.812,0.8099,0.8101
124,0.8192,0.815,0.8127,0.8119,0.8097,0.8099
125,0.8195,0.8153,0.8128,0.8121,0.8099,0.8101
126,0.8198,0.8156,0.8129,0.8123,0.8101,0.8102
127,0.8199,0.8156,0.8129,0.8122,0.81,0.8102
128,0.8204,0.816,0.8132,0.8126,0.8104,0.8104
129,0.8204,0.816,0.8128,0.8124,0.8102,0.8101
130,0.8207,0.8161,0.8128,0.8125,0.8103,0.8104
131,0.8207,0.8161,0.8127,0.8126,0.8103,0.8103
132,0.8208,0.8164,0.8128,0.8128,0.8106,0.8106
133,0.8209,0.8164,0.8128,0.8128,0.8106,0.8106
134,0.8208,0.8163,0.8127,0.8127,0.8105,0.8105
135,0.8208,0.8163,0.8126,0.8126,0.8105,0.8105
136,0.821,0.8164,0.8126,0.8128,0.8106,0.8106
137,0.8212,0.8167,0.8129,0.813,0.8109,0.8108
138,0.821,0.8165,0.8126,0.8128,0.8106,0.8107
139,0.8212,0.8165,0.8126,0.8128,0.8107,0.8106
140,0.8211,0.8162,0.8123,0.8124,0.8104,0.8102
141,0.8207,0.8158,0.812,0.812,0.81,0.8098
142,0.8209,0.8159,0.8119,0.812,0.81,0.8096
143,0.8209,0.8159,0.8117,0.8119,0.8098,0.8093
144,0.8211,0.816,0.8117,0.8119,0.8098,0.8093
