round,Z=10,Z=20,Z=30,Z=40,Z=50,Z=60
1,0.3813,0.3813,0.3813,0.3813,0.3813,0.3813
2,0.4681,0.4681,0.4681,0.4681,0.4681,0.4681
3,0.5125,0.5125,0.5125,0.5125,0.5125,0.5125
4,0.6426,0.6426,0.6426,0.6426,0.6426,0.6426
5,0.6981,0.6981,0.6981,0.6981,0.6981,0.6981
6,0.7186,0.7186,0.7186,0.7186,0.7186,0.7186
7,0.6712,0.6712,0.6712,0.6712,0.6712,0.6712
8,0.6953,0.6953,0.6953,0.6953,0.6952,0.6952
9,0.7007,0.7004,0.7004,0.7004,0.7003,0.7003
10,0.7241,0.7238,0.7238,0.7238,0.7237,0.7237
11,0.7329,0.7325,0.7325,0.7325,0.7325,0.7325
12,0.7876,0.7885,0.7885,0.7885,0.7884,0.7884
13,0.7884,0.788,0.788,0.788,0.7881,0.7881
14,0.7713,0.7714,0.7714,0.7714,0.7742,0.7742
15,0.7626,0.7628,0.7628,0.7628,0.7656,0.7656
16,0.7776,0.777,0.777,0.777,0.7789,0.779
17,0.7849,0.7811,0.7811,0.7811,0.7831,0.7831
18,0.7771,0.7723,0.7728,0.771,0.7716,0.7717
19,0.7955,0.7895,0.7902,0.7875,0.7853,0.7853
20,0.7689,0.7627,0.7634,0.7607,0.7585,0.7585
21,0.7307,0.7278,0.7279,0.7271,0.7261,0.7261
22,0.7248,0.7237,0.7237,0.7226,0.7225,0.7214
23,0.7313,0.7322,0.7319,0.7326,0.7339,0.7328
24,0.7152,0.7174,0.716,0.7183,0.72,0.7189
25,0.7582,0.7607,0.7591,0.7614,0.7583,0.7619
26,0.7514,0.7515,0.7504,0.7508,0.7458,0.7509
27,0.7544,0.7547,0.754,0.7547,0.7479,0.754
28,0.7437,0.7514,0.7416,0.7339,0.7276,0.7337
29,0.7533,0.7594,0.7517,0.7428,0.7368,0.7429
30,0.7314,0.7353,0.7288,0.7209,0.7187,0.7201
31,0.7831,0.7877,0.7807,0.7728,0.7724,0.7725
32,0.7894,0.7933,0.7866,0.7783,0.7795,0.7794
33,0.7849,0.783,0.7836,0.7832,0.7864,0.7865
34,0.8014,0.8007,0.8011,0.8003,0.8027,0.8029
35,0.8099,0.8133,0.8109,0.8091,0.8145,0.8145
36,0.7883,0.7916,0.7895,0.7877,0.7925,0.7923
37,0.7847,0.7902,0.7872,0.7845,0.7893,0.7901
38,0.7958,0.7975,0.7976,0.7944,0.7972,0.7974
