round,Z=10,Z=20,Z=30,Z=40,Z=50,Z=60
1,-328.7775,-328.7775,-328.7775,-328.7775,-328.7775,-328.7775
2,-438.8928,-418.8928,-418.8928,-418.8928,-418.8928,-418.8928
3,-492.1284,-432.1284,-412.1284,-412.1284,-392.1284,-392.1284
4,-460.2353,-380.2353,-340.2353,-340.2353,-320.2353,-320.2353
5,-379.749,-279.749,-219.749,-219.749,-199.749,-199.749
6,-110.8664,13.1336,53.1336,93.1336,93.1336,113.1336
7,-108.0253,35.9747,75.9747,119.9747,139.9747,159.9747
8,-271.4379,-87.4379,-47.4379,-3.4379,16.5621,36.5621
9,-475.9285,-291.9285,-251.9285,-207.9285,-187.9285,-167.9285
10,-206.3912,37.6088,97.6088,121.6088,161.6313,181.6313
11,-24.8788,235.6065,335.6065,379.6065,419.629,419.629
12,32.0212,342.5064,482.5064,522.5064,586.0433,586.0433
13,20.7602,369.2455,535.2455,559.2455,636.7824,638.7824
14,215.9231,577.7933,765.7933,831.7933,853.3302,891.3302
15,311.0971,703.8031,883.8031,991.8031,1058.3298,1096.3298
16,391.8414,810.4837,992.4837,1118.4837,1215.8791,1246.4014
17,488.9271,911.8545,1113.8545,1257.8545,1359.25,1369.7723
18,504.6701,966.5274,1154.5274,1330.5274,1406.8767,1421.3991
19,676.4869,1128.9849,1336.9849,1532.9849,1569.3343,1603.8566
20,811.1828,1252.1523,1490.194,1694.6671,1742.6468,1767.1692
21,1030.332,1518.1258,1757.0009,1929.1318,2021.142,2047.6643
22,926.3521,1414.1459,1677.021,1845.1519,1940.7621,1967.2844
23,652.7479,1224.0644,1468.0742,1644.8624,1760.7161,1787.2385
24,572.6091,1185.8034,1466.9229,1660.6987,1778.3315,1824.9526
25,484.6441,1142.1468,1402.958,1596.7338,1729.602,1780.223
26,316.1094,976.0749,1281.2263,1466.1991,1610.0644,1660.6855
27,271.9136,931.3887,1256.8304,1460.0032,1568.6556,1635.0145
28,-51.0069,620.4682,973.9099,1141.0827,1275.4723,1351.4421
29,-110.4638,598.0382,957.2069,1122.3797,1260.2028,1336.1726
30,-163.8646,582.1592,904.6579,1056.7955,1195.1315,1271.1014
31,-152.137,650.9578,976.0343,1167.4697,1324.5844,1382.5543
32,-161.7004,692.7739,1074.1705,1233.2767,1388.7206,1480.6905
33,-309.636,612.7891,1006.361,1151.4671,1341.7677,1441.5142
34,-171.5812,770.0775,1156.2015,1320.9699,1520.5719,1612.1519
35,-370.4584,628.3864,991.1004,1183.9548,1375.3761,1480.1216
36,-218.0527,821.1691,1182.6867,1391.6728,1572.5723,1686.2881
37,-79.8755,983.7082,1392.0521,1564.2738,1776.5138,1911.6099
38,-152.2323,959.4165,1363.168,1559.3897,1763.2409,1895.6565
39,-205.841,968.4886,1381.5042,1559.382,1756.7421,1898.8758
40,-105.8636,1094.9217,1555.1018,1709.2921,1922.6516,2073.2076
41,23.0073,1258.3357,1709.1191,1905.9724,2122.9713,2274.9791
42,217.2478,1476.8369,1939.2375,2167.1826,2376.4181,2518.5316
43,254.9957,1555.672,2060.7084,2272.6535,2501.051,2653.1645
44,511.7785,1781.5158,2371.7923,2577.838,2833.6633,2977.8985
45,310.6194,1646.9604,2209.9265,2448.7018,2689.1029,2861.5557
46,534.0534,1894.8314,2448.6205,2764.9768,2977.9367,3133.5786
47,986.382,2437.5979,2940.3504,3297.8582,3521.1758,3713.3457
48,1109.3269,2491.4041,2961.6064,3315.1733,3611.6888,3779.0143
49,1340.8647,2737.2992,3213.7487,3598.7542,3884.0167,4039.3731
50,1687.6929,3136.1301,3640.9271,4016.2126,4338.8553,4480.9989
51,1897.295,3351.0267,3880.3505,4262.7507,4565.7356,4740.2974
52,2179.0609,3703.0455,4236.2444,4665.5483,4956.0976,5136.3605
53,2676.1479,4268.7704,4796.6723,5253.3477,5565.0848,5735.1077
54,2626.2885,4276.3451,4755.4545,5265.169,5642.7052,5801.0971
55,2912.7534,4569.0177,5152.2768,5661.0173,6028.41,6308.6509
56,3082.02,4778.4071,5377.1624,5839.1972,6256.9968,6508.0342
57,3650.2565,5365.8792,5997.3684,6451.863,6882.7348,7117.3411
58,3825.4315,5627.6176,6235.4668,6690.9151,7148.2026,7435.4178
59,3827.0756,5692.2694,6374.964,6887.7855,7272.2954,7555.0949
60,4098.1048,6050.2169,6747.7778,7323.0724,7710.7042,8025.3458
61,4464.1908,6454.7463,7158.0795,7711.2974,8142.2618,8474.6424
62,4858.6699,6926.2707,7598.5029,8192.6572,8681.5889,8972.618
