round,Z=10,Z=20,Z=30,Z=40,Z=50,Z=60
1,-164.0428,-144.0428,-137.3761,-137.3761,-130.7095,-130.7095
2,-115.0588,-95.0588,-85.0588,-85.0588,-80.0588,-80.0588
3,-75.9498,-55.9498,-43.9498,-43.9498,-39.9498,-39.9498
4,43.5822,68.3822,76.3822,84.3822,84.3822,88.3822
5,66.1735,90.9735,98.9735,107.7735,111.7735,115.7735
6,44.1381,68.9381,72.9381,81.7381,81.7381,85.7381
7,-3.1386,17.6614,17.6614,26.4614,26.4614,30.4614
8,34.6716,63.4716,63.4716,68.2716,72.2761,76.2761
9,17.1975,44.4946,56.4946,57.2946,65.2991,61.2991
10,28.0093,61.3063,81.3063,80.5063,89.2137,85.2137
11,58.4396,91.3367,116.5367,112.5367,124.0441,120.4441
12,138.3703,173.9443,203.5443,207.9443,208.2517,211.8517
13,103.4977,133.2389,157.2389,174.0389,179.3397,182.9397
14,83.3441,114.9754,131.3754,147.7754,159.25,165.3545
15,91.3812,113.8696,126.2696,147.0696,154.6414,156.7458
16,96.782,119.4564,123.8564,154.2564,154.0189,156.5233
17,92.1127,110.2383,114.2383,140.2383,143.2008,142.5053
18,100.0171,109.6698,121.2782,140.5728,136.8634,134.1679
19,127.6981,141.5284,152.9034,162.1296,161.0526,160.2526
20,87.485,100.4583,112.6333,117.4595,116.3024,119.5024
21,29.6156,51.5074,62.7093,62.867,70.7679,73.1679
22,-20.7755,11.3637,25.9876,25.5428,41.7995,44.2192
23,-65.3077,-22.0011,-17.4472,-19.5867,-2.609,2.6108
24,-142.8445,-108.4102,-95.1549,-92.5865,-82.2155,-77.3958
25,-130.8877,-96.5514,-84.0381,-77.0297,-74.4213,-66.454
26,-140.751,-120.7192,-98.8329,-100.7559,-97.0488,-87.1593
27,-136.6146,-117.553,-101.9432,-107.6638,-103.6258,-97.756
28,-129.7017,-111.9975,-99.66,-107.9877,-106.8941,-101.8243
29,-93.6493,-65.0234,-61.0384,-59.7459,-57.096,-55.6262
30,-86.7228,-47.723,-36.532,-45.3453,-35.987,-30.8648
31,-51.7258,-1.5358,6.4902,2.0769,13.2591,18.0144
32,-12.2235,34.4079,39.7989,39.7181,52.0738,55.1959
33,-41.3188,9.2454,17.2885,25.4319,36.0489,41.8041
34,-13.1831,34.0423,41.3305,44.8407,49.5976,60.7468
35,16.365,58.1869,63.5763,66.1994,77.5586,86.1839
