round,Z=10,Z=20,Z=30,Z=40,Z=50,Z=60
1,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,0.9984,0.9984
9,1.0,1.0,1.0,1.0,0.9984,0.9984
10,1.0,0.9984,0.9984,0.9984,0.9967,0.9967
11,1.0,0.9984,0.9984,0.9984,0.9967,0.9967
12,1.0,0.9984,0.9984,0.9984,0.9967,0.9967
13,1.0,0.9984,0.9984,0.9984,0.9967,0.9967
14,1.0,0.9984,0.9984,0.9984,0.9967,0.9967
15,1.0,0.9984,0.9984,0.9984,0.9951,0.9967
16,1.0,0.9984,0.9984,0.9984,0.9951,0.9967
17,1.0,0.9984,0.9984,0.9984,0.9951,0.9967
18,0.9984,0.9918,0.9967,0.9967,0.9918,0.9934
19,0.9984,0.9918,0.9967,0.9951,0.9902,0.9918
20,0.9984,0.9918,0.9967,0.9951,0.9902,0.9918
21,0.9967,0.9918,0.9951,0.9934,0.9885,0.9902
22,0.9967,0.9918,0.9951,0.9934,0.9885,0.9902
23,0.9967,0.9918,0.9951,0.9934,0.9885,0.9902
24,0.9967,0.9918,0.9951,0.9934,0.9885,0.9902
25,0.9967,0.9918,0.9951,0.9934,0.9885,0.9902
26,0.9967,0.9918,0.9951,0.9934,0.9885,0.9902
27,0.9967,0.9918,0.9951,0.9934,0.9885,0.9902
28,0.9967,0.9918,0.9951,0.9934,0.9885,0.9902
29,0.9967,0.9918,0.9951,0.9934,0.9885,0.9902
30,0.9951,0.9885,0.9918,0.9869,0.9885,0.9902
31,0.9951,0.9885,0.9918,0.9869,0.9885,0.9902
32,0.9951,0.9885,0.9918,0.9869,0.9885,0.9902
33,0.9951,0.9885,0.9918,0.9869,0.9869,0.9902
34,0.9951,0.9869,0.9902,0.9869,0.9852,0.9885
35,0.9951,0.9869,0.9902,0.9869,0.9836,0.9885
36,0.9951,0.9869,0.9885,0.9869,0.9803,0.982
37,0.9951,0.9869,0.9885,0.9869,0.9803,0.982
38,0.9951,0.9869,0.9885,0.9869,0.9803,0.982
39,0.9951,0.9869,0.9869,0.9869,0.9803,0.9787
40,0.9951,0.9869,0.9869,0.9869,0.9803,0.9787
41,0.9951,0.9869,0.9869,0.9869,0.9787,0.9787
42,0.9902,0.9852,0.9803,0.9803,0.9738,0.9754
43,0.9902,0.9836,0.9787,0.9803,0.9721,0.9738
44,0.9902,0.9836,0.977,0.9787,0.9721,0.9738
45,0.9885,0.9836,0.9721,0.9787,0.9721,0.9738
46,0.9852,0.982,0.9688,0.977,0.9705,0.9705
47,0.9852,0.977,0.9639,0.9754,0.9672,0.9639
48,0.9852,0.977,0.9639,0.9754,0.9672,0.9623
49,0.9852,0.977,0.9606,0.9721,0.9623,0.9574
50,0.9852,0.977,0.9574,0.9688,0.959,0.9541
51,0.9852,0.9754,0.9524,0.9688,0.9574,0.9541
52,0.9852,0.9738,0.9524,0.9688,0.9574,0.9508
53,0.9852,0.9738,0.9524,0.9688,0.9574,0.9508
54,0.982,0.9738,0.9475,0.9623,0.9541,0.9459
55,0.982,0.9721,0.9475,0.959,0.9541,0.941
56,0.982,0.9721,0.9475,0.9574,0.9541,0.941
57,0.9803,0.9721,0.936,0.9541,0.9492,0.9278
58,0.9803,0.9705,0.9344,0.9508,0.9393,0.9262
59,0.9803,0.9672,0.9311,0.9492,0.9328,0.918
60,0.9803,0.9639,0.9246,0.9442,0.9328,0.918
61,0.9803,0.9606,0.9229,0.9426,0.9328,0.918
62,0.977,0.9574,0.918,0.936,0.9311,0.9164
63,0.977,0.9508,0.918,0.9311,0.9278,0.9147
64,0.9721,0.9442,0.9115,0.9278,0.9197,0.9098
65,0.9721,0.9377,0.9065,0.9131,0.9164,0.8934
66,0.9672,0.9246,0.9,0.9098,0.9065,0.8934
67,0.959,0.9196,0.8885,0.9082,0.9033,0.8918
68,0.959,0.918,0.8869,0.9082,0.9033,0.8918
69,0.959,0.918,0.8869,0.9016,0.9033,0.8836
70,0.959,0.918,0.8852,0.8983,0.9033,0.8803
71,0.9524,0.918,0.882,0.8918,0.8901,0.8705
72,0.9524,0.918,0.882,0.8885,0.8901,0.8672
73,0.9492,0.9082,0.8754,0.8787,0.8787,0.8558
74,0.9492,0.9082,0.8754,0.8787,0.8787,0.8558
75,0.9475,0.8983,0.8672,0.8738,0.8689,0.8509
76,0.9459,0.8901,0.8672,0.8721,0.864,0.8509
77,0.9459,0.8836,0.8607,0.8672,0.8558,0.8427
78,0.9442,0.8803,0.8607,0.8656,0.8541,0.8427
79,0.941,0.8754,0.8525,0.864,0.8492,0.8361
80,0.9377,0.8722,0.8509,0.8591,0.8427,0.8328
81,0.936,0.8705,0.8476,0.8558,0.8361,0.823
82,0.936,0.8689,0.8476,0.8558,0.8345,0.8181
83,0.936,0.8689,0.8476,0.8558,0.8295,0.8181
84,0.9328,0.8672,0.8361,0.8525,0.8263,0.8164
85,0.9311,0.8607,0.8295,0.8377,0.8099,0.8017
86,0.9295,0.8574,0.8263,0.8345,0.8049,0.7935
87,0.9262,0.8558,0.8181,0.8246,0.7918,0.7885
88,0.9164,0.8525,0.8148,0.8213,0.7705,0.7803
89,0.9114,0.841,0.8148,0.8131,0.7705,0.7705
90,0.9065,0.8377,0.8049,0.8049,0.7672,0.7689
91,0.9065,0.8377,0.8033,0.8033,0.7672,0.7639
92,0.9033,0.8295,0.8033,0.7967,0.7557,0.759
93,0.9016,0.8279,0.7984,0.7902,0.7541,0.7557
94,0.8934,0.8263,0.7967,0.7787,0.7508,0.7525
95,0.8918,0.8181,0.7967,0.7754,0.7492,0.7508
96,0.8901,0.8148,0.7918,0.7754,0.7492,0.7459
97,0.8803,0.8099,0.7885,0.7705,0.7443,0.7393
98,0.8787,0.8099,0.782,0.7656,0.7443,0.7377
99,0.8623,0.8066,0.7738,0.7557,0.7377,0.7295
100,0.8574,0.8049,0.7689,0.7557,0.7361,0.7279
101,0.8525,0.7984,0.7541,0.7492,0.7262,0.7131
102,0.8492,0.7918,0.7525,0.7426,0.7147,0.7115
103,0.8427,0.7787,0.7328,0.7361,0.6951,0.6984
104,0.8361,0.7771,0.7295,0.7328,0.6885,0.6934
105,0.8345,0.7721,0.7246,0.7229,0.6787,0.682
106,0.8345,0.7721,0.7197,0.7197,0.6754,0.6754
107,0.8328,0.7689,0.7131,0.7098,0.6705,0.6639
108,0.823,0.759,0.7098,0.6967,0.6623,0.6557
109,0.823,0.7541,0.7016,0.6885,0.6443,0.6508
110,0.8148,0.7492,0.6951,0.682,0.6361,0.6393
111,0.8082,0.7393,0.682,0.6721,0.6312,0.6279
112,0.8066,0.7344,0.6754,0.6688,0.6213,0.6164
113,0.8,0.7229,0.6672,0.6672,0.6213,0.6148
114,0.7984,0.7213,0.6639,0.6656,0.6115,0.6115
115,0.7967,0.7197,0.659,0.6508,0.6033,0.6017
116,0.7935,0.7115,0.6557,0.6492,0.6,0.6
117,0.7853,0.7115,0.6541,0.6459,0.5967,0.5984
118,0.782,0.7033,0.6492,0.641,0.5918,0.5886
119,0.7803,0.7,0.6443,0.6361,0.5787,0.5804
120,0.7803,0.6967,0.6426,0.6295,0.5738,0.5722
121,0.7803,0.6934,0.6426,0.6246,0.5689,0.5656
122,0.7705,0.6852,0.641,0.6197,0.5656,0.564
123,0.7705,0.6787,0.6361,0.618,0.564,0.564
124,0.7672,0.6689,0.6213,0.6082,0.5623,0.5623
125,0.7623,0.6623,0.6148,0.6033,0.559,0.5558
126,0.7557,0.6525,0.6033,0.5918,0.5541,0.5492
127,0.7492,0.641,0.5886,0.5853,0.5525,0.5443
128,0.7459,0.641,0.5853,0.5787,0.5443,0.5377
129,0.741,0.6344,0.5787,0.5722,0.5377,0.5344
130,0.7246,0.6312,0.5672,0.5623,0.5361,0.5279
131,0.7197,0.6295,0.5623,0.5607,0.5312,0.5197
132,0.7147,0.6197,0.5508,0.5525,0.5279,0.5148
133,0.7131,0.618,0.5492,0.5508,0.5246,0.5098
134,0.7082,0.6115,0.5476,0.5508,0.523,0.5098
135,0.7,0.6066,0.5443,0.5426,0.518,0.5066
136,0.6983,0.6066,0.5443,0.5426,0.518,0.5033
137,0.6951,0.6017,0.541,0.5344,0.5148,0.5
138,0.6885,0.6,0.5394,0.5344,0.5148,0.4967
139,0.6852,0.5967,0.5377,0.5328,0.5082,0.4951
140,0.6836,0.5951,0.5328,0.5295,0.5033,0.4902
141,0.6819,0.5886,0.5295,0.5295,0.5,0.4869
142,0.6803,0.5886,0.5295,0.5279,0.5,0.4869
143,0.677,0.5836,0.5295,0.5279,0.4934,0.4836
144,0.6738,0.5804,0.5295,0.5246,0.4902,0.482
