round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
1,0.419,0.419,0.093,0.093,0.1102,0.1102
2,0.4578,0.4578,0.2797,0.2797,0.2745,0.2745
3,0.491,0.491,0.3441,0.3441,0.3813,0.3813
4,0.4974,0.4974,0.4026,0.4026,0.4681,0.4681
5,0.4978,0.4978,0.466,0.466,0.5128,0.5125
6,0.5005,0.5005,0.5019,0.5019,0.5505,0.5539
7,0.5124,0.5124,0.517,0.517,0.5706,0.5771
8,0.5048,0.5048,0.5142,0.5142,0.5845,0.5921
9,0.5102,0.5102,0.5172,0.5172,0.5739,0.5809
10,0.5184,0.5184,0.547,0.547,0.5982,0.6039
11,0.5288,0.5288,0.6124,0.6124,0.6658,0.6715
12,0.5391,0.5391,0.642,0.642,0.704,0.7109
13,0.5324,0.5324,0.6617,0.6617,0.7184,0.7256
14,0.5361,0.5361,0.679,0.6809,0.722,0.7298
15,0.5369,0.5369,0.681,0.6829,0.7354,0.7416
16,0.5457,0.5457,0.6761,0.678,0.7359,0.7373
17,0.547,0.547,0.6935,0.6955,0.7422,0.7447
18,0.563,0.563,0.7212,0.7227,0.7543,0.7557
19,0.5543,0.5543,0.7389,0.7417,0.7681,0.7857
20,0.5468,0.5468,0.7251,0.7297,0.7582,0.7799
21,0.5458,0.5458,0.7233,0.7298,0.7598,0.7797
22,0.5401,0.5401,0.7228,0.7334,0.7406,0.762
23,0.5468,0.5468,0.7234,0.7343,0.7308,0.7525
24,0.5509,0.5509,0.7199,0.7314,0.7321,0.7528
25,0.5531,0.5531,0.7158,0.7302,0.7306,0.7528
26,0.5462,0.5462,0.7229,0.7389,0.7278,0.7527
27,0.5405,0.5405,0.7264,0.7433,0.7255,0.7584
28,0.5324,0.5324,0.7235,0.7392,0.6973,0.736
29,0.5455,0.5455,0.7251,0.7434,0.713,0.7352
30,0.5445,0.5445,0.7163,0.745,0.7095,0.7307
31,0.5459,0.5459,0.7029,0.7348,0.7032,0.7284
32,0.5511,0.5511,0.6992,0.7332,0.7125,0.7385
33,0.5455,0.5455,0.7146,0.7448,0.7349,0.7591
34,0.5486,0.5486,0.7108,0.7388,0.7366,0.7637
35,0.5498,0.5498,0.7059,0.7386,0.7297,0.757
36,0.5554,0.5554,0.7047,0.7417,0.7368,0.7698
37,0.5572,0.5572,0.6843,0.7366,0.7358,0.7666
38,0.5529,0.5529,0.6735,0.7383,0.7557,0.7825
39,0.5492,0.5492,0.6713,0.7417,0.7487,0.7844
40,0.5464,0.5464,0.6663,0.7506,0.7555,0.7918
41,0.5536,0.5536,0.6804,0.7656,0.7648,0.8002
42,0.5549,0.5549,0.6765,0.7532,0.7805,0.8132
43,0.5616,0.5616,0.6601,0.751,0.7774,0.8133
44,0.5497,0.5833,0.6608,0.7588,0.7747,0.8078
45,0.5552,0.6113,0.6436,0.7535,0.7629,0.8004
46,0.553,0.6384,0.6373,0.7447,0.7495,0.7924
47,0.554,0.6713,0.6349,0.7425,0.7591,0.7986
48,0.5635,0.7078,0.6387,0.7422,0.7649,0.8018
49,0.5632,0.7304,0.6271,0.734,0.7721,0.8106
50,0.5762,0.77,0.6499,0.7322,0.7832,0.8183
51,0.5698,0.7932,0.6431,0.718,0.7767,0.8169
52,0.5681,0.8187,0.6474,0.7312,0.7742,0.8124
53,0.5748,0.8486,0.6534,0.7343,0.7732,0.8126
54,0.5779,0.8507,0.6564,0.7351,0.7722,0.8232
55,0.5697,0.851,0.6751,0.7374,0.7797,0.8325
56,0.5718,0.8449,0.6725,0.742,0.7894,0.8324
57,0.5723,0.8465,0.6883,0.7408,0.7904,0.826
58,0.5686,0.8456,0.69,0.7451,0.7933,0.8346
59,0.5669,0.8521,0.6934,0.7413,0.7975,0.8336
60,0.5656,0.8471,0.6922,0.7414,0.7934,0.8337
61,0.5693,0.8458,0.6793,0.7457,0.7946,0.835
62,0.5686,0.8439,0.6718,0.7421,0.7915,0.8367
63,0.5613,0.8391,0.658,0.728,0.7872,0.8355
64,0.5676,0.8337,0.6434,0.723,0.7918,0.8335
65,0.5644,0.826,0.6475,0.7291,0.8029,0.8435
66,0.5684,0.8253,0.6562,0.7329,0.8105,0.8528
67,0.5643,0.8129,0.646,0.7301,0.8109,0.8575
68,0.5672,0.798,0.6422,0.7235,0.8065,0.8563
69,0.5736,0.7909,0.6409,0.7244,0.7987,0.8538
70,0.5657,0.7817,0.6352,0.7202,0.7949,0.8545
71,0.5621,0.7768,0.6449,0.7198,0.8002,0.8564
72,0.5603,0.7638,0.6296,0.7068,0.7854,0.8545
73,0.5555,0.7598,0.6337,0.7102,0.7909,0.8541
74,0.5531,0.7547,0.6429,0.7089,0.7933,0.854
75,0.5599,0.7544,0.63,0.7008,0.7909,0.8545
76,0.5515,0.7468,0.618,0.6995,0.7848,0.8535
77,0.5542,0.7471,0.6168,0.7026,0.7864,0.8549
78,0.5567,0.75,0.6148,0.6991,0.7883,0.8505
79,0.5516,0.7426,0.6056,0.7041,0.7958,0.8517
80,0.5522,0.7457,0.5966,0.7057,0.7945,0.8501
81,0.5512,0.7443,0.5837,0.7016,0.7884,0.8521
82,0.5459,0.7454,0.5906,0.7154,0.7996,0.8528
83,0.5573,0.7365,0.5854,0.7122,0.7873,0.8445
84,0.5565,0.7336,0.5797,0.7175,0.786,0.8447
85,0.5529,0.7222,0.5792,0.7243,0.7868,0.8423
86,0.5602,0.7183,0.5806,0.722,0.7873,0.8418
87,0.5621,0.7063,0.5784,0.722,0.7726,0.8344
88,0.5548,0.6988,0.5785,0.7229,0.7721,0.8372
89,0.5535,0.6852,0.5744,0.707,0.764,0.8364
90,0.555,0.6727,0.5742,0.7039,0.7655,0.8374
91,0.562,0.6584,0.5849,0.7138,0.765,0.8327
92,0.5678,0.6347,0.5797,0.6978,0.7501,0.8239
93,0.5592,0.6224,0.5856,0.7023,0.755,0.831
94,0.5579,0.6062,0.5901,0.7031,0.7515,0.8271
95,0.5579,0.5944,0.5913,0.6996,0.7449,0.8273
96,0.5545,0.5627,0.5806,0.6997,0.7363,0.8243
97,0.5532,0.5385,0.579,0.6956,0.7427,0.8296
98,0.5592,0.5127,0.5748,0.7056,0.7434,0.8259
99,0.5589,0.4918,0.5749,0.7169,0.7442,0.8249
100,0.5602,0.4628,0.5716,0.7214,0.7455,0.8252
101,0.5576,0.4299,0.5676,0.7178,0.7453,0.825
102,0.5488,0.4043,0.5648,0.7296,0.7587,0.8333
103,0.5412,0.3687,0.5539,0.7311,0.7569,0.8293
104,0.5422,0.3335,0.5416,0.7311,0.7561,0.8335
105,0.5485,0.2985,0.5392,0.7326,0.755,0.8306
106,0.5479,0.2799,0.5334,0.7364,0.7643,0.8325
