round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
2,0.1381,0.1381,0.0864,0.0864,0.0864,0.0864
3,0.1589,0.1589,0.1331,0.1331,0.1331,0.1331
4,0.1438,0.1438,0.1266,0.1266,0.1266,0.1266
10,0.1391,0.1391,0.1262,0.1262,0.1262,0.1262
13,0.2112,0.2112,0.2789,0.2789,0.2789,0.2789
15,0.2001,0.2001,0.2556,0.2556,0.2556,0.2556
16,0.2608,0.2608,0.3084,0.3084,0.3084,0.3084
18,0.3026,0.3026,0.3518,0.3518,0.3772,0.3772
19,0.3148,0.3148,0.371,0.371,0.3959,0.3959
20,0.3243,0.3243,0.4287,0.4287,0.4649,0.4649
21,0.3331,0.3331,0.4146,0.4146,0.443,0.443
25,0.3178,0.3178,0.3922,0.3922,0.415,0.415
27,0.3215,0.3215,0.4171,0.4171,0.4418,0.4418
28,0.3291,0.3291,0.4199,0.4199,0.4281,0.4281
29,0.3209,0.3209,0.4433,0.4433,0.4723,0.4723
30,0.3279,0.3279,0.4545,0.4545,0.4689,0.4689
32,0.3368,0.3368,0.4436,0.4436,0.4555,0.4555
33,0.3378,0.3378,0.4616,0.4616,0.4718,0.4718
34,0.3393,0.3393,0.4741,0.4741,0.4856,0.4856
35,0.3497,0.3497,0.4751,0.4751,0.4693,0.4693
36,0.3533,0.3533,0.4868,0.4868,0.4813,0.4813
37,0.3612,0.3612,0.5035,0.5035,0.4892,0.4892
38,0.3673,0.3673,0.5092,0.5092,0.4917,0.4917
39,0.3745,0.3745,0.5183,0.5183,0.4921,0.4921
40,0.3763,0.3763,0.522,0.522,0.4977,0.4977
41,0.3785,0.3785,0.5225,0.5225,0.4914,0.4914
42,0.3823,0.3823,0.5278,0.5278,0.499,0.499
43,0.3863,0.3863,0.5401,0.5401,0.5346,0.5346
44,0.399,0.4072,0.5594,0.5594,0.5546,0.5546
45,0.4111,0.4283,0.5724,0.5724,0.5703,0.5703
46,0.4139,0.4446,0.5723,0.5723,0.5774,0.5774
47,0.4309,0.4702,0.5857,0.5857,0.5975,0.6037
48,0.4363,0.5031,0.5837,0.5837,0.6253,0.637
49,0.4387,0.5035,0.5803,0.5803,0.6293,0.6408
50,0.4492,0.5195,0.5771,0.5771,0.6265,0.6385
51,0.4474,0.5264,0.5707,0.5707,0.6174,0.63
52,0.4482,0.5532,0.5685,0.569,0.6341,0.6467
53,0.448,0.5579,0.5661,0.5668,0.6389,0.6535
54,0.4505,0.5659,0.5804,0.5816,0.6528,0.6786
55,0.4531,0.5684,0.5826,0.5822,0.663,0.6911
56,0.4609,0.5744,0.5874,0.587,0.6696,0.7002
57,0.4636,0.5855,0.591,0.5929,0.6766,0.7123
58,0.4637,0.584,0.5955,0.5969,0.6811,0.7161
59,0.4653,0.5967,0.5808,0.5899,0.6856,0.7238
60,0.4644,0.5963,0.5825,0.591,0.6924,0.7264
61,0.4694,0.6037,0.5933,0.6009,0.695,0.7282
62,0.4702,0.6031,0.5942,0.6016,0.6952,0.7286
63,0.4727,0.6044,0.5997,0.608,0.6996,0.7297
64,0.4766,0.6096,0.6047,0.6133,0.7075,0.7351
65,0.4804,0.6123,0.6078,0.618,0.7129,0.7383
66,0.4835,0.6152,0.6065,0.6162,0.7125,0.7373
67,0.4815,0.6154,0.6091,0.6176,0.7139,0.7387
68,0.48,0.6099,0.61,0.6186,0.714,0.7396
69,0.4846,0.6075,0.6179,0.6264,0.7197,0.7435
70,0.4834,0.6062,0.6167,0.6281,0.7193,0.7451
71,0.4868,0.6092,0.6177,0.6293,0.7168,0.745
72,0.4867,0.6071,0.6148,0.6254,0.7187,0.7471
73,0.4891,0.6067,0.6125,0.6231,0.7222,0.7505
74,0.4901,0.6057,0.6134,0.6256,0.7207,0.7482
75,0.4925,0.5988,0.6182,0.6295,0.7244,0.752
76,0.4926,0.5905,0.6186,0.6299,0.7241,0.7526
77,0.4926,0.5843,0.624,0.6352,0.7271,0.7565
78,0.4918,0.5786,0.6241,0.6388,0.7264,0.7559
79,0.4943,0.5728,0.6243,0.6399,0.7268,0.7563
80,0.4964,0.5653,0.625,0.6396,0.7309,0.7609
81,0.4958,0.5585,0.6267,0.641,0.7305,0.7599
82,0.494,0.5527,0.6286,0.6409,0.7303,0.7583
83,0.4951,0.5433,0.6311,0.6434,0.7315,0.7589
84,0.4944,0.5347,0.6341,0.6449,0.7332,0.7612
85,0.4953,0.528,0.6339,0.6441,0.7316,0.7595
86,0.4977,0.5233,0.6331,0.6428,0.7302,0.7603
87,0.5021,0.5172,0.6348,0.6433,0.7318,0.7643
88,0.504,0.5113,0.6332,0.6425,0.7325,0.766
89,0.5056,0.5013,0.6338,0.6421,0.7327,0.7669
90,0.5069,0.495,0.6326,0.6428,0.7348,0.7685
91,0.5078,0.4913,0.6333,0.6437,0.7361,0.7691
92,0.5079,0.4877,0.6335,0.6443,0.737,0.7698
93,0.5102,0.4813,0.6349,0.6464,0.7401,0.7732
94,0.5119,0.4736,0.634,0.6454,0.7388,0.7718
95,0.5118,0.4681,0.6356,0.646,0.741,0.7749
96,0.5131,0.4635,0.638,0.6486,0.742,0.7763
97,0.5133,0.4598,0.6384,0.6474,0.7444,0.779
98,0.5125,0.4551,0.6395,0.6485,0.7468,0.7811
99,0.5138,0.4496,0.6409,0.6488,0.7498,0.7845
100,0.513,0.447,0.6404,0.6483,0.7518,0.7867
101,0.5138,0.445,0.6409,0.6487,0.7528,0.7886
102,0.5174,0.4432,0.6394,0.6477,0.7538,0.791
103,0.5174,0.4413,0.6394,0.6482,0.7554,0.7931
104,0.5172,0.439,0.6394,0.6488,0.7576,0.7956
105,0.5165,0.4372,0.6414,0.6508,0.7599,0.7979
106,0.5164,0.4352,0.6432,0.6517,0.7629,0.7998
107,0.5143,0.4327,0.6455,0.6527,0.7654,0.8016
108,0.5143,0.4319,0.648,0.6538,0.7676,0.8034
109,0.5166,0.431,0.649,0.654,0.768,0.8048
110,0.5192,0.4305,0.649,0.6527,0.7701,0.8062
111,0.5203,0.4305,0.6483,0.652,0.7732,0.8081
112,0.5206,0.4305,0.6484,0.6527,0.7754,0.8098
113,0.5221,0.4305,0.6489,0.6537,0.7768,0.8106
