round,trusted_count,unknown_count,malicious_count
1,61.0,224.0,0.0
2,61.0,224.0,0.0
3,61.0,224.0,0.0
4,61.0,224.0,0.0
5,62.0,222.0,1.0
6,65.0,219.0,1.0
7,67.0,214.0,4.0
8,71.0,207.0,7.0
9,72.0,205.0,8.0
10,76.0,198.0,11.0
11,79.0,193.0,13.0
12,81.0,185.0,19.0
13,82.0,177.0,26.0
14,83.0,174.0,28.0
15,88.0,162.0,35.0
16,92.0,155.0,38.0
17,97.0,146.0,42.0
18,98.0,144.0,43.0
19,99.0,141.0,45.0
20,103.0,136.0,46.0
21,105.0,132.0,48.0
22,105.0,132.0,48.0
23,105.0,132.0,48.0
24,105.0,130.0,49.0
25,105.0,130.0,49.0
26,109.0,127.0,49.0
27,110.0,126.0,49.0
28,111.0,124.0,50.0
29,111.0,123.0,51.0
30,112.0,122.0,51.0
31,114.0,117.0,54.0
32,114.0,117.0,54.0
33,115.0,115.0,56.0
34,116.0,113.0,56.0
35,116.0,112.0,56.0
36,116.0,112.0,57.0
37,116.0,111.0,58.0
38,117.0,111.0,58.0
39,118.0,108.0,58.0
40,118.0,108.0,58.0
41,118.0,108.0,58.0
42,118.0,108.0,58.0
43,118.0,107.0,60.0
44,119.0,105.0,60.0
45,122.0,102.0,62.0
46,122.0,101.0,62.0
47,123.0,99.0,63.0
48,123.0,98.0,63.0
49,124.0,97.0,64.0
50,126.0,95.0,64.0
51,126.0,94.0,66.0
52,127.0,92.0,66.0
53,129.0,89.0,66.0
54,129.0,88.0,68.0
55,129.0,88.0,68.0
56,129.0,88.0,68.0
57,131.0,86.0,68.0
58,131.0,86.0,68.0
59,132.0,86.0,68.0
60,133.0,84.0,68.0
61,133.0,82.0,70.0
62,133.0,81.0,71.0
63,134.0,80.0,71.0
64,136.0,78.0,71.0
65,136.0,77.0,72.0
66,136.0,76.0,73.0
67,136.0,75.0,74.0
68,138.0,72.0,75.0
69,140.0,70.0,75.0
70,140.0,68.0,77.0
71,141.0,67.0,77.0
72,142.0,65.0,78.0
73,143.0,62.0,79.0
74,146.0,60.0,79.0
75,150.0,55.0,80.0
76,151.0,53.0,81.0
77,151.0,51.0,83.0
78,154.0,47.0,84.0
79,154.0,47.0,84.0
80,155.0,43.0,87.0
81,155.0,42.0,88.0
82,155.0,40.0,90.0
83,156.0,38.0,91.0
84,156.0,36.0,92.0
85,156.0,36.0,93.0
86,156.0,36.0,93.0
87,156.0,35.0,94.0
88,156.0,34.0,95.0
89,156.0,34.0,95.0
90,157.0,33.0,95.0
91,157.0,32.0,95.0
92,157.0,32.0,96.0
93,157.0,32.0,96.0
94,158.0,31.0,96.0
95,159.0,30.0,96.0
96,159.0,30.0,96.0
97,159.0,30.0,96.0
98,161.0,27.0,97.0
99,161.0,27.0,97.0
100,161.0,27.0,97.0
101,161.0,27.0,97.0
102,161.0,27.0,97.0
103,161.0,27.0,97.0
104,161.0,27.0,97.0
105,161.0,27.0,97.0
106,161.0,27.0,97.0
107,161.0,27.0,97.0
108,161.0,27.0,97.0
109,161.0,27.0,97.0
110,162.0,26.0,97.0
111,162.0,26.0,97.0
112,162.0,26.0,97.0
113,162.0,26.0,97.0
114,162.0,26.0,97.0
115,163.0,25.0,97.0
116,163.0,25.0,97.0
117,163.0,25.0,97.0
118,163.0,25.0,97.0
119,164.0,24.0,97.0
120,164.0,24.0,97.0
121,164.0,24.0,97.0
122,164.0,24.0,97.0
123,164.0,24.0,97.0
124,164.0,24.0,97.0
125,164.0,24.0,97.0
126,164.0,24.0,97.0
127,164.0,24.0,97.0
128,164.0,24.0,97.0
129,164.0,24.0,97.0
130,164.0,24.0,97.0
131,164.0,24.0,97.0
132,164.0,24.0,97.0
133,164.0,24.0,97.0
134,164.0,24.0,97.0
135,164.0,24.0,97.0
136,164.0,24.0,97.0
137,164.0,24.0,97.0
138,164.0,24.0,97.0
139,164.0,24.0,97.0
140,164.0,24.0,97.0
141,164.0,24.0,97.0
142,164.0,24.0,97.0
143,164.0,24.0,97.0
144,164.0,24.0,97.0
