round,random,cmab,cmab_trust,truthride
1,0.3874,0.4545,0.4545,0.4545
2,0.3336,0.3233,0.3233,0.3254
3,0.2952,0.2777,0.2777,0.247
4,0.2482,0.2843,0.2843,0.224
5,0.2428,0.2687,0.2687,0.2157
6,0.2343,0.2568,0.2568,0.2007
7,0.2391,0.2466,0.2466,0.1859
8,0.2369,0.2552,0.2552,0.1919
9,0.2384,0.2613,0.2613,0.2044
10,0.2469,0.2544,0.2544,0.1977
11,0.2468,0.2499,0.2499,0.1972
12,0.2418,0.2447,0.2447,0.1881
13,0.2444,0.2382,0.2382,0.1827
14,0.2349,0.2292,0.2292,0.1773
15,0.2397,0.2264,0.2264,0.1705
16,0.2359,0.2245,0.2245,0.174
17,0.2299,0.2247,0.2247,0.1687
18,0.2323,0.2239,0.2239,0.1716
19,0.2365,0.2206,0.2206,0.1693
20,0.2392,0.2187,0.2171,0.1699
21,0.2493,0.2145,0.2129,0.1658
22,0.2499,0.212,0.2105,0.1689
23,0.2478,0.2083,0.2067,0.1668
24,0.2508,0.2087,0.206,0.162
25,0.2522,0.2114,0.2088,0.1609
26,0.2525,0.2086,0.2051,0.1597
27,0.2557,0.2074,0.2021,0.1579
28,0.2563,0.2068,0.2016,0.1593
29,0.256,0.2083,0.1994,0.1577
30,0.2534,0.2063,0.1974,0.1563
31,0.2538,0.2081,0.2008,0.1555
32,0.2513,0.2043,0.1973,0.1543
33,0.2515,0.2013,0.1993,0.1518
34,0.2514,0.2069,0.2059,0.149
35,0.2537,0.2135,0.2098,0.1483
36,0.2532,0.2143,0.2088,0.1469
37,0.2529,0.2169,0.2065,0.1453
38,0.2528,0.2186,0.2065,0.1441
39,0.2517,0.2187,0.2044,0.1428
40,0.2504,0.2267,0.2035,0.1418
41,0.2507,0.2272,0.2012,0.1401
42,0.2497,0.2279,0.2026,0.1384
43,0.252,0.2289,0.2007,0.1371
44,0.2513,0.2282,0.1992,0.1352
45,0.2518,0.2327,0.1974,0.1341
46,0.2539,0.2329,0.199,0.1324
47,0.255,0.2338,0.1961,0.1285
48,0.2538,0.234,0.1941,0.1297
49,0.2545,0.234,0.1941,0.1283
50,0.2547,0.2312,0.1935,0.1252
51,0.2551,0.2302,0.1945,0.1243
52,0.2542,0.2285,0.192,0.1222
53,0.255,0.2262,0.1898,0.1199
54,0.2561,0.2244,0.1884,0.1187
55,0.2539,0.2224,0.1865,0.1168
56,0.2578,0.2219,0.1869,0.1158
57,0.2613,0.2193,0.1846,0.1133
58,0.2629,0.2162,0.1819,0.1115
59,0.2614,0.2143,0.1824,0.1106
60,0.2597,0.2129,0.18,0.1089
61,0.2598,0.2146,0.1797,0.1079
62,0.2598,0.2136,0.1784,0.1063
63,0.2576,0.2131,0.1789,0.1053
64,0.2592,0.2134,0.1765,0.1042
65,0.2585,0.2146,0.1741,0.1029
66,0.2586,0.2125,0.1726,0.1018
67,0.2565,0.2117,0.1717,0.1007
68,0.2562,0.2113,0.1704,0.0994
69,0.2544,0.2114,0.1684,0.0983
70,0.2529,0.2107,0.1698,0.0975
71,0.2518,0.2117,0.1731,0.0961
72,0.2524,0.2162,0.1758,0.0956
73,0.2527,0.2174,0.1749,0.0946
74,0.2527,0.2176,0.1736,0.0937
75,0.2538,0.2191,0.1726,0.0929
76,0.2547,0.2213,0.1745,0.0921
77,0.2534,0.2197,0.1753,0.091
78,0.2524,0.2187,0.1741,0.0905
79,0.2525,0.2217,0.1753,0.0899
80,0.2523,0.2205,0.1752,0.0893
