round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
1,-164.496,-164.496,-292.2267,-292.2267,-284.7775,-284.7775
2,-304.3243,-304.3243,-387.3413,-387.3413,-304.8928,-304.8928
3,-920.6206,-920.6206,-781.3269,-781.3269,-161.7746,-181.7746
4,-1269.794,-1269.794,-817.0064,-817.0064,-15.7249,-35.7249
5,-1620.4154,-1620.4154,-398.0178,-398.0178,134.7107,114.7107
6,-1941.7331,-1941.7331,-114.9423,-114.9423,241.1928,263.9301
7,-2265.399,-2265.399,-2.0948,-2.0948,357.252,366.0025
8,-2575.1056,-2575.1056,-134.9818,-130.1635,263.3343,318.7899
9,-2776.1154,-2776.1154,-144.5839,-132.3035,98.2553,154.2993
10,-2965.5338,-2965.5338,268.4008,280.5064,484.4485,590.2815
11,-3334.4538,-3334.4538,553.1985,586.6781,535.0588,790.1894
12,-3678.2172,-3678.2172,706.906,726.8917,720.5667,886.0069
13,-4213.733,-4213.733,570.9007,580.7104,783.5005,947.1693
14,-4501.4168,-4501.4168,780.495,999.549,1089.7421,1238.4295
15,-5123.2541,-5123.2541,531.4995,894.0072,1031.1782,1051.1369
16,-5331.2952,-5331.2952,636.7354,1131.421,1271.005,1291.7515
17,-5541.1136,-5541.1136,780.3385,1476.0394,1547.651,1584.5893
18,-5750.1631,-5750.1631,890.8418,1675.1763,1633.0592,1668.8256
19,-5971.1398,-5971.1398,995.8208,1845.0535,1863.2294,1911.1655
20,-6228.1214,-6228.1214,963.3602,2004.077,2102.2489,2194.0111
21,-6501.3189,-6501.3189,1075.4952,2258.5914,2206.9002,2335.0645
22,-6623.0996,-6623.0996,1109.0639,2472.7176,2315.3885,2476.3413
23,-6931.4969,-6931.4969,1277.0875,2725.9878,2136.9962,2320.6275
24,-7480.3975,-7480.3975,1157.5856,2701.5,2035.4147,2336.9109
25,-7662.725,-7662.725,1227.5933,3003.0646,2052.5177,2357.3254
26,-8089.9608,-8089.9608,1163.1083,3022.3283,2028.3258,2357.3102
27,-8286.445,-8286.445,1306.8498,3315.1068,1952.1672,2340.2175
28,-8737.7167,-8737.7167,1144.6972,3286.0493,1640.4297,2102.1979
29,-8932.476,-8932.476,1194.5038,3566.341,1728.2162,2188.765
30,-9049.4263,-9049.4263,1233.2873,3806.9993,1732.9385,2297.0613
31,-9374.5347,-9374.5347,1181.7098,4044.0614,1879.7174,2560.7146
32,-9602.6221,-9602.6221,1249.9569,4335.3898,1996.3949,2719.0106
33,-10265.771,-10265.771,1063.7758,4234.1186,1718.0828,2479.4436
34,-10552.7886,-10552.7886,1213.8303,4648.903,1975.5203,2631.4552
35,-10904.4172,-10904.4172,1023.9722,4838.3192,1962.9051,2539.2983
36,-11210.7182,-11210.7182,832.1034,4766.3547,1921.275,2641.0521
37,-11741.1455,-11741.1455,600.0921,4866.9796,1762.9763,2833.4429
38,-12038.7807,-12038.7807,543.1491,5103.3184,1623.5356,2715.8773
39,-12555.9144,-12555.9144,227.6362,4969.1821,1282.3568,2419.8203
40,-12667.8877,-12667.8877,101.5945,5161.2816,1397.3527,2615.5394
41,-12811.9841,-12811.9841,-52.9944,5541.7903,1617.8811,2809.7632
42,-13046.3347,-13046.3347,-21.0436,5756.5754,1884.2318,3080.6011
43,-13653.9668,-13653.9668,-389.1253,5789.5796,1687.4094,2881.6382
44,-14182.077,-13337.7724,-520.9579,5849.9005,1942.0485,3212.7919
45,-14614.8863,-13177.8726,-891.0063,5859.1001,1726.313,2968.5084
46,-15059.7509,-12679.2634,-851.2837,5990.6261,1795.0178,3132.1616
47,-15514.5079,-12120.5134,-975.3846,6195.4578,2207.8174,3541.7607
48,-15817.6413,-11869.9394,-948.2452,6384.5194,2187.6762,3311.0793
49,-16179.7159,-11510.1472,-1218.7374,6525.325,2335.33,3531.4487
50,-16429.0988,-11071.5526,-1069.7593,6733.4427,2674.9605,3953.5654
51,-16946.701,-10773.996,-1149.448,6884.4258,2727.7977,4050.9612
52,-17066.9679,-10242.5847,-885.8445,7356.3471,3174.3692,4510.686
53,-17191.5699,-9700.4617,-522.4098,7937.492,3716.8072,5049.1192
54,-17767.0745,-9482.0097,-1020.6293,7785.995,3707.4022,5163.8766
55,-18438.3856,-8899.4743,-1014.5955,8086.9413,3871.9297,5289.0557
56,-18867.6843,-8806.8976,-1349.3742,8105.0907,3764.7517,5328.5369
57,-19176.9906,-7951.3192,-1036.7715,8613.3728,4233.1037,5759.4124
58,-19624.3108,-7603.9991,-1140.0743,8633.993,4315.6112,5826.3849
59,-20067.5909,-7267.5931,-1396.5593,8426.6766,4469.474,5852.3815
60,-20666.3782,-6933.1768,-1789.041,8348.1213,4604.8095,5872.9667
61,-21106.255,-6424.2758,-2065.6614,8423.7839,4855.7398,6293.5313
62,-21752.9497,-5999.0941,-1839.4305,8539.6739,5193.5139,6660.1504
63,-22153.9002,-5561.2677,-1919.8431,8448.0875,5344.0827,7005.742
64,-22490.8121,-5142.7262,-1875.2622,8695.8287,5751.085,7411.2355
65,-23253.4472,-5126.7957,-2083.9218,8683.4361,5765.6924,7579.9906
66,-23739.5273,-4839.9834,-2098.7392,8811.9915,6060.7143,7712.5309
67,-24142.4119,-4523.5055,-2183.2775,8895.8055,6332.4725,7986.5174
68,-24558.755,-4299.5612,-2078.6323,9284.4216,6720.0227,8385.2984
69,-24938.3089,-3826.4191,-1908.7734,9425.3342,6970.1547,8891.1922
70,-25356.993,-3553.7543,-2083.5943,9493.437,6884.2953,8818.3325
71,-26045.004,-3012.5432,-2373.6311,9495.278,7214.6263,9545.9089
72,-26535.4437,-2990.8132,-2787.1034,9152.841,6922.5849,9465.011
73,-26766.9446,-2688.7176,-2755.1552,9274.8309,7111.8798,9858.8931
74,-27083.4347,-2365.8957,-2948.0045,9308.9746,7281.9458,10138.5556
75,-27420.6027,-1998.861,-3102.9162,9307.3504,7610.0094,10504.8458
76,-27830.6505,-1977.1653,-3562.2238,9262.2315,7643.0436,10603.3373
77,-28563.3424,-1750.6672,-3380.7551,9692.3763,8090.723,11214.5813
78,-28879.9219,-1574.0128,-3470.3623,9964.4025,8411.1415,11671.4595
79,-29181.7301,-1531.9471,-3838.4913,10228.138,8791.981,12155.754
80,-29838.7253,-1534.7697,-4422.1261,10071.8568,8601.8649,12131.5318
81,-30292.2602,-1257.6582,-4866.0447,10184.6794,9160.2673,12737.3019
82,-30563.5313,-1330.4126,-5152.3342,10446.6552,9544.6204,13100.9427
83,-30672.4298,-1428.1239,-5297.2759,10635.6628,9615.1365,13301.3239
84,-31430.3379,-1407.0935,-4904.2869,11286.7613,10432.1282,13942.4665
85,-31774.7582,-1750.2875,-4946.9318,11640.0095,10932.9744,14438.1928
86,-32067.0362,-2026.3464,-4810.4891,12072.3039,11402.6321,15131.7124
87,-32641.0991,-2774.9545,-4408.8689,12612.9342,11498.89,15271.2896
88,-33286.94,-3557.2761,-4284.4519,12772.8183,11645.425,15624.5245
89,-34019.3953,-4226.083,-4525.5846,12832.583,11584.1949,15511.8
90,-34331.9582,-5030.3203,-4306.2799,13346.8439,11987.676,15972.2372
91,-34421.7907,-5785.7755,-4142.3617,13866.6881,12462.9759,16596.2727
92,-34858.9276,-6522.2056,-4374.4823,14035.1657,12368.1518,16785.3075
93,-35136.2824,-7358.1705,-4281.5053,14461.065,12622.2948,17226.7997
94,-35542.982,-8407.4456,-4521.9287,14747.9846,12724.0648,17398.5806
95,-36181.6933,-9423.2516,-4650.1816,14983.1868,13106.1386,17689.8528
96,-36511.1125,-10193.3277,-4922.228,15199.6958,13379.9412,18061.392
97,-36853.7296,-11328.7571,-5050.9961,15470.3847,13599.4999,18546.3511
98,-37551.4205,-12507.3484,-4885.6705,15866.4248,13880.8839,18921.1183
99,-38010.4378,-13581.433,-4993.4934,15946.7949,14113.1336,19228.2431
