round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
1,-234.9291,-234.9291,-184.5671,-184.5671,-37.4076,-47.4076
2,-241.4624,-241.4624,-149.3252,-149.3252,-6.9232,-14.4232
3,-245.5574,-245.5574,-67.4417,-67.4417,13.5688,7.5688
4,-266.0749,-266.0749,7.0499,7.0499,65.1601,60.9053
5,-290.6039,-290.6039,33.3749,33.3749,81.6881,72.157
6,-249.408,-249.408,67.364,67.9905,49.6866,52.7276
7,-229.7868,-229.7868,70.287,71.7724,8.4954,11.5364
8,-208.1764,-208.1764,69.7812,71.2453,40.6684,43.22
9,-214.4114,-214.4114,69.8395,74.1208,33.5649,50.8316
10,-217.2264,-217.2264,74.9088,77.4142,43.0654,51.9989
11,-246.7237,-246.7237,74.919,75.4079,63.0895,65.1009
12,-258.2782,-258.2782,105.0999,132.4717,127.9236,120.1413
13,-316.0147,-316.0147,16.6725,63.0468,67.512,35.0119
14,-294.9082,-294.9082,-7.7938,53.1397,92.1541,43.1239
15,-276.8575,-276.8575,-9.6704,79.6837,103.7632,62.1431
16,-233.4513,-233.4513,23.1141,125.2754,106.0325,61.4353
17,-225.1231,-225.1231,9.1127,92.0846,94.4716,55.9068
18,-176.519,-176.519,38.1727,127.4706,135.9548,121.5288
19,-184.9045,-184.9045,39.2046,130.3227,119.5294,100.64
20,-173.5955,-173.5955,25.792,114.581,98.1603,87.6707
21,-187.5672,-187.5672,32.128,120.9741,62.2842,59.8362
22,-230.7178,-230.7178,1.4153,94.3782,17.5353,28.3612
23,-221.1839,-221.1839,15.1197,114.053,-12.5628,-0.6093
24,-241.9163,-241.9163,-8.4257,82.2949,-31.1406,-13.2679
25,-252.2848,-252.2848,5.4874,91.8032,-56.2835,-34.5909
26,-271.0733,-271.0733,-37.7234,54.8162,-75.3555,-45.8074
27,-224.1191,-224.1191,-15.9123,93.9168,-48.8618,-30.4636
28,-215.2235,-215.2235,-20.3262,85.6006,-51.4113,-33.0849
29,-201.5478,-201.5478,-18.9751,113.6604,-28.1291,0.6722
30,-205.6636,-205.6636,-29.9484,112.0358,-3.8716,25.8211
31,-234.1199,-234.1199,-33.1582,102.0206,4.2717,22.1628
32,-246.2683,-246.2683,-19.0518,121.0523,25.7399,20.6186
33,-277.3281,-277.3281,-49.9613,112.3627,23.1575,-1.9388
34,-274.6218,-274.6218,-69.2302,70.4711,-3.5544,-33.3237
35,-314.4638,-314.4638,-108.622,45.3366,-39.5145,-30.3067
36,-265.5967,-265.5967,-91.6043,89.9386,-24.659,-15.6346
37,-296.6248,-296.6248,-153.6146,16.7546,-103.9725,-70.2221
38,-264.8028,-264.8028,-144.0324,19.8184,-86.3677,-27.3415
39,-243.0881,-243.0881,-138.6397,80.2568,-51.4379,-11.5129
40,-203.9799,-203.9799,-103.7208,95.1014,7.5427,-5.6988
41,-244.6968,-244.6968,-145.4786,67.8148,1.6578,-25.0182
42,-245.6964,-131.5085,-120.9459,93.7738,81.6422,60.2109
43,-288.7365,-93.6887,-154.7414,67.2884,35.934,-2.2093
44,-329.069,-6.3253,-129.2786,34.7828,16.2389,-3.3025
45,-357.7451,101.5281,-149.9722,34.3423,36.5407,13.444
46,-317.4886,216.7636,-97.292,55.31,60.4309,7.6479
47,-295.6425,221.67,-115.7993,65.0839,45.2502,-16.0437
48,-271.0037,258.0867,-47.1358,90.8117,119.7064,66.1257
49,-280.9647,230.0663,-62.8366,93.5893,117.9114,51.2068
50,-236.196,226.0652,-10.9266,129.0253,122.0983,62.7299
