round,cmab,cmab_trust,truthride
1,-260.4423,-260.4423,-60.5915
2,-204.2516,-204.2516,-8.9312
3,-79.6036,-79.6036,22.9421
4,35.4569,35.4569,109.7415
5,77.0493,77.0493,134.1791
6,129.269,130.2327,100.1129
7,134.4845,136.9406,38.0049
8,133.2837,135.7048,95.1142
9,133.6282,140.3241,105.2519
10,141.8002,145.7973,104.0009
11,141.1765,142.1748,125.6759
12,185.0158,226.3705,216.826
13,52.6197,122.7002,92.1711
14,16.7074,108.9486,100.3124
15,14.6865,149.8295,139.7165
16,63.9882,218.8932,144.3312
17,43.0651,169.1009,134.5472
18,86.3721,222.014,228.5748
19,87.7519,225.4341,208.6626
20,65.7451,199.3356,178.3504
21,77.2491,210.1623,130.3604
22,32.353,171.2893,85.1491
23,52.8466,199.7975,32.6629
24,17.5226,152.7474,4.4492
25,39.5572,168.4778,-27.2248
26,-26.478,112.0123,-43.6859
27,7.3837,172.9682,-29.6292
28,1.1388,160.7869,-12.0528
29,3.7203,204.3466,40.6809
30,-11.3786,204.0566,75.7586
31,-16.1843,189.6139,75.4491
32,3.8653,216.5124,88.538
33,-41.863,206.264,48.4474
34,-69.9213,144.4587,16.0675
35,-129.973,106.318,22.8865
36,-104.1253,173.84,47.2868
37,-197.2388,64.0558,-42.327
38,-184.4756,64.5925,15.2482
39,-177.0196,155.0871,33.7422
40,-124.2272,177.9191,49.4316
41,-186.4549,137.2522,33.1522
42,-149.7188,176.1437,158.5943
43,-198.5201,139.5637,70.5938
44,-159.6578,89.7672,64.4797
45,-190.8682,87.7765,92.2319
46,-111.8239,118.988,85.8882
47,-139.5559,135.0849,63.7314
48,-35.7506,174.8685,197.0114
49,-59.6329,178.7599,183.7599
50,17.908,232.1779,193.7851
51,85.1671,310.5945,347.608
52,39.6216,252.134,326.4856
53,11.0328,270.6997,267.0981
54,-39.9852,244.133,255.5152
55,-30.1854,251.4051,249.7453
56,-123.5329,139.3002,155.4531
57,-75.186,128.1363,137.701
58,-154.8891,52.236,116.7822
59,-143.2575,63.7387,192.9989
60,-160.5318,-14.7398,180.1476
61,-155.9538,-37.1811,235.8714
62,-95.7406,53.8304,311.7708
63,-58.9762,67.0629,341.4048
64,-6.6156,77.6415,283.7999
65,-68.7694,71.2263,265.2734
66,-31.7578,167.2668,275.9113
67,-6.7022,145.9011,295.9913
68,0.0655,162.0002,247.6684
69,-54.9784,136.6573,366.6756
70,-120.7652,51.4071,295.6987
71,-135.3046,-1.9182,294.7189
72,-207.8462,-23.2719,249.4727
73,-203.8644,-37.2173,337.3027
74,-237.7185,-46.6093,211.4857
75,-118.7304,107.9071,349.9141
76,-143.0414,137.9144,362.5133
77,-178.0974,183.8327,403.4397
78,-263.842,152.9013,325.3372
79,-260.7642,184.4896,426.7929
80,-354.3158,150.8558,377.2723
81,-365.3827,134.252,325.9729
82,-213.1591,211.7246,357.3425
83,-104.9611,313.6305,461.3322
84,11.1111,377.5249,478.8821
85,148.6931,433.2558,434.0694
86,202.5648,427.4311,464.6401
87,75.7405,309.1644,313.8667
88,128.1304,341.3669,306.8089
89,133.6255,358.8769,292.9121
90,6.8773,284.4463,302.8036
91,0.5893,337.6494,320.4551
92,0.7312,383.0803,377.3561
93,-68.7804,327.2686,343.5231
94,-155.9733,266.6016,293.0239
95,-135.3028,287.0438,352.2087
96,-120.8331,281.072,338.8637
97,-94.313,239.7621,365.9325
98,-34.9044,279.1729,397.5171
99,66.8463,375.2157,519.4381
100,65.0416,402.6246,557.2627
101,6.7415,361.3088,562.1992
102,57.2167,373.7648,568.3881
103,36.2979,337.7001,516.5262
104,-44.3574,234.2361,323.5947
105,4.5641,282.5188,288.8245
106,32.5601,316.2081,230.4463
107,35.6268,338.2574,189.6909
108,75.8683,448.4133,298.0693
109,58.8269,440.0153,334.949
110,29.0143,391.1428,327.6092
111,-4.833,334.2016,315.2129
112,-45.5517,312.252,307.0322
113,-158.8639,114.6914,108.5707
114,-198.7533,52.6941,58.2424
115,-214.6509,11.1699,22.9211
116,-216.035,33.0405,44.5307
117,-239.1904,50.3216,37.0665
118,-236.8826,73.7007,82.924
119,-190.7384,96.8293,137.124
120,-167.4323,47.2548,156.5621
121,-144.102,-15.2289,199.4579
122,-137.1152,-86.9602,212.13
123,-171.7553,-118.8069,241.642
124,-184.8372,-197.0284,218.5913
125,-172.6155,-227.6437,160.5899
126,-147.7865,-285.0735,186.5813
127,-187.1258,-361.3682,253.2339
128,-90.855,-432.6634,288.3613
129,-78.6278,-407.4573,348.1394
130,-141.6814,-465.6012,299.7629
131,-156.0683,-438.1513,234.9363
132,-109.7325,-377.4009,166.5763
133,-120.7164,-340.5007,209.573
134,-107.9931,-394.9472,136.4725
135,-22.6833,-441.4434,250.2205
136,-49.5755,-469.1091,252.7273
137,-52.6205,-535.5822,257.6771
138,-89.6584,-615.5088,145.0349
139,-87.9205,-609.2771,136.6125
140,-196.4194,-572.0065,75.1764
141,-212.7223,-611.4585,64.6668
142,-258.3208,-637.4647,44.1497
143,-267.5076,-597.0716,69.2551
144,-305.8533,-608.4016,93.5848
