round,cmab,cmab_trust,truthride
1,-292.2267,-292.2267,-284.7775
2,-387.3413,-387.3413,-304.8928
3,-781.3269,-781.3269,-181.7746
4,-817.0064,-817.0064,-35.7249
5,-398.0178,-398.0178,114.7107
6,-114.9423,-114.9423,263.9301
7,-2.0948,-2.0948,366.0025
8,-134.9818,-130.1635,318.7899
9,-144.5839,-132.3035,154.2993
10,268.4008,280.5064,590.2815
11,553.1985,586.6781,790.1894
12,706.906,726.8917,886.0069
13,570.9007,580.7104,947.1693
14,780.495,999.549,1238.4295
15,531.4995,894.0072,1051.1369
16,636.7354,1131.421,1291.7515
17,780.3385,1476.0394,1584.5893
18,890.8418,1675.1763,1668.8256
19,995.8208,1845.0535,1911.1655
20,963.3602,2004.077,2194.0111
21,1075.4952,2258.5914,2335.0645
22,1109.0639,2472.7176,2476.3413
23,1277.0875,2725.9878,2320.6275
24,1157.5856,2701.5,2336.9109
25,1227.5933,3003.0646,2357.3254
26,1163.1083,3022.3283,2357.3102
27,1306.8498,3315.1068,2340.2175
28,1144.6972,3286.0493,2102.1979
29,1194.5038,3566.341,2188.765
30,1233.2873,3806.9993,2297.0613
31,1181.7098,4044.0614,2560.7146
32,1249.9569,4335.3898,2719.0106
33,1063.7758,4234.1186,2479.4436
34,1213.8303,4648.903,2631.4552
35,1023.9722,4838.3192,2539.2983
36,832.1034,4766.3547,2641.0521
37,600.0921,4866.9796,2833.4429
38,543.1491,5103.3184,2715.8773
39,227.6362,4969.1821,2419.8203
40,101.5945,5161.2816,2615.5394
41,-52.9944,5541.7903,2809.7632
42,-21.0436,5756.5754,3080.6011
43,-389.1253,5789.5796,2881.6382
44,-520.9579,5849.9005,3212.7919
45,-891.0063,5859.1001,2968.5084
46,-851.2837,5990.6261,3132.1616
47,-975.3846,6195.4578,3541.7607
48,-948.2452,6384.5194,3311.0793
49,-1218.7374,6525.325,3531.4487
50,-1069.7593,6733.4427,3953.5654
51,-1149.448,6884.4258,4050.9612
52,-885.8445,7356.3471,4510.686
53,-522.4098,7937.492,5049.1192
54,-1020.6293,7785.995,5163.8766
55,-1014.5955,8086.9413,5289.0557
56,-1349.3742,8105.0907,5328.5369
57,-1036.7715,8613.3728,5759.4124
58,-1140.0743,8633.993,5826.3849
59,-1396.5593,8426.6766,5852.3815
60,-1789.041,8348.1213,5872.9667
61,-2065.6614,8423.7839,6293.5313
62,-1839.4305,8539.6739,6660.1504
63,-1919.8431,8448.0875,7005.742
64,-1875.2622,8695.8287,7411.2355
65,-2083.9218,8683.4361,7579.9906
66,-2098.7392,8811.9915,7712.5309
67,-2183.2775,8895.8055,7986.5174
68,-2078.6323,9284.4216,8385.2984
69,-1908.7734,9425.3342,8891.1922
70,-2083.5943,9493.437,8818.3325
71,-2373.6311,9495.278,9545.9089
72,-2787.1034,9152.841,9465.011
73,-2755.1552,9274.8309,9858.8931
74,-2948.0045,9308.9746,10138.5556
75,-3102.9162,9307.3504,10504.8458
76,-3562.2238,9262.2315,10603.3373
77,-3380.7551,9692.3763,11214.5813
78,-3470.3623,9964.4025,11671.4595
79,-3838.4913,10228.138,12155.754
80,-4422.1261,10071.8568,12131.5318
81,-4866.0447,10184.6794,12737.3019
82,-5152.3342,10446.6552,13100.9427
83,-5297.2759,10635.6628,13301.3239
84,-4904.2869,11286.7613,13942.4665
85,-4946.9318,11640.0095,14438.1928
86,-4810.4891,12072.3039,15131.7124
87,-4408.8689,12612.9342,15271.2896
88,-4284.4519,12772.8183,15624.5245
89,-4525.5846,12832.583,15511.8
90,-4306.2799,13346.8439,15972.2372
91,-4142.3617,13866.6881,16596.2727
92,-4374.4823,14035.1657,16785.3075
93,-4281.5053,14461.065,17226.7997
94,-4521.9287,14747.9846,17398.5806
95,-4650.1816,14983.1868,17689.8528
96,-4922.228,15199.6958,18061.392
97,-5050.9961,15470.3847,18546.3511
98,-4885.6705,15866.4248,18921.1183
99,-4993.4934,15946.7949,19228.2431
100,-4824.7035,16379.0512,19677.4384
101,-4587.9964,17075.7742,20658.5827
102,-4725.7882,17483.5077,21332.6648
103,-4851.9629,17672.969,21732.1143
