round,random,cmab,cmab_trust,truthride
1,0.3143,0.3308,0.3308,0.3127
2,0.2745,0.3246,0.3246,0.2415
3,0.2631,0.2994,0.2994,0.2286
4,0.2185,0.2492,0.2492,0.1602
5,0.2154,0.2257,0.2257,0.1157
6,0.2026,0.2463,0.2463,0.1291
7,0.2255,0.2624,0.2624,0.2121
8,0.2468,0.2529,0.2529,0.2031
9,0.2629,0.2524,0.2524,0.2191
10,0.2457,0.2583,0.2583,0.2295
11,0.2627,0.1949,0.1949,0.1729
12,0.2377,0.1354,0.1354,0.1041
13,0.2341,0.1437,0.1437,0.0827
14,0.2215,0.1439,0.1439,0.0885
15,0.2085,0.1523,0.1523,0.0782
16,0.2074,0.1841,0.1841,0.1219
17,0.2368,0.1777,0.1777,0.1121
18,0.2333,0.1766,0.169,0.1436
19,0.2805,0.1564,0.1487,0.1036
20,0.309,0.1159,0.1083,0.1518
21,0.2898,0.0853,0.0762,0.1083
22,0.2968,0.1172,0.1032,0.1056
23,0.2985,0.1376,0.1312,0.0864
24,0.2672,0.1397,0.1212,0.106
25,0.2782,0.1688,0.1211,0.0549
26,0.2984,0.1952,0.148,0.0938
27,0.2818,0.205,0.1137,0.0914
28,0.2487,0.1673,0.0642,0.0789
29,0.2513,0.1971,0.1138,0.0821
30,0.2225,0.1674,0.1202,0.1032
31,0.2174,0.1358,0.1359,0.0691
32,0.2187,0.1482,0.1984,0.0685
33,0.257,0.1991,0.2516,0.0868
34,0.2478,0.1973,0.2221,0.0707
35,0.2578,0.2521,0.2286,0.0466
36,0.256,0.3037,0.2183,0.0411
37,0.242,0.2829,0.1598,0.0397
38,0.2167,0.2964,0.1044,0.0278
39,0.2234,0.2947,0.0824,0.0227
40,0.2136,0.2873,0.1159,0.0277
41,0.2332,0.2833,0.0804,0.0305
42,0.2404,0.2756,0.0964,0.0357
43,0.2564,0.2656,0.0992,0.0284
44,0.2699,0.2649,0.1409,0.0271
45,0.2958,0.2645,0.0972,0.0267
46,0.2671,0.26,0.0985,0.0566
47,0.2828,0.2704,0.1131,0.0515
48,0.2793,0.2035,0.1384,0.0535
49,0.2683,0.1804,0.1378,0.0533
50,0.2513,0.161,0.1442,0.0527
51,0.2674,0.1177,0.1427,0.0225
52,0.2735,0.0746,0.1116,0.0236
53,0.2492,0.0755,0.0852,0.0259
54,0.2744,0.0896,0.0792,0.0252
55,0.3049,0.0667,0.0708,0.0243
56,0.3104,0.0699,0.076,0.0267
57,0.2531,0.0697,0.1111,0.0295
58,0.2565,0.095,0.1135,0.0286
59,0.2299,0.1109,0.1023,0.0324
60,0.2063,0.1357,0.1194,0.0323
61,0.1585,0.1649,0.1478,0.0338
62,0.215,0.2066,0.1154,0.0319
63,0.2196,0.2254,0.1123,0.0282
64,0.2197,0.1798,0.09,0.0282
65,0.1913,0.1789,0.09,0.0287
66,0.2245,0.1793,0.0565,0.0249
67,0.191,0.1762,0.0584,0.0257
68,0.1879,0.157,0.0968,0.026
69,0.177,0.1972,0.1405,0.0234
70,0.2144,0.2487,0.1824,0.0278
71,0.2196,0.2629,0.1996,0.0307
72,0.2396,0.2654,0.1972,0.031
73,0.275,0.2871,0.1763,0.0317
74,0.2967,0.3032,0.1786,0.0306
75,0.272,0.2486,0.1527,0.0279
76,0.2607,0.2327,0.155,0.0277
77,0.2626,0.2564,0.194,0.0271
78,0.2409,0.2195,0.2036,0.0281
79,0.2315,0.1991,0.1845,0.03
80,0.2434,0.1913,0.1666,0.029
81,0.2472,0.1989,0.1741,0.0243
82,0.2312,0.159,0.1583,0.023
83,0.2426,0.1944,0.1536,0.0238
84,0.2534,0.1991,0.1509,0.0247
85,0.2571,0.2237,0.1628,0.0242
86,0.2471,0.2021,0.1712,0.0306
87,0.2653,0.2443,0.181,0.0312
88,0.2471,0.2539,0.1863,0.0291
89,0.2244,0.2634,0.1841,0.0289
90,0.23,0.2754,0.1752,0.0467
91,0.2334,0.3166,0.1824,0.0459
92,0.211,0.2942,0.1461,0.0471
93,0.2325,0.2917,0.1223,0.0494
94,0.2464,0.2913,0.1427,0.05
95,0.2251,0.2625,0.1692,0.0331
96,0.2423,0.263,0.1282,0.0337
97,0.2467,0.2715,0.1322,0.0333
98,0.239,0.2806,0.1615,0.0355
99,0.217,0.2596,0.1505,0.0352
100,0.2213,0.2822,0.1405,0.059
101,0.2217,0.2461,0.1393,0.058
102,0.2209,0.224,0.1386,0.0585
103,0.2218,0.2033,0.1078,0.0563
104,0.2179,0.2072,0.0867,0.0561
105,0.2407,0.1928,0.0557,0.0336
106,0.2583,0.1951,0.0631,0.0359
107,0.2694,0.1904,0.0636,0.0383
108,0.2818,0.1574,0.0821,0.042
109,0.2911,0.1427,0.0667,0.0441
110,0.2974,0.1678,0.0628,0.0469
111,0.2727,0.1951,0.0905,0.0396
112,0.2709,0.1814,0.0891,0.0406
113,0.2818,0.1782,0.071,0.0357
114,0.2631,0.1604,0.0753,0.0331
115,0.2019,0.1556,0.0808,0.0323
116,0.1903,0.1366,0.0677,0.0389
117,0.2017,0.1694,0.0664,0.0344
118,0.1714,0.1973,0.0652,0.0403
119,0.2061,0.2123,0.0655,0.0414
120,0.2031,0.195,0.0692,0.0398
121,0.207,0.21,0.0465,0.0397
122,0.174,0.1987,0.0485,0.0438
123,0.1927,0.219,0.0488,0.0435
124,0.18,0.2199,0.0527,0.0449
125,0.23,0.1895,0.0462,0.0427
126,0.2242,0.1868,0.0542,0.0391
127,0.269,0.1832,0.052,0.036
128,0.2403,0.1613,0.0534,0.0322
129,0.2535,0.178,0.0522,0.0297
130,0.2435,0.1976,0.0669,0.0314
131,0.2519,0.1995,0.0588,0.0311
132,0.2381,0.214,0.0581,0.0339
133,0.2486,0.2002,0.0507,0.0326
134,0.2552,0.2119,0.0533,0.0389
135,0.2599,0.222,0.0383,0.0378
136,0.2877,0.1752,0.0389,0.0379
137,0.2823,0.1934,0.0395,0.0378
138,0.2832,0.2035,0.0473,0.0482
139,0.2538,0.1844,0.0727,0.0488
140,0.2719,0.2044,0.143,0.0479
141,0.258,0.2489,0.1438,0.0521
142,0.2632,0.2343,0.1465,0.0517
143,0.2681,0.2483,0.1692,0.0443
144,0.3011,0.2738,0.1586,0.0376
