round,trust_aware,membership_aware,truthride
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,0.9951,0.9967,1.0
4,0.9902,0.9934,1.0
5,0.9869,0.9803,1.0
6,0.9803,0.9688,1.0
7,0.9754,0.9623,1.0
8,0.9705,0.9492,1.0
9,0.9672,0.9442,1.0
10,0.9606,0.9344,1.0
11,0.9524,0.9278,1.0
12,0.9393,0.9147,1.0
13,0.9393,0.9065,1.0
14,0.936,0.9065,0.9984
15,0.9311,0.8918,0.9984
16,0.9311,0.8803,0.9984
17,0.9229,0.8754,0.9984
18,0.9229,0.8672,0.9984
19,0.918,0.8639,0.9984
20,0.9131,0.8525,0.9934
21,0.9049,0.8427,0.9902
22,0.8951,0.8377,0.9902
23,0.8934,0.8328,0.9902
24,0.8869,0.8263,0.9902
25,0.8869,0.8263,0.9902
26,0.882,0.8263,0.9852
27,0.8803,0.8213,0.9852
28,0.8689,0.8148,0.9852
29,0.8672,0.8131,0.9852
30,0.8607,0.8099,0.9803
31,0.8541,0.8082,0.9787
32,0.8328,0.8033,0.9787
33,0.8148,0.7869,0.9787
34,0.8049,0.7803,0.9754
35,0.7951,0.7738,0.9738
36,0.7902,0.7623,0.9672
37,0.7803,0.759,0.9672
38,0.7672,0.7574,0.9672
39,0.7607,0.7541,0.9524
40,0.7525,0.7525,0.9508
41,0.7443,0.7443,0.9475
42,0.7377,0.7361,0.941
43,0.7344,0.7262,0.9393
44,0.7344,0.7262,0.9344
45,0.7213,0.7197,0.9295
46,0.7115,0.7147,0.9246
47,0.7,0.7049,0.918
48,0.6951,0.7033,0.9164
49,0.6836,0.6951,0.9114
50,0.6803,0.6885,0.9016
51,0.6754,0.6803,0.8934
52,0.6705,0.6754,0.8918
53,0.6655,0.6688,0.8869
54,0.6524,0.6557,0.882
55,0.6459,0.6508,0.882
56,0.6426,0.6426,0.8803
57,0.6295,0.6344,0.8787
58,0.6213,0.6197,0.877
59,0.6148,0.6082,0.8754
60,0.6066,0.6033,0.8689
61,0.6049,0.6,0.8672
62,0.6,0.5869,0.8541
63,0.5935,0.5787,0.8525
64,0.5836,0.5672,0.8427
65,0.5754,0.559,0.841
66,0.5689,0.5508,0.8377
67,0.5623,0.5443,0.8345
68,0.559,0.5344,0.8345
69,0.5574,0.5279,0.8312
70,0.5508,0.5213,0.8295
71,0.5377,0.5148,0.8246
72,0.5344,0.5131,0.823
73,0.5312,0.5066,0.8181
74,0.5213,0.4951,0.8148
75,0.5148,0.4869,0.8082
76,0.5066,0.482,0.8017
77,0.5,0.4721,0.7869
78,0.4967,0.4688,0.7853
79,0.4951,0.459,0.7803
80,0.4918,0.4492,0.7771
81,0.4803,0.4393,0.7721
82,0.477,0.4311,0.7721
83,0.477,0.4278,0.7705
84,0.4688,0.4246,0.7623
85,0.4623,0.418,0.7541
86,0.459,0.4115,0.7541
87,0.4492,0.4082,0.7443
88,0.4344,0.4049,0.7311
89,0.4279,0.3934,0.7279
90,0.4213,0.3885,0.7213
91,0.418,0.3852,0.7164
92,0.4164,0.382,0.7131
93,0.4098,0.3803,0.7082
94,0.4065,0.3705,0.7082
95,0.3951,0.3639,0.7065
96,0.3869,0.3623,0.7065
97,0.3738,0.3574,0.7065
98,0.3623,0.3443,0.7033
99,0.3443,0.341,0.7
100,0.3328,0.3295,0.6901
101,0.3246,0.3197,0.6803
102,0.3181,0.3148,0.6787
103,0.3164,0.3115,0.6737
104,0.3131,0.3017,0.6688
105,0.3115,0.2984,0.6623
106,0.3082,0.2902,0.6623
107,0.3,0.2853,0.6606
108,0.2885,0.2853,0.659
109,0.2803,0.2787,0.6492
110,0.2754,0.2721,0.6492
111,0.2623,0.2672,0.6475
112,0.2574,0.2607,0.6443
113,0.2541,0.2557,0.6377
114,0.2475,0.2525,0.6361
115,0.2393,0.2443,0.6328
116,0.2344,0.241,0.6295
117,0.2262,0.2393,0.6279
118,0.2213,0.2344,0.6246
119,0.2082,0.2197,0.623
120,0.2049,0.2049,0.6197
121,0.1983,0.1951,0.618
122,0.1918,0.1918,0.6164
123,0.1885,0.1836,0.6131
124,0.1819,0.1803,0.6131
125,0.1803,0.177,0.6131
126,0.1721,0.1688,0.6131
127,0.1606,0.1672,0.6115
128,0.1508,0.1655,0.6099
129,0.1475,0.1623,0.6033
130,0.1426,0.1574,0.6
131,0.1377,0.1492,0.5968
132,0.1361,0.1442,0.5951
133,0.1361,0.141,0.5951
134,0.1344,0.141,0.5935
135,0.1279,0.1377,0.5918
136,0.1279,0.1344,0.5918
137,0.1246,0.1328,0.5869
138,0.1213,0.1279,0.5869
139,0.1197,0.1213,0.5836
140,0.1181,0.1148,0.5787
141,0.1181,0.1099,0.5754
142,0.1181,0.1082,0.5754
143,0.1181,0.1082,0.5754
144,0.1181,0.1082,0.5738
