round,trust_aware,membership_aware,truthride
1,61.0,61.0,61.0
2,61.0,61.0,61.0
3,61.0,61.0,61.0
4,61.0,61.0,61.0
5,62.0,62.0,62.0
6,65.0,65.0,65.0
7,67.0,67.0,67.0
8,71.0,71.0,71.0
9,72.0,72.0,72.0
10,76.0,76.0,76.0
11,79.0,79.0,79.0
12,81.0,81.0,81.0
13,82.0,83.0,82.0
14,83.0,83.0,83.0
15,88.0,90.0,88.0
16,92.0,92.0,92.0
17,96.0,97.0,97.0
18,97.0,98.0,98.0
19,98.0,99.0,99.0
20,102.0,103.0,103.0
21,103.0,104.0,105.0
22,104.0,104.0,105.0
23,104.0,104.0,105.0
24,104.0,106.0,106.0
25,105.0,106.0,106.0
26,107.0,109.0,109.0
27,108.0,110.0,110.0
28,109.0,111.0,111.0
29,109.0,111.0,111.0
30,110.0,113.0,113.0
31,111.0,114.0,115.0
32,111.0,114.0,115.0
33,112.0,115.0,115.0
34,113.0,116.0,116.0
35,113.0,116.0,116.0
36,113.0,116.0,116.0
37,113.0,117.0,116.0
38,113.0,117.0,117.0
39,114.0,118.0,119.0
40,114.0,118.0,119.0
41,114.0,118.0,119.0
42,114.0,118.0,119.0
43,115.0,119.0,119.0
44,116.0,120.0,120.0
45,118.0,123.0,123.0
46,119.0,123.0,123.0
47,119.0,123.0,124.0
48,119.0,123.0,124.0
49,119.0,123.0,125.0
50,121.0,124.0,126.0
51,121.0,125.0,126.0
52,121.0,126.0,128.0
53,122.0,127.0,130.0
54,122.0,128.0,130.0
55,122.0,128.0,130.0
56,122.0,128.0,130.0
57,124.0,129.0,131.0
58,124.0,131.0,132.0
59,124.0,131.0,132.0
60,126.0,132.0,133.0
61,126.0,132.0,133.0
62,126.0,133.0,133.0
63,126.0,133.0,134.0
64,127.0,134.0,136.0
65,128.0,135.0,136.0
66,128.0,135.0,136.0
67,128.0,135.0,136.0
68,129.0,137.0,138.0
69,130.0,138.0,140.0
70,131.0,138.0,140.0
71,131.0,139.0,141.0
72,131.0,139.0,142.0
73,132.0,141.0,144.0
74,133.0,141.0,147.0
75,136.0,145.0,150.0
76,137.0,146.0,151.0
77,137.0,146.0,152.0
78,139.0,149.0,154.0
79,140.0,150.0,155.0
80,141.0,150.0,156.0
81,141.0,151.0,156.0
82,141.0,151.0,156.0
83,141.0,152.0,157.0
84,142.0,152.0,157.0
85,142.0,152.0,157.0
86,142.0,152.0,157.0
87,142.0,153.0,158.0
88,142.0,153.0,158.0
89,142.0,153.0,158.0
90,142.0,153.0,158.0
91,142.0,153.0,158.0
92,142.0,154.0,158.0
93,142.0,154.0,158.0
94,142.0,154.0,159.0
95,142.0,154.0,160.0
96,142.0,154.0,160.0
97,143.0,154.0,160.0
98,143.0,155.0,161.0
99,144.0,155.0,162.0
100,144.0,155.0,162.0
101,144.0,155.0,162.0
102,144.0,155.0,162.0
103,144.0,155.0,162.0
104,144.0,155.0,162.0
105,144.0,155.0,162.0
106,144.0,155.0,162.0
107,144.0,155.0,162.0
108,144.0,155.0,162.0
109,144.0,155.0,162.0
110,144.0,155.0,163.0
111,144.0,156.0,163.0
112,144.0,156.0,163.0
113,144.0,156.0,163.0
114,144.0,156.0,163.0
115,145.0,157.0,164.0
116,145.0,157.0,164.0
117,145.0,157.0,164.0
118,145.0,157.0,164.0
119,145.0,158.0,165.0
120,145.0,158.0,165.0
121,145.0,158.0,165.0
122,145.0,158.0,165.0
123,145.0,158.0,165.0
124,145.0,158.0,165.0
125,145.0,158.0,165.0
126,145.0,158.0,165.0
127,145.0,158.0,165.0
128,145.0,158.0,165.0
129,145.0,158.0,165.0
130,145.0,158.0,165.0
131,145.0,158.0,165.0
132,145.0,158.0,165.0
133,145.0,158.0,165.0
134,145.0,158.0,165.0
135,145.0,158.0,165.0
136,145.0,158.0,165.0
137,145.0,158.0,165.0
138,145.0,158.0,165.0
139,145.0,158.0,165.0
140,145.0,158.0,165.0
141,145.0,158.0,165.0
142,145.0,158.0,165.0
143,145.0,158.0,165.0
144,145.0,158.0,165.0
