round,trust_aware,membership_aware,truthride
1,191.0,191.0,191.0
2,203.0,203.0,203.0
3,203.0,204.0,204.0
4,202.0,203.0,203.0
5,203.0,205.0,205.0
6,203.0,205.0,206.0
7,205.0,207.0,209.0
8,206.0,208.0,210.0
9,205.0,207.0,210.0
10,205.0,207.0,211.0
11,204.0,206.0,210.0
12,202.0,205.0,210.0
13,200.0,204.0,210.0
14,198.0,202.0,209.0
15,197.0,201.0,208.0
16,196.0,200.0,208.0
17,197.0,201.0,210.0
18,197.0,201.0,211.0
19,197.0,201.0,212.0
20,196.0,201.0,212.0
21,195.0,200.0,211.0
22,194.0,199.0,211.0
23,195.0,199.0,212.0
24,194.0,199.0,212.0
25,192.0,198.0,212.0
26,192.0,198.0,213.0
27,191.0,197.0,212.0
28,190.0,196.0,212.0
29,188.0,196.0,212.0
30,189.0,196.0,213.0
31,188.0,196.0,212.0
32,187.0,195.0,212.0
33,187.0,196.0,214.0
34,185.0,194.0,214.0
35,184.0,193.0,213.0
36,183.0,192.0,213.0
37,181.0,190.0,212.0
38,180.0,189.0,212.0
39,179.0,189.0,213.0
40,178.0,189.0,213.0
41,180.0,191.0,214.0
42,179.0,191.0,215.0
43,180.0,190.0,217.0
44,181.0,190.0,218.0
45,180.0,189.0,218.0
46,178.0,188.0,217.0
47,177.0,188.0,218.0
48,175.0,187.0,217.0
49,175.0,187.0,217.0
50,175.0,187.0,218.0
51,176.0,188.0,219.0
52,176.0,188.0,220.0
53,176.0,188.0,221.0
54,174.0,187.0,220.0
55,173.0,185.0,219.0
56,172.0,185.0,220.0
57,174.0,186.0,222.0
58,173.0,186.0,223.0
59,173.0,186.0,225.0
60,173.0,185.0,226.0
61,172.0,185.0,227.0
62,174.0,187.0,229.0
63,174.0,186.0,228.0
64,173.0,185.0,229.0
65,172.0,184.0,228.0
66,172.0,184.0,230.0
67,173.0,185.0,232.0
68,171.0,184.0,231.0
69,171.0,183.0,232.0
70,170.0,183.0,232.0
71,172.0,186.0,236.0
72,172.0,185.0,236.0
73,172.0,185.0,237.0
74,172.0,184.0,237.0
75,169.0,183.0,237.0
76,168.0,181.0,236.0
77,166.0,179.0,235.0
78,164.0,177.0,233.0
79,161.0,175.0,231.0
80,159.0,172.0,230.0
81,158.0,170.0,229.0
82,156.0,168.0,228.0
83,155.0,167.0,228.0
84,154.0,167.0,228.0
85,154.0,166.0,228.0
86,153.0,164.0,227.0
87,152.0,162.0,226.0
88,150.0,160.0,225.0
89,148.0,159.0,224.0
90,148.0,158.0,224.0
91,146.0,157.0,224.0
92,145.0,156.0,224.0
93,144.0,155.0,223.0
94,143.0,154.0,222.0
95,142.0,152.0,221.0
96,140.0,151.0,221.0
97,139.0,151.0,221.0
98,136.0,148.0,220.0
99,134.0,147.0,219.0
100,132.0,146.0,219.0
101,131.0,144.0,218.0
102,131.0,144.0,219.0
103,127.0,141.0,216.0
104,126.0,140.0,215.0
105,126.0,138.0,215.0
106,125.0,137.0,214.0
107,124.0,136.0,214.0
108,122.0,134.0,213.0
109,121.0,134.0,213.0
110,119.0,132.0,212.0
111,117.0,130.0,210.0
112,115.0,129.0,210.0
113,114.0,128.0,209.0
114,114.0,127.0,208.0
115,113.0,126.0,208.0
116,110.0,124.0,207.0
117,109.0,123.0,206.0
118,105.0,119.0,202.0
119,103.0,118.0,200.0
120,102.0,116.0,200.0
121,100.0,114.0,197.0
122,98.0,111.0,195.0
123,96.0,109.0,193.0
124,94.0,106.0,190.0
125,91.0,104.0,188.0
126,90.0,103.0,187.0
127,88.0,100.0,181.0
128,87.0,99.0,180.0
129,84.0,96.0,177.0
130,83.0,96.0,176.0
131,82.0,93.0,173.0
132,80.0,90.0,170.0
133,78.0,87.0,168.0
134,76.0,83.0,164.0
135,75.0,83.0,162.0
136,74.0,82.0,159.0
137,73.0,80.0,158.0
138,71.0,77.0,156.0
139,66.0,74.0,151.0
140,66.0,73.0,148.0
141,66.0,72.0,146.0
142,66.0,71.0,144.0
143,61.0,66.0,136.0
144,57.0,61.0,128.0
