round,cmab,cmab_trust,truthride
1,0.093,0.093,0.1102
2,0.3005,0.3005,0.298
3,0.4194,0.4194,0.5118
4,0.4734,0.4734,0.582
5,0.5296,0.5296,0.6069
6,0.5578,0.5578,0.6381
7,0.5649,0.5649,0.6483
8,0.5601,0.5601,0.651
9,0.5585,0.5585,0.6389
10,0.5807,0.5807,0.6564
11,0.5998,0.5998,0.6719
12,0.6153,0.6153,0.687
13,0.6197,0.6197,0.6919
14,0.6315,0.6331,0.699
15,0.6393,0.6409,0.709
16,0.6388,0.6403,0.7095
17,0.6478,0.6493,0.7144
18,0.6539,0.6551,0.7187
19,0.6564,0.658,0.7215
20,0.6574,0.6597,0.7229
21,0.6607,0.6637,0.726
22,0.6627,0.6665,0.7246
23,0.6631,0.667,0.7224
24,0.6656,0.6702,0.7249
25,0.6662,0.6713,0.726
26,0.6677,0.6731,0.7256
27,0.6725,0.678,0.7287
28,0.6744,0.6793,0.724
29,0.6761,0.6818,0.7254
30,0.6741,0.6825,0.7251
31,0.6718,0.6815,0.7262
32,0.6739,0.6857,0.7274
33,0.6792,0.6895,0.7322
34,0.6791,0.6892,0.7351
35,0.6782,0.6905,0.7353
36,0.6786,0.6922,0.7384
37,0.6767,0.6946,0.7408
38,0.6758,0.6958,0.7408
39,0.6767,0.6985,0.7426
40,0.6754,0.6995,0.743
41,0.6769,0.7018,0.7453
42,0.6769,0.701,0.7481
43,0.6766,0.7029,0.7511
44,0.6768,0.7045,0.7515
45,0.6724,0.7037,0.7495
46,0.671,0.7025,0.7499
47,0.6683,0.7043,0.7549
48,0.6685,0.7052,0.7554
49,0.6669,0.7056,0.7581
50,0.6695,0.7077,0.761
51,0.6695,0.7065,0.7625
52,0.671,0.7088,0.7647
53,0.6723,0.7109,0.767
54,0.6731,0.7119,0.7689
55,0.6729,0.7114,0.7686
56,0.6715,0.7113,0.7684
57,0.6735,0.7121,0.7697
58,0.6738,0.7138,0.772
59,0.6729,0.7133,0.7737
60,0.6749,0.7151,0.776
61,0.6721,0.7147,0.7776
62,0.6717,0.7155,0.7795
63,0.6702,0.7146,0.7807
64,0.6682,0.7146,0.7822
65,0.6689,0.7155,0.7838
66,0.6693,0.7161,0.7852
67,0.6689,0.7161,0.7866
68,0.6686,0.716,0.7879
69,0.6675,0.7156,0.7894
70,0.6681,0.716,0.7907
71,0.6674,0.7156,0.7927
72,0.6655,0.7145,0.7932
73,0.6649,0.7143,0.794
74,0.6648,0.7141,0.7949
75,0.6635,0.7135,0.7961
76,0.6624,0.7137,0.7967
77,0.6617,0.7146,0.7988
78,0.6612,0.714,0.7989
79,0.6597,0.7144,0.7997
80,0.6589,0.7151,0.8004
81,0.6564,0.714,0.802
82,0.6553,0.7147,0.8026
83,0.6546,0.7143,0.8022
84,0.6535,0.7152,0.8034
85,0.6521,0.7157,0.804
86,0.6512,0.7156,0.8046
87,0.6506,0.7161,0.8046
88,0.6502,0.7157,0.8051
89,0.6484,0.7142,0.8057
90,0.6478,0.7144,0.8066
91,0.6474,0.7148,0.807
92,0.6462,0.7137,0.8065
93,0.6461,0.7137,0.8068
94,0.6461,0.7144,0.8068
95,0.6453,0.7143,0.8073
96,0.6437,0.7143,0.8073
97,0.643,0.7141,0.8081
98,0.6423,0.7151,0.8079
99,0.6405,0.7149,0.8084
100,0.6395,0.7157,0.8092
101,0.6384,0.7157,0.8096
102,0.6365,0.7158,0.8101
103,0.6353,0.7158,0.8098
104,0.6345,0.7162,0.8102
105,0.6338,0.7162,0.8102
106,0.632,0.7165,0.8104
107,0.6324,0.7164,0.8103
108,0.6323,0.7166,0.8099
109,0.6323,0.7166,0.81
110,0.6331,0.7175,0.8103
111,0.6326,0.7182,0.8105
112,0.632,0.7185,0.8105
113,0.6314,0.7179,0.8098
114,0.6317,0.7184,0.8098
115,0.6316,0.7191,0.81
116,0.6312,0.7184,0.8098
117,0.6312,0.7185,0.8095
118,0.63,0.7181,0.8096
119,0.6296,0.7188,0.8098
120,0.6287,0.7193,0.81
121,0.6287,0.7195,0.8098
122,0.6279,0.7195,0.81
123,0.627,0.72,0.8099
124,0.626,0.7203,0.8097
125,0.6251,0.7205,0.8099
126,0.6244,0.7207,0.8101
127,0.6243,0.7209,0.81
128,0.6241,0.7211,0.8104
129,0.6232,0.7217,0.8102
130,0.6232,0.7223,0.8103
131,0.6223,0.7221,0.8103
132,0.6222,0.7221,0.8106
133,0.6226,0.7223,0.8106
134,0.6221,0.7223,0.8105
135,0.6223,0.7228,0.8105
136,0.6221,0.7228,0.8106
137,0.6223,0.7228,0.8109
138,0.6223,0.7229,0.8106
139,0.6223,0.7228,0.8107
140,0.622,0.7228,0.8104
141,0.6217,0.7227,0.81
142,0.6203,0.7217,0.81
143,0.6197,0.7218,0.8098
144,0.6191,0.7218,0.8098
