round,trusted_count,unknown_count,malicious_count
1,61.0,224.0,0.0
2,61.0,224.0,0.0
3,61.0,224.0,0.0
4,61.0,224.0,0.0
5,61.0,224.0,0.0
6,62.0,223.0,0.0
7,62.0,223.0,0.0
8,62.0,223.0,0.0
9,62.0,223.0,0.0
10,63.0,221.0,1.0
11,64.0,220.0,1.0
12,64.0,220.0,1.0
13,64.0,219.0,2.0
14,64.0,216.0,5.0
15,64.0,214.0,7.0
16,64.0,212.0,9.0
17,64.0,211.0,10.0
18,66.0,209.0,10.0
19,66.0,208.0,11.0
20,68.0,203.0,14.0
21,68.0,202.0,16.0
22,70.0,198.0,18.0
23,71.0,196.0,18.0
24,71.0,196.0,18.0
25,72.0,194.0,19.0
26,73.0,192.0,20.0
27,74.0,192.0,20.0
28,74.0,192.0,20.0
29,76.0,190.0,20.0
30,76.0,188.0,20.0
31,77.0,186.0,22.0
32,79.0,182.0,23.0
33,80.0,180.0,24.0
34,83.0,176.0,26.0
35,85.0,174.0,27.0
36,85.0,173.0,27.0
37,86.0,169.0,30.0
38,88.0,166.0,31.0
39,88.0,166.0,31.0
40,90.0,163.0,33.0
41,90.0,161.0,34.0
42,92.0,158.0,35.0
43,93.0,157.0,35.0
44,94.0,154.0,37.0
45,94.0,152.0,39.0
46,95.0,150.0,40.0
47,95.0,150.0,40.0
48,96.0,148.0,41.0
49,97.0,146.0,42.0
50,98.0,144.0,42.0
51,100.0,142.0,43.0
52,100.0,141.0,44.0
53,100.0,138.0,46.0
54,102.0,135.0,48.0
55,103.0,133.0,49.0
56,104.0,132.0,49.0
57,105.0,131.0,50.0
58,105.0,129.0,51.0
59,106.0,127.0,52.0
60,107.0,126.0,52.0
61,107.0,125.0,53.0
62,108.0,124.0,53.0
63,109.0,121.0,55.0
64,110.0,120.0,55.0
65,111.0,118.0,56.0
66,114.0,115.0,57.0
67,114.0,114.0,57.0
68,117.0,110.0,58.0
69,118.0,108.0,58.0
70,120.0,106.0,59.0
71,120.0,105.0,59.0
72,121.0,105.0,60.0
73,122.0,104.0,60.0
74,122.0,102.0,60.0
75,123.0,102.0,60.0
76,124.0,100.0,61.0
77,126.0,97.0,63.0
78,126.0,95.0,64.0
79,127.0,94.0,64.0
80,128.0,91.0,66.0
81,129.0,89.0,67.0
82,131.0,86.0,68.0
83,131.0,85.0,69.0
84,133.0,83.0,69.0
85,133.0,81.0,71.0
86,134.0,79.0,71.0
87,136.0,77.0,72.0
88,137.0,75.0,73.0
89,137.0,74.0,74.0
90,138.0,72.0,75.0
91,138.0,71.0,76.0
92,139.0,68.0,77.0
93,140.0,66.0,78.0
94,142.0,63.0,80.0
95,142.0,62.0,80.0
96,144.0,61.0,81.0
97,144.0,60.0,81.0
98,145.0,59.0,82.0
99,146.0,57.0,82.0
100,147.0,55.0,83.0
101,147.0,53.0,85.0
102,147.0,52.0,86.0
103,147.0,51.0,86.0
104,148.0,51.0,86.0
105,148.0,50.0,87.0
106,148.0,50.0,87.0
107,148.0,49.0,88.0
108,149.0,48.0,88.0
109,149.0,47.0,89.0
110,150.0,46.0,89.0
111,150.0,46.0,89.0
112,150.0,45.0,89.0
113,151.0,45.0,89.0
114,151.0,45.0,89.0
115,152.0,44.0,89.0
116,152.0,43.0,89.0
117,153.0,42.0,89.0
118,153.0,42.0,90.0
119,154.0,41.0,90.0
120,154.0,41.0,90.0
121,155.0,40.0,90.0
122,155.0,40.0,90.0
123,155.0,40.0,90.0
124,155.0,40.0,90.0
125,155.0,39.0,90.0
126,155.0,39.0,90.0
127,155.0,39.0,90.0
128,155.0,39.0,90.0
129,155.0,39.0,90.0
130,155.0,39.0,91.0
131,156.0,39.0,91.0
132,156.0,39.0,91.0
133,156.0,38.0,91.0
134,156.0,38.0,91.0
135,156.0,38.0,91.0
136,156.0,38.0,91.0
137,156.0,38.0,91.0
138,156.0,38.0,91.0
139,156.0,38.0,91.0
140,156.0,38.0,91.0
141,156.0,38.0,91.0
142,156.0,38.0,91.0
143,156.0,38.0,91.0
144,156.0,38.0,91.0
