round,trusted_worker_ratio
1,0.214
2,0.214
3,0.214
4,0.214
5,0.214
6,0.2175
7,0.2175
8,0.2175
9,0.2175
10,0.2211
11,0.2246
12,0.2246
13,0.2246
14,0.2246
15,0.2246
16,0.2246
17,0.2246
18,0.2316
19,0.2316
20,0.2386
21,0.2378
22,0.2448
23,0.2491
24,0.2491
25,0.2526
26,0.2561
27,0.2587
28,0.2587
29,0.2657
30,0.2676
31,0.2702
32,0.2782
33,0.2817
34,0.2912
35,0.2972
36,0.2982
37,0.3018
38,0.3088
39,0.3088
40,0.3147
41,0.3158
42,0.3228
43,0.3263
44,0.3298
45,0.3298
46,0.3333
47,0.3333
48,0.3368
49,0.3404
50,0.3451
51,0.3509
52,0.3509
53,0.3521
54,0.3579
55,0.3614
56,0.3649
57,0.3671
58,0.3684
59,0.3719
60,0.3754
61,0.3754
62,0.3789
63,0.3825
64,0.386
65,0.3895
66,0.3986
67,0.4
68,0.4105
69,0.4155
70,0.4211
71,0.4225
72,0.4231
73,0.4266
74,0.4296
75,0.4316
76,0.4351
77,0.4406
78,0.4421
79,0.4456
80,0.4491
81,0.4526
82,0.4596
83,0.4596
84,0.4667
85,0.4667
86,0.4718
87,0.4772
88,0.4807
89,0.4807
90,0.4842
91,0.4842
92,0.4894
93,0.493
94,0.4982
95,0.5
96,0.5035
97,0.5053
98,0.507
99,0.5123
100,0.5158
101,0.5158
102,0.5158
103,0.5176
104,0.5193
105,0.5193
106,0.5193
107,0.5193
108,0.5228
109,0.5228
110,0.5263
111,0.5263
112,0.5282
113,0.5298
114,0.5298
115,0.5333
116,0.5352
117,0.5387
118,0.5368
119,0.5404
120,0.5404
121,0.5439
122,0.5439
123,0.5439
124,0.5439
125,0.5458
126,0.5458
127,0.5458
128,0.5458
129,0.5458
130,0.5439
131,0.5455
132,0.5455
133,0.5474
134,0.5474
135,0.5474
136,0.5474
137,0.5474
138,0.5474
139,0.5474
140,0.5474
141,0.5474
142,0.5474
143,0.5474
144,0.5474
