round,cumulative_trusted_ratio
0,0.7583
1,0.8792
2,0.8926
3,0.9257
4,0.931
5,0.9517
6,0.954
7,0.9601
8,0.9405
9,0.9442
10,0.9475
11,0.953
12,0.9553
13,0.9574
14,0.9611
15,0.9562
16,0.9572
17,0.9589
18,0.9508
19,0.9525
20,0.9562
21,0.9575
22,0.9439
23,0.9448
24,0.9372
25,0.9261
26,0.9142
27,0.9185
28,0.9185
29,0.9204
30,0.925
31,0.9266
32,0.9275
33,0.9278
34,0.9294
35,0.9301
36,0.9323
37,0.9337
38,0.935
39,0.9362
40,0.9368
41,0.9371
42,0.9394
43,0.941
44,0.9426
45,0.9431
46,0.9441
47,0.9454
48,0.9463
49,0.9488
50,0.9504
51,0.9502
52,0.9509
53,0.952
54,0.9523
55,0.9474
56,0.9466
57,0.9476
58,0.9483
59,0.947
60,0.9412
61,0.9405
62,0.9415
63,0.9429
64,0.9435
65,0.9444
66,0.9457
67,0.9462
68,0.9471
69,0.9473
70,0.9488
71,0.949
72,0.9493
73,0.9503
74,0.9513
75,0.9517
76,0.9512
77,0.9523
78,0.9527
79,0.9531
80,0.954
81,0.9547
82,0.9566
83,0.9568
84,0.9573
85,0.9581
86,0.9586
87,0.9591
88,0.9597
89,0.9601
90,0.9604
91,0.9607
92,0.9608
93,0.9611
94,0.9615
95,0.9619
96,0.9623
97,0.963
98,0.9633
99,0.9638
100,0.9643
101,0.9645
102,0.9646
103,0.9647
104,0.9654
105,0.9657
106,0.9664
107,0.9665
108,0.9669
109,0.967
110,0.9671
111,0.9678
112,0.968
113,0.9683
114,0.9687
115,0.9688
116,0.9692
117,0.9694
118,0.9696
119,0.97
120,0.9704
121,0.9705
122,0.9708
123,0.971
124,0.9712
125,0.9713
126,0.9717
127,0.9718
