round,trusted_count,unknown_count,malicious_count
0,84,201,0
1,92,183,10
2,97,151,37
3,99,143,43
4,100,138,47
5,102,133,50
6,105,130,50
7,108,122,55
8,114,108,63
9,116,104,65
10,120,93,72
11,120,93,72
12,121,90,74
13,124,86,75
14,125,85,75
15,127,82,76
16,128,80,77
17,128,79,78
18,128,79,78
19,128,79,78
20,128,79,78
21,129,77,79
22,129,77,79
23,129,77,79
24,129,77,79
25,129,77,79
26,130,75,80
27,130,75,80
28,130,73,82
29,130,69,86
30,130,69,86
31,130,69,86
32,130,69,86
33,130,69,86
34,130,69,86
35,130,69,86
36,130,69,86
37,130,69,86
38,130,69,86
39,130,69,86
40,130,67,88
41,130,67,88
42,131,66,88
43,132,65,88
44,132,65,88
45,132,64,89
46,132,64,89
47,133,62,90
48,133,62,90
49,133,61,91
50,133,61,91
51,133,61,91
52,133,61,91
53,134,60,91
54,134,60,91
55,135,57,93
56,137,53,95
57,138,51,96
58,140,49,96
59,140,49,96
60,141,47,97
61,141,46,98
62,143,44,98
63,144,42,99
64,144,42,99
65,144,41,100
66,144,40,101
67,144,40,101
68,145,39,101
69,147,37,101
70,147,37,101
71,149,34,102
72,149,33,103
73,151,29,105
74,151,29,105
75,151,27,107
76,151,25,109
77,153,23,109
78,153,20,112
79,153,20,112
80,153,20,112
81,155,18,112
82,155,18,112
83,155,18,112
84,156,16,113
85,156,16,113
86,156,16,113
87,157,14,114
88,158,13,114
89,158,13,114
90,158,13,114
91,158,12,115
92,158,11,116
93,158,11,116
94,158,10,117
95,158,10,117
96,158,10,117
97,158,10,117
98,158,10,117
99,158,10,117
100,159,9,117
101,159,8,118
102,159,8,118
103,159,8,118
104,159,8,118
105,159,8,118
106,159,8,118
107,159,7,119
108,159,7,119
109,159,7,119
110,159,7,119
111,159,7,119
112,159,7,119
113,160,6,119
114,160,6,119
115,160,6,119
116,160,6,119
117,160,6,119
118,160,6,119
119,160,6,119
120,160,6,119
121,160,6,119
122,160,6,119
123,160,6,119
124,160,6,119
125,160,6,119
126,160,6,119
127,160,6,119
128,160,6,119
129,160,6,119
130,160,6,119
131,160,6,119
132,160,6,119
133,160,6,119
134,160,6,119
