task_id,region_id,slot_id,start_time,end_time,required_workers,weight,candidate_capacity,true_value
t44_000,44,107,64200,64799,1,1.74,25,0.6039
t64_000,64,108,64800,65399,1,2.21,34,0.9088
t76_000,76,97,58200,58799,1,1.38,5,0.7171
t53_000,53,8,4800,5399,1,1.79,23,0.861
t44_001,44,62,37200,37799,1,2.74,23,0.5232
t63_000,63,123,73800,74399,1,1.32,30,0.9575
t55_000,55,90,54000,54599,1,2.65,34,0.2694
t35_000,35,122,73200,73799,1,2.43,2,0.9211
t75_000,75,59,35400,35999,1,2.93,32,0.1341
t75_001,75,53,31800,32399,1,1.27,24,0.217
t27_000,27,73,43800,44399,1,2.56,1,0.8552
t86_000,86,115,69000,69599,1,2.15,8,0.5341
t75_002,75,65,39000,39599,1,2.81,29,0.682
t98_000,98,37,22200,22799,1,2.98,8,0.6713
t54_000,54,4,2400,2999,1,2.93,18,0.9047
t43_000,43,3,1800,2399,1,2.27,8,0.9881
t44_002,44,86,51600,52199,1,1.13,26,0.8539
t25_000,25,130,78000,78599,1,1.69,1,0.0666
t94_000,94,42,25200,25799,1,1.59,1,0.7688
t74_000,74,22,13200,13799,1,2.21,5,0.7616
t75_003,75,21,12600,13199,1,2.1,16,0.9219
t44_003,44,31,18600,19199,1,3.0,12,0.3097
t55_001,55,7,4200,4799,1,2.9,25,0.9714
t65_000,65,101,60600,61199,1,1.31,26,0.0424
t74_001,74,122,73200,73799,1,1.72,17,0.1383
t74_002,74,134,80400,80999,1,1.92,12,0.5201
t64_001,64,91,54600,55199,1,2.24,32,0.9406
t53_001,53,53,31800,32399,1,2.27,11,0.7156
t98_001,98,116,69600,70199,1,2.96,5,0.5211
t53_002,53,25,15000,15599,1,2.58,11,0.9875
t65_001,65,108,64800,65399,1,2.23,29,0.6322
t55_002,55,140,84000,84599,1,1.93,31,0.6793
t65_002,65,16,9600,10199,1,2.48,17,0.0222
t55_003,55,83,49800,50399,1,2.93,31,0.2511
t96_000,96,20,12000,12599,1,1.35,11,0.1852
t58_000,58,114,68400,68999,1,1.6,1,0.3772
t52_000,52,11,6600,7199,1,2.94,6,0.6837
t54_001,54,134,80400,80999,1,2.31,36,0.2694
t65_003,65,80,48000,48599,1,2.3,33,0.097
t64_002,64,89,53400,53999,1,2.35,34,0.2245
t34_000,34,13,7800,8399,1,1.16,7,0.7421
t45_000,45,120,72000,72599,1,1.54,14,0.787
t55_004,55,74,44400,44999,1,1.63,39,0.8362
t43_001,43,93,55800,56399,1,1.68,10,0.8279
t55_005,55,92,55200,55799,1,2.18,41,0.4213
t53_003,53,111,66600,67199,1,1.93,32,0.6342
t65_004,65,127,76200,76799,1,1.07,31,0.4133
t45_001,45,95,57000,57599,1,2.89,19,0.88
t92_000,92,29,17400,17999,1,2.12,2,0.9858
t63_001,63,91,54600,55199,1,2.49,25,0.8367
t64_003,64,97,58200,58799,1,2.09,37,0.8897
t74_003,74,133,79800,80399,1,1.24,14,0.2445
t55_006,55,76,45600,46199,1,2.79,25,0.8997
t43_002,43,138,82800,83399,1,1.96,8,0.1208
t53_004,53,98,58800,59399,1,2.33,40,0.525
t75_004,75,81,48600,49199,1,1.68,19,0.2525
t74_004,74,134,80400,80999,1,2.62,12,0.0614
t45_002,45,28,16800,17399,1,2.07,7,0.8168
t54_002,54,21,12600,13199,1,2.84,20,0.8061
t73_000,73,99,59400,59999,1,1.98,14,0.5709
t75_005,75,103,61800,62399,1,1.5,10,0.6181
t53_005,53,35,21000,21599,1,1.95,6,0.7765
t48_000,48,16,9600,10199,1,2.55,5,0.0462
t55_007,55,107,64200,64799,1,2.95,44,0.8544
t55_008,55,93,55800,56399,1,1.63,46,0.3146
t65_005,65,0,0,599,1,2.17,17,0.3608
t54_003,54,130,78000,78599,1,1.86,29,0.1276
t48_001,48,31,18600,19199,1,2.59,5,0.5667
