vehicle_id,region_id,start_time,end_time,cost,init_category,base_quality
1,48,32,600,19.5,trusted,0.874
1,48,601,1200,19.5,trusted,0.874
1,48,1201,1800,19.5,trusted,0.874
1,48,1801,2400,19.5,trusted,0.874
1,48,2401,3000,19.5,trusted,0.874
1,48,3001,3600,19.5,trusted,0.874
1,48,3601,4200,19.5,trusted,0.874
1,48,4201,4800,19.5,trusted,0.874
1,48,4801,5400,19.5,trusted,0.874
1,48,5401,6000,19.5,trusted,0.874
1,48,6001,6600,19.5,trusted,0.874
1,48,6601,7200,19.5,trusted,0.874
1,48,7201,7800,19.5,trusted,0.874
1,48,7801,8400,19.5,trusted,0.874
1,48,8401,9000,19.5,trusted,0.874
1,48,9001,9600,19.5,trusted,0.874
1,48,9601,10200,19.5,trusted,0.874
1,48,10201,10800,19.5,trusted,0.874
1,48,10801,11400,19.5,trusted,0.874
1,48,11401,12000,19.5,trusted,0.874
1,48,12001,12600,19.5,trusted,0.874
1,48,12601,13200,19.5,trusted,0.874
1,48,13201,13800,19.5,trusted,0.874
1,48,13801,14400,19.5,trusted,0.874
1,48,14401,15000,19.5,trusted,0.874
1,48,15001,15600,19.5,trusted,0.874
1,48,15601,16200,19.5,trusted,0.874
1,48,16201,16800,19.5,trusted,0.874
1,48,16801,17400,19.5,trusted,0.874
1,48,17401,18000,19.5,trusted,0.874
1,48,18001,18600,19.5,trusted,0.874
1,48,18601,19200,19.5,trusted,0.874
1,48,19201,19800,19.5,trusted,0.874
1,48,19801,20400,19.5,trusted,0.874
1,48,20401,21000,19.5,trusted,0.874
1,48,21001,21600,19.5,trusted,0.874
1,48,21601,22200,19.5,trusted,0.874
1,48,22201,22800,19.5,trusted,0.874
1,48,22801,23400,19.5,trusted,0.874
1,48,23401,24000,19.5,trusted,0.874
1,48,24001,24600,19.5,trusted,0.874
1,48,24601,25200,19.5,trusted,0.874
1,48,25201,25800,19.5,trusted,0.874
1,48,25801,26400,19.5,trusted,0.874
1,48,26401,27000,19.5,trusted,0.874
1,48,27001,27600,19.5,trusted,0.874
1,48,27601,28200,19.5,trusted,0.874
1,48,28201,28800,19.5,trusted,0.874
1,48,28801,29400,19.5,trusted,0.874
1,48,29401,30000,19.5,trusted,0.874
1,48,30001,30600,19.5,trusted,0.874
1,48,30601,31200,19.5,trusted,0.874
1,48,31201,31800,19.5,trusted,0.874
1,48,31801,32400,19.5,trusted,0.874
1,48,32401,33000,19.5,trusted,0.874
1,48,33001,33600,19.5,trusted,0.874
1,48,33601,34200,19.5,trusted,0.874
1,48,34201,34800,19.5,trusted,0.874
1,48,34801,35400,19.5,trusted,0.874
1,48,35401,36000,19.5,trusted,0.874
1,48,36001,36600,19.5,trusted,0.874
1,48,36601,37200,19.5,trusted,0.874
1,48,37201,37800,19.5,trusted,0.874
1,48,37801,38400,19.5,trusted,0.874
1,48,38401,39000,19.5,trusted,0.874
1,48,39001,39029,19.5,trusted,0.874
1,57,39030,39600,19.5,trusted,0.874
1,57,39601,39629,19.5,trusted,0.874
1,56,39630,40200,19.5,trusted,0.874
1,56,40201,40800,19.5,trusted,0.874
1,56,40801,41400,19.5,trusted,0.874
1,56,41401,41429,19.5,trusted,0.874
1,55,41430,42000,19.5,trusted,0.874
1,55,42001,42029,19.5,trusted,0.874
1,54,42030,42600,19.5,trusted,0.874
1,54,42601,42629,19.5,trusted,0.874
1,45,42630,43200,19.5,trusted,0.874
1,45,43201,43800,19.5,trusted,0.874
1,45,43801,44400,19.5,trusted,0.874
1,45,44401,45000,19.5,trusted,0.874
1,45,45001,45600,19.5,trusted,0.874
1,45,45601,46200,19.5,trusted,0.874
1,45,46201,46800,19.5,trusted,0.874
1,45,46801,47400,19.5,trusted,0.874
1,45,47401,48000,19.5,trusted,0.874
1,45,48001,48600,19.5,trusted,0.874
1,45,48601,49200,19.5,trusted,0.874
1,45,49201,49800,19.5,trusted,0.874
1,45,49801,50400,19.5,trusted,0.874
1,45,50401,51000,19.5,trusted,0.874
1,45,51001,51600,19.5,trusted,0.874
1,45,51601,52200,19.5,trusted,0.874
1,45,52201,52800,19.5,trusted,0.874
1,45,52801,53400,19.5,trusted,0.874
1,45,53401,54000,19.5,trusted,0.874
1,45,54001,54600,19.5,trusted,0.874
1,45,54601,55200,19.5,trusted,0.874
1,45,55201,55800,19.5,trusted,0.874
1,45,55801,56400,19.5,trusted,0.874
1,45,56401,57000,19.5,trusted,0.874
1,45,57001,57600,19.5,trusted,0.874
1,45,57601,58200,19.5,trusted,0.874
1,45,58201,58800,19.5,trusted,0.874
1,45,58801,59400,19.5,trusted,0.874
1,45,59401,60000,19.5,trusted,0.874
1,45,60001,60600,19.5,trusted,0.874
1,45,60601,61200,19.5,trusted,0.874
1,45,61201,61800,19.5,trusted,0.874
1,45,61801,62400,19.5,trusted,0.874
1,45,62401,63000,19.5,trusted,0.874
1,45,63001,63600,19.5,trusted,0.874
1,45,63601,64200,19.5,trusted,0.874
1,45,64201,64800,19.5,trusted,0.874
1,45,64801,65400,19.5,trusted,0.874
1,45,65401,66000,19.5,trusted,0.874
1,45,66001,66600,19.5,trusted,0.874
1,45,66601,66914,19.5,trusted,0.874
1,56,66915,67200,19.5,trusted,0.874
1,56,67201,67514,19.5,trusted,0.874
1,57,67515,67800,19.5,trusted,0.874
1,57,67801,68400,19.5,trusted,0.874
1,57,68401,68714,19.5,trusted,0.874
1,47,68715,69000,19.5,trusted,0.874
1,47,69001,69314,19.5,trusted,0.874
1,48,69315,69600,19.5,trusted,0.874
1,48,69601,70200,19.5,trusted,0.874
1,48,70201,70800,19.5,trusted,0.874
1,48,70801,71400,19.5,trusted,0.874
1,48,71401,72000,19.5,trusted,0.874
1,48,72001,72600,19.5,trusted,0.874
