round,completed_tasks,total_tasks,coverage_rate
0,1,987,0.001
1,2,987,0.002
2,3,987,0.003
3,4,987,0.0041
4,6,987,0.0061
5,7,987,0.0071
6,8,987,0.0081
7,10,987,0.0101
8,11,987,0.0111
9,13,987,0.0132
10,14,987,0.0142
11,16,987,0.0162
12,17,987,0.0172
13,21,987,0.0213
14,22,987,0.0223
15,25,987,0.0253
16,26,987,0.0263
17,29,987,0.0294
18,30,987,0.0304
19,33,987,0.0334
20,34,987,0.0344
21,36,987,0.0365
22,38,987,0.0385
23,40,987,0.0405
24,43,987,0.0436
25,45,987,0.0456
26,50,987,0.0507
27,53,987,0.0537
28,59,987,0.0598
29,63,987,0.0638
30,65,987,0.0659
31,67,987,0.0679
32,69,987,0.0699
33,72,987,0.0729
34,74,987,0.075
35,80,987,0.0811
36,83,987,0.0841
37,85,987,0.0861
38,89,987,0.0902
39,96,987,0.0973
40,105,987,0.1064
41,110,987,0.1114
42,114,987,0.1155
43,120,987,0.1216
44,124,987,0.1256
45,130,987,0.1317
46,133,987,0.1348
47,140,987,0.1418
48,146,987,0.1479
49,159,987,0.1611
50,165,987,0.1672
51,170,987,0.1722
52,182,987,0.1844
53,185,987,0.1874
54,193,987,0.1955
55,200,987,0.2026
56,209,987,0.2118
57,214,987,0.2168
58,223,987,0.2259
59,233,987,0.2361
60,243,987,0.2462
61,254,987,0.2573
62,263,987,0.2665
63,274,987,0.2776
64,282,987,0.2857
65,295,987,0.2989
66,307,987,0.311
67,314,987,0.3181
68,321,987,0.3252
69,328,987,0.3323
70,339,987,0.3435
71,351,987,0.3556
72,360,987,0.3647
73,376,987,0.381
74,386,987,0.3911
75,400,987,0.4053
76,416,987,0.4215
77,425,987,0.4306
78,436,987,0.4417
79,446,987,0.4519
80,459,987,0.465
81,471,987,0.4772
82,483,987,0.4894
83,488,987,0.4944
84,495,987,0.5015
85,513,987,0.5198
86,521,987,0.5279
87,538,987,0.5451
88,551,987,0.5583
89,563,987,0.5704
90,574,987,0.5816
91,589,987,0.5968
92,602,987,0.6099
93,614,987,0.6221
94,629,987,0.6373
95,641,987,0.6494
96,653,987,0.6616
97,662,987,0.6707
98,671,987,0.6798
99,682,987,0.691
100,695,987,0.7042
101,705,987,0.7143
102,719,987,0.7285
103,734,987,0.7437
104,748,987,0.7579
105,757,987,0.767
106,780,987,0.7903
107,792,987,0.8024
108,801,987,0.8116
