round,new_completed,coverage_rate
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,1,1.0
10,0,0.0
11,0,0.0
12,0,0.0
13,1,1.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,1,1.0
24,0,0.0
25,0,0.0
26,0,0.0
27,1,1.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,2,1.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,1,1.0
38,0,0.0
39,0,0.0
40,1,1.0
41,2,1.0
42,0,0.0
43,1,1.0
44,2,1.0
45,1,1.0
46,2,1.0
47,1,1.0
48,5,1.0
49,1,1.0
50,3,1.0
51,1,1.0
52,3,1.0
53,1,1.0
54,3,1.0
55,1,1.0
56,2,1.0
57,2,1.0
58,2,1.0
59,3,1.0
60,2,1.0
61,5,1.0
62,3,1.0
63,6,1.0
64,5,1.0
65,2,1.0
66,3,1.0
67,3,1.0
68,5,1.0
69,2,1.0
70,7,1.0
71,4,1.0
72,4,1.0
73,4,1.0
74,8,1.0
75,10,1.0
76,5,1.0
77,6,1.0
78,6,1.0
79,4,1.0
80,8,0.7273
81,4,1.0
82,7,0.5833
83,9,1.0
84,13,0.9286
85,9,1.0
86,8,1.0
87,11,0.9167
88,6,1.0
89,9,1.0
90,8,1.0
91,9,1.0
92,7,1.0
93,8,0.8
94,10,1.0
95,8,0.7273
96,11,0.9167
97,9,0.75
98,13,1.0
99,7,0.5833
100,13,1.0
101,8,0.4706
102,7,0.7
103,8,1.0
104,7,0.5385
105,11,1.0
106,7,0.5385
107,10,1.0
108,7,0.3684
109,7,0.5833
110,9,0.45
111,10,0.4762
112,12,0.75
113,9,0.6923
114,9,0.6923
115,14,0.875
116,8,0.5333
117,13,1.0
118,7,0.875
119,8,0.7273
120,11,0.4783
121,10,0.8333
122,11,0.6111
123,10,0.6667
124,9,0.6923
125,9,0.6
126,10,0.5
127,14,1.0
128,9,0.6
129,9,0.5
130,9,0.6429
131,9,0.6429
132,9,0.8182
133,11,1.0
134,10,0.7143
135,10,0.4545
136,9,0.6429
137,11,0.7333
138,9,0.4737
139,8,0.4211
140,7,0.5385
141,12,0.48
142,7,0.4667
143,10,1.0
