round,trusted_count,unknown_count,malicious_count
0,1425,575,0
1,1425,575,0
2,1425,575,0
3,1425,575,0
4,1425,575,0
5,1425,575,0
6,1425,575,0
7,1425,575,0
8,1425,575,0
9,1425,575,0
10,1425,575,0
11,1425,575,0
12,1425,575,0
13,1425,575,0
14,1425,575,0
15,1425,575,0
16,1425,575,0
17,1425,575,0
18,1425,575,0
19,1425,575,0
20,1425,575,0
21,1425,575,0
22,1425,575,0
23,1425,575,0
24,1425,575,0
25,1425,575,0
26,1425,575,0
27,1425,575,0
28,1425,575,0
29,1425,575,0
30,1425,575,0
31,1425,575,0
32,1425,575,0
33,1425,575,0
34,1425,575,0
35,1425,575,0
36,1425,575,0
37,1425,575,0
38,1425,575,0
39,1425,575,0
40,1425,575,0
41,1425,575,0
42,1425,575,0
43,1425,575,0
44,1425,575,0
45,1425,575,0
46,1425,575,0
47,1425,575,0
48,1425,575,0
49,1425,575,0
50,1425,575,0
51,1425,575,0
52,1425,575,0
53,1425,575,0
54,1425,575,0
55,1425,575,0
56,1425,575,0
57,1425,575,0
58,1425,575,0
59,1425,575,0
60,1425,575,0
61,1425,575,0
62,1425,575,0
63,1425,575,0
64,1425,575,0
65,1425,575,0
66,1425,575,0
67,1425,575,0
68,1425,575,0
69,1425,575,0
70,1425,575,0
71,1425,575,0
72,1425,575,0
73,1425,575,0
74,1425,575,0
75,1425,575,0
76,1425,575,0
77,1425,575,0
78,1425,575,0
79,1425,575,0
80,1425,575,0
81,1425,575,0
82,1425,575,0
83,1425,575,0
84,1425,575,0
85,1425,575,0
86,1425,575,0
87,1425,575,0
88,1425,575,0
89,1425,575,0
90,1425,575,0
91,1425,575,0
92,1425,575,0
93,1425,575,0
94,1425,575,0
95,1425,575,0
96,1425,575,0
97,1425,575,0
98,1425,575,0
99,1425,575,0
100,1425,575,0
101,1425,575,0
102,1425,575,0
103,1425,575,0
104,1425,575,0
105,1425,575,0
106,1425,575,0
107,1425,575,0
108,1425,575,0
109,1425,575,0
110,1425,575,0
111,1425,575,0
112,1425,575,0
113,1425,575,0
114,1425,575,0
115,1425,575,0
116,1425,575,0
117,1425,575,0
118,1425,575,0
119,1425,575,0
120,1425,575,0
121,1425,575,0
122,1425,575,0
123,1425,575,0
124,1425,575,0
125,1425,575,0
126,1425,575,0
127,1425,575,0
128,1425,575,0
129,1425,575,0
130,1425,575,0
131,1425,575,0
132,1425,575,0
133,1425,575,0
134,1425,575,0
135,1425,575,0
136,1425,575,0
137,1425,575,0
138,1425,575,0
139,1425,575,0
140,1425,575,0
141,1425,575,0
142,1425,575,0
143,1425,575,0
