vehicle_id,region_id,start_time,end_time,cost,is_trusted
1,45,65486,65520,14.6,True
1,45,65521,65580,14.6,True
1,45,65581,65640,14.6,True
1,45,65641,65700,14.6,True
1,45,65701,65760,14.6,True
1,45,65761,65820,14.6,True
1,45,65821,65880,14.6,True
1,45,65881,65940,14.6,True
1,45,65941,66000,14.6,True
1,45,66001,66060,14.6,True
1,45,66061,66120,14.6,True
1,45,66121,66180,14.6,True
1,45,66181,66240,14.6,True
1,45,66241,66300,14.6,True
1,45,66301,66360,14.6,True
1,45,66361,66420,14.6,True
1,45,66421,66480,14.6,True
1,45,66481,66540,14.6,True
1,45,66541,66600,14.6,True
1,45,66601,66660,14.6,True
1,45,66661,66720,14.6,True
1,45,66721,66780,14.6,True
1,45,66781,66840,14.6,True
1,45,66841,66900,14.6,True
1,45,66901,66960,14.6,True
1,45,66961,67020,14.6,True
1,45,67021,67080,14.6,True
1,45,67081,67140,14.6,True
1,45,67141,67200,14.6,True
1,45,67201,67260,14.6,True
1,45,67261,67320,14.6,True
1,45,67321,67380,14.6,True
1,45,67381,67440,14.6,True
1,45,67441,67500,14.6,True
1,45,67501,67560,14.6,True
1,45,67561,67620,14.6,True
1,45,67621,67680,14.6,True
1,45,67681,67740,14.6,True
1,45,67741,67800,14.6,True
1,45,67801,67860,14.6,True
1,45,67861,67920,14.6,True
1,45,67921,67980,14.6,True
1,45,67981,68002,14.6,True
10,36,63312,63360,9.1,True
10,36,63361,63420,9.1,True
10,36,63421,63480,9.1,True
10,36,63481,63540,9.1,True
10,36,63541,63600,9.1,True
10,36,63601,63660,9.1,True
10,36,63661,63720,9.1,True
10,36,63721,63780,9.1,True
10,36,63781,63840,9.1,True
10,36,63841,63900,9.1,True
10,36,63901,63960,9.1,True
10,36,63961,64020,9.1,True
10,36,64021,64080,9.1,True
10,36,64081,64140,9.1,True
10,36,64141,64200,9.1,True
10,26,64201,64260,9.1,True
10,27,64261,64320,9.1,True
10,27,64321,64380,9.1,True
10,27,64381,64440,9.1,True
10,27,64441,64461,9.1,True
100,46,39376,39420,16.0,False
100,46,39421,39480,16.0,False
100,46,39481,39540,16.0,False
100,46,39541,39600,16.0,False
100,46,39601,39660,16.0,False
100,46,39661,39720,16.0,False
100,46,39721,39771,16.0,False
1000,45,64473,64500,18.4,True
1000,45,64501,64560,18.4,True
1000,45,64561,64620,18.4,True
1000,45,64621,64680,18.4,True
1000,45,64681,64740,18.4,True
1000,46,64741,64800,18.4,True
1000,46,64801,64860,18.4,True
1000,46,64861,64920,18.4,True
1000,46,64921,64980,18.4,True
1000,46,64981,65040,18.4,True
1000,46,65041,65100,18.4,True
1000,46,65101,65160,18.4,True
1000,46,65161,65220,18.4,True
1000,47,65221,65280,18.4,True
1000,47,65281,65340,18.4,True
1000,47,65341,65400,18.4,True
1000,47,65401,65403,18.4,True
1001,37,51381,51420,11.3,True
1001,37,51421,51480,11.3,True
1001,37,51481,51540,11.3,True
1001,37,51541,51600,11.3,True
1001,37,51601,51660,11.3,True
1001,37,51661,51720,11.3,True
1001,37,51721,51780,11.3,True
1001,47,51781,51840,11.3,True
1001,47,51841,51900,11.3,True
1001,47,51901,51960,11.3,True
1001,47,51961,52020,11.3,True
1001,47,52021,52080,11.3,True
1001,47,52081,52090,11.3,True
1002,47,61287,61320,8.3,False
1002,47,61321,61368,8.3,False
1003,47,61681,61740,5.4,True
