vehicle_id,region_id,start_time,end_time,cost,is_trusted
v00_000,3,275,353,11.7,True
v00_000,0,373,608,11.7,True
v00_001,3,301,467,19.8,False
v00_001,4,486,775,19.8,False
v00_002,0,108,235,10.7,True
v00_002,5,244,477,10.7,True
v00_002,3,484,614,10.7,True
v00_003,4,107,278,5.5,True
v00_003,2,300,567,5.5,True
v00_003,3,614,812,5.5,True
v00_003,1,823,951,5.5,True
v00_004,1,241,363,9.4,True
v00_004,3,394,599,9.4,True
v00_004,5,612,878,9.4,True
v00_005,5,443,707,9.4,True
v00_005,4,765,957,9.4,True
v00_006,3,32,213,7.6,True
v00_006,1,230,526,7.6,True
v00_006,4,563,739,7.6,True
v00_007,4,176,461,10.1,False
v00_007,0,493,707,10.1,False
v00_007,5,710,857,10.1,False
v00_007,2,875,1106,10.1,False
v00_008,0,154,292,14.9,True
v00_008,1,328,529,14.9,True
v00_009,0,563,682,5.9,True
v00_009,2,697,929,5.9,True
v00_009,4,938,1136,5.9,True
v00_009,3,1150,1387,5.9,True
v00_010,1,310,504,18.8,True
v00_010,3,559,661,18.8,True
v00_010,4,674,759,18.8,True
v00_010,5,776,1004,18.8,True
v00_011,1,461,655,11.5,False
v00_011,4,699,766,11.5,False
v00_011,2,780,935,11.5,False
v00_011,0,948,1167,11.5,False
v00_012,3,418,581,18.6,False
v00_012,2,592,746,18.6,False
v00_012,4,786,1006,18.6,False
v00_013,3,283,366,10.3,True
v00_013,1,405,560,10.3,True
v00_014,0,318,536,16.7,True
v00_014,1,588,785,16.7,True
v00_014,3,815,886,16.7,True
v00_015,5,307,416,9.7,True
v00_015,3,437,517,9.7,True
v00_015,1,537,611,9.7,True
v00_016,2,353,505,13.5,True
v00_016,3,506,692,13.5,True
v00_017,5,196,275,18.7,True
v00_017,1,308,524,18.7,True
v00_017,4,540,691,18.7,True
v00_018,0,180,248,17.0,False
v00_018,2,291,474,17.0,False
v00_018,4,510,608,17.0,False
v00_018,1,616,692,17.0,False
v00_019,1,572,725,6.7,False
v00_019,2,727,1014,6.7,False
v00_019,4,1024,1195,6.7,False
v00_020,0,444,534,12.3,False
v00_020,1,581,741,12.3,False
v00_020,3,761,897,12.3,False
v00_021,3,382,503,5.1,True
v00_021,4,505,612,5.1,True
v00_021,5,633,860,5.1,True
v00_021,0,866,1019,5.1,True
v00_022,2,434,715,15.5,True
v00_022,0,742,1037,15.5,True
v00_022,4,1073,1144,15.5,True
v00_023,1,306,535,8.9,True
v00_023,3,536,599,8.9,True
v00_023,4,611,798,8.9,True
v00_024,1,261,401,12.2,False
v00_024,5,404,622,12.2,False
v00_025,5,432,588,9.3,True
v00_025,4,640,826,9.3,True
v00_026,3,449,683,14.4,True
v00_026,4,743,905,14.4,True
v00_026,0,961,1148,14.4,True
v00_027,4,592,800,8.2,True
v00_027,2,809,966,8.2,True
v00_027,1,1018,1215,8.2,True
v00_027,0,1226,1327,8.2,True
v00_028,4,292,552,12.4,False
v00_028,5,565,843,12.4,False
v00_028,0,845,970,12.4,False
v00_029,4,93,191,11.5,True
v00_029,2,204,420,11.5,True
v00_029,1,471,560,11.5,True
v00_030,2,563,836,6.5,False
v00_030,4,889,954,6.5,False
v00_031,3,223,311,8.1,True
v00_031,5,343,447,8.1,True
v00_031,4,479,602,8.1,True
v00_032,2,540,602,16.3,False
v00_032,5,602,726,16.3,False
v00_032,0,780,921,16.3,False
v00_032,4,946,1212,16.3,False
v00_033,3,14,203,11.3,True
v00_033,2,263,559,11.3,True
v00_033,5,596,833,11.3,True
v00_033,1,861,981,11.3,True
v00_034,4,192,351,7.0,True
v00_034,0,399,515,7.0,True
v00_034,1,553,699,7.0,True
v00_034,3,756,825,7.0,True
v00_035,1,473,656,8.3,True
v00_035,4,669,734,8.3,True
v00_035,0,755,1042,8.3,True
v00_035,5,1048,1175,8.3,True
v00_036,1,580,647,15.4,True
v00_036,0,680,813,15.4,True
v00_037,0,145,369,8.9,True
v00_037,4,401,644,8.9,True
v00_037,5,666,886,8.9,True
v00_038,5,484,784,14.9,True
v00_038,3,834,1098,14.9,True
v00_038,4,1133,1396,14.9,True
v00_038,0,1420,1554,14.9,True
v00_039,2,412,608,13.9,True
v00_039,4,629,842,13.9,True
v00_039,3,886,980,13.9,True
v00_039,1,1016,1184,13.9,True
v00_040,4,536,836,12.2,True
v00_040,3,857,1064,12.2,True
v00_040,1,1094,1381,12.2,True
v00_040,5,1417,1632,12.2,True
v00_041,1,550,611,16.7,True
v00_041,5,629,865,16.7,True
v00_041,3,882,974,16.7,True
v00_041,0,1020,1152,16.7,True
v00_042,5,526,714,15.7,True
v00_042,4,755,881,15.7,True
v00_043,4,253,504,8.6,True
v00_043,3,554,649,8.6,True
v00_043,1,700,941,8.6,True
v00_044,2,34,333,13.9,True
v00_044,3,381,603,13.9,True
v00_044,4,649,817,13.9,True
v00_045,5,540,710,20.0,True
v00_045,3,765,1044,20.0,True
v00_045,2,1095,1204,20.0,True
v00_046,3,225,386,11.2,True
v00_046,1,411,669,11.2,True
v00_047,5,397,558,9.9,True
v00_047,3,590,730,9.9,True
v00_047,1,775,973,9.9,True
v00_047,4,980,1233,9.9,True
v00_048,5,68,288,9.0,True
v00_048,2,293,526,9.0,True
v00_048,3,565,858,9.0,True
v00_048,1,899,1109,9.0,True
