task_id,region_id,start_time,end_time,required_workers
t55_10,55,11395,14995,2
t55_10,55,4165,7765,1
t55_10,55,12280,15880,1
t55_10,55,30495,34095,1
t55_10,55,73563,77163,1
t55_10,55,71426,75026,2
t55_10,55,28893,32493,2
t55_10,55,77236,80836,2
t55_10,55,851,4451,1
t55_10,55,55392,58992,2
t55_10,55,36421,40021,1
t52_04,52,28221,31821,2
t52_04,52,13396,16996,1
t52_04,52,49797,53397,1
t52_04,52,47052,50652,2
t52_04,52,79131,82731,2
t53_11,53,5695,9295,2
t53_11,53,70284,73884,1
t53_11,53,49615,53215,1
t53_11,53,72357,75957,2
t53_11,53,82397,85997,2
t53_11,53,75674,79274,1
t53_11,53,9116,12716,1
t53_11,53,29871,33471,2
t53_11,53,10458,14058,1
t53_11,53,13238,16838,2
t53_11,53,36434,40034,2
t53_11,53,47819,51419,1
t43_05,43,48520,52120,2
t43_05,43,27460,31060,2
t43_05,43,9358,12958,1
t43_05,43,70010,73610,1
t43_05,43,21417,25017,2
t43_05,43,49735,53335,2
t56_04,56,73000,76600,1
t56_04,56,42504,46104,1
t56_04,56,30021,33621,1
t56_04,56,41347,44947,2
t56_04,56,35093,38693,1
t33_02,33,27653,31253,2
t33_02,33,27869,31469,2
t33_02,33,51856,55456,2
t35_00,35,18726,22326,2
t66_04,66,18301,21901,1
t66_04,66,73579,77179,2
t66_04,66,76622,80222,2
t66_04,66,76484,80084,2
t66_04,66,47447,51047,1
t54_30,54,18131,21731,2
t54_30,54,11915,15515,1
t54_30,54,14371,17971,1
t54_30,54,82240,85840,1
t54_30,54,55333,58933,1
t54_30,54,50432,54032,2
t54_30,54,78104,81704,2
t54_30,54,69352,72952,2
t54_30,54,72512,76112,1
t54_30,54,15014,18614,2
t54_30,54,44587,48187,1
t54_30,54,38469,42069,2
t54_30,54,20730,24330,2
t54_30,54,425,4025,2
t54_30,54,65612,69212,1
t54_30,54,66542,70142,1
t54_30,54,81959,85559,2
t54_30,54,66540,70140,1
t54_30,54,20032,23632,2
t54_30,54,21174,24774,1
t54_30,54,78504,82104,2
t54_30,54,64042,67642,1
t54_30,54,14662,18262,2
t54_30,54,40306,43906,1
t54_30,54,7592,11192,1
t54_30,54,74364,77964,1
t54_30,54,11226,14826,2
t54_30,54,9071,12671,1
t54_30,54,16828,20428,2
t54_30,54,72063,75663,1
t54_30,54,34741,38341,2
t34_05,34,27760,31360,1
t34_05,34,40857,44457,2
t34_05,34,48944,52544,2
t34_05,34,67839,71439,2
t34_05,34,15860,19460,1
t34_05,34,29451,33051,1
t23_10,23,44313,47913,1
t23_10,23,77110,80710,1
t23_10,23,77128,80728,1
t23_10,23,942,4542,1
t23_10,23,82719,86319,1
t23_10,23,30007,33607,1
t23_10,23,4117,7717,2
t23_10,23,9287,12887,1
t23_10,23,36500,40100,2
t23_10,23,28080,31680,1
t23_10,23,74847,78447,2
t64_11,64,31850,35450,2
t64_11,64,53354,56954,1
t64_11,64,12363,15963,1
t64_11,64,56498,60098,2
t64_11,64,55519,59119,2
t64_11,64,61213,64813,1
t64_11,64,12899,16499,1
t64_11,64,52772,56372,2
t64_11,64,14322,17922,1
t64_11,64,25112,28712,1
t64_11,64,70292,73892,2
t64_11,64,18373,21973,2
t89_00,89,24050,27650,2
t65_05,65,60637,64237,1
t65_05,65,9880,13480,2
t65_05,65,72132,75732,1
t65_05,65,6630,10230,1
t65_05,65,12224,15824,1
t65_05,65,21798,25398,2
t24_04,24,63653,67253,2
t24_04,24,28016,31616,2
t24_04,24,7685,11285,1
t24_04,24,49672,53272,1
t24_04,24,51173,54773,2
t10_05,10,59638,63238,2
t10_05,10,55444,59044,2
t10_05,10,20289,23889,1
t10_05,10,38890,42490,1
t10_05,10,7665,11265,1
t10_05,10,41104,44704,1
t50_00,50,6572,10172,2
t60_00,60,65909,69509,1
t62_02,62,7455,11055,1
t62_02,62,24356,27956,1
t62_02,62,77992,81592,1
t67_03,67,30828,34428,2
t67_03,67,15713,19313,1
t67_03,67,75880,79480,1
t67_03,67,81183,84783,1
t73_05,73,54948,58548,2
t73_05,73,34179,37779,1
t73_05,73,41180,44780,1
t73_05,73,34814,38414,2
t73_05,73,17154,20754,2
t73_05,73,59929,63529,2
t45_01,45,9508,13108,1
t45_01,45,60068,63668,1
t44_04,44,9602,13202,1
t44_04,44,66307,69907,2
t44_04,44,17361,20961,2
t44_04,44,9016,12616,1
t44_04,44,48434,52034,2
t11_02,11,20676,24276,2
t11_02,11,71200,74800,2
t11_02,11,80173,83773,1
t46_01,46,72692,76292,2
t46_01,46,13577,17177,1
t36_01,36,34664,38264,1
t36_01,36,14029,17629,1
t30_02,30,35697,39297,2
t30_02,30,79276,82876,1
t30_02,30,44942,48542,1
t12_00,12,34600,38200,2
t02_00,2,32914,36514,1
t03_01,3,12097,15697,2
t03_01,3,36265,39865,1
t76_03,76,464,4064,2
t76_03,76,17146,20746,2
t76_03,76,21178,24778,2
t76_03,76,72309,75909,2
t75_00,75,73519,77119,1
t26_00,26,14663,18263,1
t86_00,86,19536,23136,1
t22_00,22,48393,51993,1
t15_00,15,56333,59933,1
t49_01,49,5482,9082,2
t49_01,49,47795,51395,1
t42_02,42,46898,50498,1
t42_02,42,32706,36306,1
t42_02,42,46357,49957,2
t61_00,61,81351,84951,1
t63_06,63,31029,34629,1
t63_06,63,23206,26806,2
t63_06,63,3248,6848,1
t63_06,63,43540,47140,2
t63_06,63,32527,36127,2
t63_06,63,20866,24466,1
t63_06,63,50140,53740,1
t74_00,74,61694,65294,1
t94_01,94,26158,29758,2
t94_01,94,45830,49430,2
t72_01,72,29831,33431,1
t72_01,72,3101,6701,1
t13_00,13,52227,55827,2
t40_00,40,36517,40117,1
t57_03,57,36585,40185,2
t57_03,57,66768,70368,2
t57_03,57,70282,73882,2
t57_03,57,3617,7217,1
t37_01,37,34237,37837,1
t37_01,37,76099,79699,2
t32_00,32,5014,8614,1
t14_01,14,78193,81793,2
t14_01,14,45309,48909,2
