task_id,region_id,start_time,end_time,required_workers
t00_00,0,7800,11400,2
t00_01,0,7314,10914,3
t00_02,0,10763,14363,2
t00_03,0,2213,5813,1
t00_04,0,4403,8003,2
t00_05,0,5716,9316,3
t00_06,0,6175,9775,2
t00_07,0,10615,14215,1
t00_08,0,9509,13109,3
t00_09,0,9761,13361,2
t00_10,0,11258,14858,1
t00_11,0,4899,8499,3
t00_12,0,2345,5945,1
t00_13,0,751,4351,2
t00_14,0,13934,17534,2
t00_15,0,10833,14433,1
t00_16,0,14816,18416,1
t00_17,0,2157,5757,1
t00_18,0,684,4284,3
t00_19,0,5652,9252,1
t01_00,1,5318,8918,3
t01_01,1,4574,8174,2
t01_02,1,4808,8408,1
t01_03,1,16006,19606,2
t01_04,1,15656,19256,3
t01_05,1,17302,20902,1
t01_06,1,1859,5459,2
t01_07,1,4332,7932,3
t01_08,1,396,3996,3
t01_09,1,16568,20168,1
t01_10,1,4924,8524,3
t01_11,1,4846,8446,3
t01_12,1,7576,11176,2
t01_13,1,10749,14349,3
t01_14,1,2856,6456,2
t01_15,1,17775,21375,2
t01_16,1,13048,16648,1
t01_17,1,3983,7583,1
t01_18,1,13390,16990,2
t01_19,1,13271,16871,1
t02_00,2,470,4070,1
t02_01,2,4214,7814,1
t02_02,2,13916,17516,2
t02_03,2,12887,16487,2
t02_04,2,5660,9260,2
t02_05,2,16758,20358,2
t02_06,2,9640,13240,2
t02_07,2,3025,6625,2
t02_08,2,15837,19437,1
t02_09,2,13326,16926,3
t02_10,2,9639,13239,2
t02_11,2,7181,10781,1
t02_12,2,17130,20730,3
t02_13,2,16507,20107,3
t02_14,2,15044,18644,1
t02_15,2,16850,20450,2
t02_16,2,279,3879,3
t02_17,2,17264,20864,3
t02_18,2,13005,16605,2
t02_19,2,11787,15387,1
t03_00,3,16611,20211,2
t03_01,3,183,3783,1
t03_02,3,11085,14685,3
t03_03,3,3826,7426,2
t03_04,3,2879,6479,1
t03_05,3,6919,10519,1
t03_06,3,9169,12769,1
t03_07,3,16772,20372,1
t03_08,3,17177,20777,2
t03_09,3,17440,21040,2
t03_10,3,6537,10137,3
t03_11,3,5821,9421,3
t03_12,3,2520,6120,2
t03_13,3,15070,18670,2
t03_14,3,14259,17859,2
t03_15,3,2092,5692,3
t03_16,3,7434,11034,1
t03_17,3,16024,19624,2
t03_18,3,16887,20487,1
t03_19,3,10410,14010,1
t04_00,4,15130,18730,1
t04_01,4,3890,7490,1
t04_02,4,3206,6806,1
t04_03,4,17733,21333,2
t04_04,4,121,3721,3
t04_05,4,9053,12653,3
t04_06,4,8805,12405,3
t04_07,4,14216,17816,2
t04_08,4,1646,5246,1
t04_09,4,751,4351,1
t04_10,4,10489,14089,3
t04_11,4,14924,18524,2
t04_12,4,14341,17941,1
t04_13,4,11555,15155,3
t04_14,4,3983,7583,2
t04_15,4,16806,20406,1
t04_16,4,10054,13654,1
t04_17,4,16193,19793,3
t04_18,4,15599,19199,3
t04_19,4,4238,7838,3
t05_00,5,3614,7214,2
t05_01,5,7672,11272,2
t05_02,5,9293,12893,2
t05_03,5,7221,10821,2
t05_04,5,6050,9650,2
t05_05,5,5657,9257,3
t05_06,5,13517,17117,2
t05_07,5,6938,10538,1
t05_08,5,9590,13190,2
t05_09,5,14399,17999,1
t05_10,5,12066,15666,3
t05_11,5,9778,13378,2
t05_12,5,162,3762,3
t05_13,5,11672,15272,1
t05_14,5,6673,10273,2
t05_15,5,15134,18734,1
t05_16,5,10228,13828,1
t05_17,5,10696,14296,2
t05_18,5,14380,17980,3
t05_19,5,17471,21071,3
