vehicle_id,region_id,start_time,end_time,cost,is_trusted
v00_000,4,80,292,7.4,True
v00_000,1,349,449,7.4,True
v00_000,2,491,750,7.4,True
v00_001,3,110,229,7.3,False
v00_001,5,252,421,7.3,False
v00_002,3,502,600,15.1,False
v00_002,1,646,733,15.1,False
v00_002,5,790,922,15.1,False
v00_002,2,935,1118,15.1,False
v00_003,4,483,624,11.7,True
v00_003,2,641,771,11.7,True
v00_003,0,780,1025,11.7,True
v00_004,1,464,549,19.5,True
v00_004,4,565,849,19.5,True
v00_004,5,854,1138,19.5,True
v00_004,3,1139,1328,19.5,True
v00_005,1,600,873,7.0,True
v00_005,4,913,1019,7.0,True
v00_005,5,1066,1323,7.0,True
v00_005,0,1370,1633,7.0,True
v00_006,1,387,475,11.7,True
v00_006,3,483,777,11.7,True
v00_006,5,804,948,11.7,True
v00_007,4,190,280,17.4,True
v00_007,2,337,462,17.4,True
v00_008,4,11,82,19.3,True
v00_008,1,86,174,19.3,True
v00_008,3,189,264,19.3,True
v00_008,2,297,473,19.3,True
v00_009,0,66,139,10.9,True
v00_009,5,182,281,10.9,True
v00_009,2,311,450,10.9,True
v00_009,3,486,559,10.9,True
v00_010,3,527,635,17.0,True
v00_010,5,635,896,17.0,True
v00_010,2,916,999,17.0,True
v00_010,4,1031,1108,17.0,True
v00_011,3,191,482,7.0,True
v00_011,5,528,618,7.0,True
v00_012,1,142,426,16.8,True
v00_012,0,476,553,16.8,True
v00_013,1,527,725,18.9,False
v00_013,4,737,1027,18.9,False
v00_013,3,1074,1324,18.9,False
v00_014,2,198,453,8.4,True
v00_014,0,496,711,8.4,True
v00_014,1,721,1001,8.4,True
v00_015,0,328,596,11.3,False
v00_015,5,634,704,11.3,False
v00_016,4,581,684,18.2,True
v00_016,2,720,794,18.2,True
v00_016,5,836,1108,18.2,True
v00_017,0,100,166,16.1,False
v00_017,2,201,356,16.1,False
v00_017,3,388,508,16.1,False
v00_018,1,44,150,18.3,True
v00_018,5,153,295,18.3,True
v00_019,4,246,378,10.5,True
v00_019,1,407,547,10.5,True
v00_020,5,505,771,8.9,False
v00_020,4,802,937,8.9,False
v00_021,4,177,256,5.9,True
v00_021,1,258,345,5.9,True
v00_021,0,382,535,5.9,True
v00_022,5,490,614,12.0,True
v00_022,4,643,900,12.0,True
v00_022,1,924,1064,12.0,True
v00_022,3,1107,1348,12.0,True
v00_023,5,480,558,12.0,True
v00_023,2,565,745,12.0,True
v00_023,3,748,865,12.0,True
v00_023,0,869,1026,12.0,True
v00_024,0,1,213,5.9,True
v00_024,5,236,486,5.9,True
v00_025,4,328,477,7.1,False
v00_025,0,530,649,7.1,False
v00_026,1,540,690,18.4,False
v00_026,2,745,980,18.4,False
v00_026,5,1034,1288,18.4,False
v00_027,4,546,758,8.6,True
v00_027,0,802,1044,8.6,True
v00_027,1,1069,1146,8.6,True
v00_028,5,512,789,12.1,True
v00_028,3,818,1038,12.1,True
v00_029,2,131,329,18.7,True
v00_029,5,329,435,18.7,True
v00_029,4,477,575,18.7,True
v00_029,1,616,715,18.7,True
v00_030,4,13,304,7.5,True
v00_030,2,332,524,7.5,True
v00_030,5,534,735,7.5,True
v00_031,1,476,580,16.6,True
v00_031,0,626,795,16.6,True
v00_031,5,822,1034,16.6,True
v00_032,1,151,373,11.4,True
v00_032,2,394,471,11.4,True
v00_032,5,495,690,11.4,True
v00_032,3,736,799,11.4,True
v00_033,2,398,532,17.3,True
v00_033,3,551,636,17.3,True
v00_033,1,641,938,17.3,True
v00_033,4,947,1163,17.3,True
v00_034,2,38,124,10.9,True
v00_034,4,159,346,10.9,True
v00_034,3,394,617,10.9,True
v00_034,0,661,759,10.9,True
v00_035,4,348,474,6.8,True
v00_035,3,518,799,6.8,True
v00_035,1,844,1027,6.8,True
v00_035,5,1053,1291,6.8,True
v00_036,1,174,398,14.8,False
v00_036,2,450,744,14.8,False
v00_037,0,197,359,7.1,False
v00_037,3,407,626,7.1,False
v00_038,3,244,543,14.7,True
v00_038,4,586,693,14.7,True
v00_038,0,726,971,14.7,True
v00_038,5,1014,1311,14.7,True
v00_039,2,448,725,12.9,True
v00_039,4,741,837,12.9,True
v00_039,3,848,947,12.9,True
v00_039,5,983,1112,12.9,True
v00_040,5,365,477,12.8,False
v00_040,0,497,736,12.8,False
v00_041,5,336,486,14.5,True
v00_041,4,517,628,14.5,True
v00_042,3,208,438,5.3,True
v00_042,5,475,688,5.3,True
v00_042,0,706,912,5.3,True
v00_043,2,482,602,6.4,True
v00_043,3,649,715,6.4,True
v00_044,1,329,421,12.5,True
v00_044,2,469,646,12.5,True
v00_044,5,700,777,12.5,True
v00_045,0,264,420,14.5,True
v00_045,5,464,679,14.5,True
v00_046,0,245,470,5.7,True
v00_046,4,488,573,5.7,True
v00_047,3,89,223,7.8,False
v00_047,4,282,518,7.8,False
v00_047,5,545,702,7.8,False
v00_047,1,731,868,7.8,False
v00_048,4,537,780,11.7,True
v00_048,1,799,994,11.7,True
v00_048,5,1023,1097,11.7,True
v00_049,5,198,279,8.5,False
v00_049,4,308,548,8.5,False
v00_050,0,59,190,16.7,True
v00_050,2,219,338,16.7,True
v00_050,1,358,600,16.7,True
v00_050,4,633,838,16.7,True
v00_051,1,216,476,8.3,True
v00_051,5,513,787,8.3,True
v00_051,2,797,864,8.3,True
v00_052,1,488,577,5.3,False
v00_052,2,595,866,5.3,False
v00_053,4,400,517,11.2,False
v00_053,5,560,654,11.2,False
v00_053,2,662,735,11.2,False
v00_053,1,742,938,11.2,False
v00_054,1,296,550,19.0,False
v00_054,5,601,887,19.0,False
v00_054,2,887,1139,19.0,False
v00_055,5,193,402,6.5,True
v00_055,3,406,703,6.5,True
v00_055,4,763,1056,6.5,True
v00_055,0,1115,1404,6.5,True
v00_056,1,44,240,10.9,True
v00_056,5,245,415,10.9,True
v00_056,0,467,667,10.9,True
v00_057,2,272,354,8.7,True
v00_057,4,405,621,8.7,True
v00_057,3,665,814,8.7,True
v00_057,0,828,1101,8.7,True
v00_058,1,573,677,13.6,False
v00_058,3,724,868,13.6,False
v00_058,4,881,1110,13.6,False
v00_059,5,49,273,14.5,True
v00_059,0,312,446,14.5,True
v00_060,1,328,530,5.9,False
v00_060,0,547,765,5.9,False
v00_060,2,816,1009,5.9,False
v00_061,1,314,381,9.6,True
v00_061,0,384,633,9.6,True
v00_061,4,688,925,9.6,True
